mode,scenario,hazard_map,draw,shapeGroup,dam_cost_usd2024,dam_cost_res_usd2024,dam_cost_nonres_usd2024,dam_area_m2,dam_area_res_m2,dam_area_nonres_m2
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,92176480199.51764,54342472382.20453,37834007817.31448,64254428.92789495,40916535.61080698,23337893.317088563
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,CAN,1386141927.987668,1052689819.310447,333452108.67722285,178675.3814696209,126851.40236333998,51823.97910628058
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,USA,8477970951.208229,6798286262.972993,1679684688.2352555,2245061.3831460522,1926088.0297028515,318973.3534431964
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,RUS,239787612140.99524,160516497208.5555,79271114932.43694,162118650.39838973,116516565.270921,45602085.127473846
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,CAN,1529280450.386854,1229280707.4059515,299999742.98090214,194630.68058980064,148052.99352339972,46577.687066400635
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,USA,11736751129.794788,8736076193.354029,3000674936.4407287,3044932.3487116513,2475101.978896804,569830.3698148584
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,RUS,107009550429.36505,67109496215.34286,39900054214.02091,74781852.74790195,50091985.62207786,24689867.125824522
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,CAN,1752353660.8738751,1429011856.7583334,323341804.1155416,222352.54474258894,172177.95801176623,50174.586730823234
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,USA,10025110365.355246,8624328316.791845,1400782048.5633461,2709451.148267831,2443441.610523743,266009.5377440873
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,RUS,75579644366.11255,44201231116.49496,31378413249.61687,51434462.42053562,32444101.478999622,18990360.94153589
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,CAN,1445210138.646261,1093262902.4665792,351947236.1796826,186335.28080282715,131716.80308077612,54618.47772205081
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,USA,3787433619.596817,2770386131.8489337,1017047487.7478889,978042.8702405695,784904.8068587106,193138.0633818614
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,RUS,74739069716.17123,45113812023.80589,29625257692.36565,51055482.25507652,33153486.91772223,17901995.33735368
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,CAN,951926297.2987915,697129710.445537,254796586.8532545,123577.25443942763,84030.33581405984,39546.918625367834
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,USA,5517942138.179321,4191241435.992671,1326700702.1866388,1439402.4586186914,1187461.0228504557,251941.43576823885
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,RUS,68016926611.91811,41072588314.2099,26944338297.707615,46954784.04200988,30448524.407223348,16506259.634787085
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,CAN,1035213004.748912,786420278.8350015,248792725.91391066,133413.91156939123,94790.30685612923,38623.60471326213
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,USA,10827390244.182867,7812879951.9616585,3014510292.221187,2786000.0643809442,2213542.350362562,572457.7140183754
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,RUS,141493262299.094,87796240640.01642,53697021659.07864,97815974.2318661,65491570.46527679,32324403.766590383
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,CAN,29347220.557068363,27214886.442735266,2132334.1143330988,3705.753676258869,3321.1373040655617,384.6163721933068
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,USA,10011140566.362326,6813186124.57504,3197954441.787249,2537603.3456354393,1930309.45315663,607293.8924788099
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,RUS,264279191235.99503,153492322901.175,110786868334.81339,175697525.044223,111704078.71592365,63993446.32829624
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,CAN,71773041.97288676,62189611.545728475,9583430.427158283,9101.02046762084,7549.466550800931,1551.553916819906
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,USA,15180958166.291595,10469789023.643608,4711169142.647979,3860951.3504717234,2966296.8771685287,894654.4733031834
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,RUS,68765523121.91783,41932626767.50346,26832896354.41495,47568014.72953701,31195264.603455193,16372750.126081426
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,CAN,38621745.757993884,38315321.16202615,306424.5959677301,4717.962093061727,4670.412635270781,47.54945779094616
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,USA,10475148479.99386,8099619664.791317,2375528815.202539,2745896.0063085784,2294781.3431260413,451114.6631825287
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,RUS,87844672120.79846,53432855443.45801,34411816677.340744,60750604.88721452,39613798.14875767,21136806.738456663
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,CAN,1378993916.321542,1040671422.4123622,338322493.90918094,177909.57139016758,125410.35508849577,52499.21630167172
