mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_usd2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_usd2024_mean,total_cost_nonres_usd2024_mean,dam_area_m2_mean,dam_cost_usd2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_usd2024_mean,dam_cost_nonres_usd2024_mean,total_area_m2_p05,total_cost_usd2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_usd2024_p05,total_cost_nonres_usd2024_p05,dam_area_m2_p05,dam_cost_usd2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_usd2024_p05,dam_cost_nonres_usd2024_p05,total_area_m2_p50,total_cost_usd2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_usd2024_p50,total_cost_nonres_usd2024_p50,dam_area_m2_p50,dam_cost_usd2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_usd2024_p50,dam_cost_nonres_usd2024_p50,total_area_m2_p95,total_cost_usd2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_usd2024_p95,total_cost_nonres_usd2024_p95,dam_area_m2_p95,dam_cost_usd2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_usd2024_p95,dam_cost_nonres_usd2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
ALL,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,564685.7376153213,3818042576.921441,280255.03490285855,285993.97022302926,2701746548.5070705,1122431334.1206565,0.0,0.0,0.0,0.0,0.0,0.0,473508.27619724564,3168389937.6569495,220378.2504827639,225399.51700883007,2124515542.8312392,884618232.9965799,0.0,0.0,0.0,0.0,0.0,0.0,562076.5198356326,3757575570.3188066,274829.3646506234,283885.65633717494,2649441383.383473,1114156902.4401574,0.0,0.0,0.0,0.0,0.0,0.0,684559.9648940923,4646075375.106563,356785.5421897143,358931.7847971016,3439524672.5983133,1408688028.4711583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,21773.283294819492,134639445.16855463,8608.68236300557,13220.704561071632,82990401.47309326,51886873.86285238,0.0,0.0,0.0,0.0,0.0,0.0,18257.641646171003,110565180.44187415,6383.074985314839,10094.877236026488,61534847.41643899,39619039.92234958,0.0,0.0,0.0,0.0,0.0,0.0,21672.67647210256,132853145.06432885,8481.176129702086,13166.378231244344,81761201.34164788,51673661.06393089,0.0,0.0,0.0,0.0,0.0,0.0,26395.4214796984,165519451.81988475,11721.543022813888,16725.8844080213,112999355.80476362,65643540.44178903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2802555.8947351766,18833518224.488346,1370696.67594164,1433480.2817033618,13213946413.341202,5625933944.59754,0.0,0.0,0.0,0.0,0.0,0.0,2350038.830919611,15671984456.950403,1094429.4216156704,1149590.9001193224,10550643321.928652,4511762421.800877,0.0,0.0,0.0,0.0,0.0,0.0,2789606.2518063653,18577645889.971077,1349499.7224300075,1418820.5240714224,13009601124.740898,5568399265.443744,0.0,0.0,0.0,0.0,0.0,0.0,3397496.0533190975,22941929677.663666,1718812.1867243042,1773706.1192026616,16569889260.415586,6961207343.504703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,366874.39779244683,3043182651.0020375,280566.66019394697,86699.77854506113,2704750714.1768064,340267831.60641026,16.108655008114347,148541.12114361924,14.927446149651084,1.1812088584632598,143905.26873789853,4635.852405720735,307636.7120820494,2550623244.1047626,231942.98973688987,61060.99119329033,2236003261.062767,239644107.72145596,0.0,0.0,0.0,0.0,0.0,0.0,365179.19790006906,3010708376.5842757,276977.9736632331,86215.00915763725,2670154649.019973,338365272.78727627,0.0,0.0,0.0,0.0,0.0,0.0,444756.2744083815,3689940786.8465257,346572.76381025725,116658.16762072733,3341070281.7720275,457844557.40969443,177.4735073199549,1465304.9223533918,151.9976336730778,0.0,1465304.9223533918,0.0,4.3907819965206605e-05,4.881110934787587e-05,5.320463286454708e-05,1.3624127746178052e-05,5.320463286454709e-05,1.3624127746178052e-05
ALL,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,346997.01438192,2711090303.52474,254809.29384901086,92538.7130740523,2117001825.3410523,596350391.4126532,5207.863450736392,42624384.10378146,4862.6152212264715,707.7157446072362,40399489.13860069,4560756.760985946,292115.17005409,2275124421.1961284,209085.90115723707,70565.91871638564,1737123586.493813,454750361.75654125,0.0,0.0,0.0,0.0,0.0,0.0,342782.87944507983,2676682146.461192,250719.8281397387,91854.78075081672,2083025802.56565,591942902.9668734,5598.053732729893,45709491.93976031,5135.983879185516,519.0348290040354,42670685.52688174,3344833.8879066035,419650.1856126966,3295322798.3902082,314581.6811328462,119033.49468472855,2613601659.17541,767091618.0739294,10392.767996218592,84499174.06817465,9722.723520747126,1887.9193285799272,80778150.31701586,12166383.053687,0.015008381152825689,0.015722229557740917,0.019083351112412134,0.007647780275925173,0.019083351112412137,0.007647780275925174
ALL,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,63535.38442035114,493930663.84497863,45329.58247131014,18244.991327856733,376606392.11446816,117576821.18381086,779.3955005850464,6399797.807510487,738.8549655359467,175.87370620939916,6138541.051916075,1133388.935863406,53485.258201236975,412623956.5388406,37147.506534448905,14048.190970608353,308628221.3351935,90531237.20510301,0.0,0.0,0.0,0.0,0.0,0.0,62778.539836870215,487715706.69181335,44541.59216794641,18145.867756354182,370059625.7647269,116938035.76417282,802.1989031534531,6612389.847111481,739.2720863923051,66.71217952829909,6142006.56763946,429915.57859526435,77430.51238587659,601708743.6631953,56015.35169925227,23508.771049191888,465385700.82418716,151498376.74527875,2865.4331833494866,22733350.643650286,2134.3696500667734,737.9764897473183,17732730.14060999,4755767.115131304,0.012267109228907046,0.012956874873269823,0.016299619922675892,0.009639560964924795,0.016299619922675895,0.009639560964924795
ALL,SSP245,CAN,Northwest Territories,OSM,ACTIVE,6459198.2414033,50605176289.895805,4817961.682141357,1641236.5592619423,40028499437.5455,10576676852.350306,103904.37164255187,804553144.8848891,72408.64639011004,31495.72525244186,601584166.1928171,202968978.69207203,5422682.825816991,42333672600.48329,3952443.5567664704,1309498.5121764492,32837617882.141327,8438846017.512662,3647.085549807208,29813259.04135507,3321.115450234717,69.08882094074983,27592429.475831527,445231.4500773795,6384564.172124911,49904012146.17439,4767489.944259202,1629982.7075905353,39609171085.69977,10504153271.394783,122223.36579311563,937384547.9776096,82474.32332617225,38046.99112074006,685211635.6820724,245187525.23357856,7868832.306743691,61637870107.71774,5932854.147017079,2062396.4259838352,49291228231.88643,13290771775.692467,199667.6472349959,1556043140.6985264,142938.7508406449,61911.606649806185,1187561065.2605321,398979082.72241503,0.01608626454232778,0.0158986333784501,0.015028896277549431,0.019190241086638582,0.015028896277549431,0.01919024108663858
ALL,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,239906.74886462887,1850925241.8514433,163578.85115028874,76327.89771434011,1359042761.9078696,491882479.94357413,6981.396684636192,56994441.0637014,6440.435631835259,1444.720879998665,53508307.26239511,9310264.144043049,201501.1995698678,1550728966.0427165,134686.3619650131,59601.68571981833,1118998721.8340435,384093180.3257801,195.75588663360594,1476374.4302795636,113.84323497508782,80.80287420590628,945830.2427061447,520720.72389205405,236397.49092742882,1821823649.95954,161927.5623756417,76175.00019509773,1345323555.291471,490897157.234653,4649.467332402723,35334657.00061229,2564.336922098319,1876.8125336758922,21304976.21522556,12094807.155683521,291361.94944507914,2242868984.3878794,202315.44764784205,95413.1671162744,1680873430.8528275,614874333.8388367,36940.37467954907,300756659.23387325,34778.500972906935,3531.581636203009,288946093.4886358,22758692.239107206,0.029100459731441545,0.03079240575199623,0.03937205565723213,0.01892782224142455,0.039372055657232126,0.01892782224142455
ALL,SSP245,CAN,Nunavut,HABITAT,ACTIVE,200246.63401227104,1052402479.8505741,141555.99749750822,58956.084746327935,768468629.0009316,285218037.61375314,0.0,0.0,0.0,0.0,0.0,0.0,168528.92920559703,882639838.141997,114494.96167138996,45431.20370413619,621561698.3990848,219787301.39014968,0.0,0.0,0.0,0.0,0.0,0.0,199193.4479961547,1046954682.2112329,139256.14479546272,58544.83954118333,755983360.3857608,283228513.5316489,0.0,0.0,0.0,0.0,0.0,0.0,244928.445196896,1286680287.4326694,174958.5410698164,75333.03195781549,949801863.3247368,364446513.62030166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,60684.982241743135,310729613.2457894,29043.948247822795,31893.034845192484,157671617.48954707,154292281.30111575,0.0,0.0,0.0,0.0,0.0,0.0,50947.068552067525,261771961.35688257,22084.428997895662,23614.102882601583,119890299.06401555,114240423.41285895,0.0,0.0,0.0,0.0,0.0,0.0,60243.36581109166,307257762.85602033,28808.822588324183,31765.932941319246,156395184.86647123,153677387.0835694,0.0,0.0,0.0,0.0,0.0,0.0,73786.18488638828,376920077.1230216,37994.35827917995,40387.99409111481,206260935.12629557,195389237.04632685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
