mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_usd2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_usd2024_mean,total_cost_nonres_usd2024_mean,dam_area_m2_mean,dam_cost_usd2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_usd2024_mean,dam_cost_nonres_usd2024_mean,total_area_m2_p05,total_cost_usd2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_usd2024_p05,total_cost_nonres_usd2024_p05,dam_area_m2_p05,dam_cost_usd2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_usd2024_p05,dam_cost_nonres_usd2024_p05,total_area_m2_p50,total_cost_usd2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_usd2024_p50,total_cost_nonres_usd2024_p50,dam_area_m2_p50,dam_cost_usd2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_usd2024_p50,dam_cost_nonres_usd2024_p50,total_area_m2_p95,total_cost_usd2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_usd2024_p95,total_cost_nonres_usd2024_p95,dam_area_m2_p95,dam_cost_usd2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_usd2024_p95,dam_cost_nonres_usd2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
ALL,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,562816.6399782442,3798795046.642434,278170.9410894739,284645.6988887702,2681655229.6516275,1117139816.990806,0.0,0.0,0.0,0.0,0.0,0.0,470910.5289611043,3144297569.1291656,219186.81253448906,221785.31164943072,2113029706.8474927,870433677.4964311,0.0,0.0,0.0,0.0,0.0,0.0,556709.8541095657,3737140028.847315,273257.98458758206,281818.3401292844,2634292786.0953445,1106043373.027416,0.0,0.0,0.0,0.0,0.0,0.0,680005.0595631303,4619986001.147109,347281.4399920001,354236.0595996711,3347902142.718587,1390258866.856649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,21701.214195766952,134044687.51809244,8551.02441459462,13150.18978117233,82434560.7433548,51610126.77473764,0.0,0.0,0.0,0.0,0.0,0.0,18157.477107325525,109167464.84266672,6321.099099360868,9900.523903540488,60937380.412769146,38856267.65095192,0.0,0.0,0.0,0.0,0.0,0.0,21465.74733361271,132099189.70389435,8334.587224969946,13061.789904540376,80348038.26485687,51263186.62286406,0.0,0.0,0.0,0.0,0.0,0.0,26219.792386300473,163837977.9289104,11630.804085214771,16503.188137390676,112124603.95040856,64769531.552885875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2793279.4950464806,18780115182.847256,1367723.0394391809,1425556.4556073,13185279623.608706,5594835559.238554,0.0,0.0,0.0,0.0,0.0,0.0,2337146.116716433,15598844773.912296,1087847.659117442,1131647.1486412792,10487193064.491365,4441339157.649801,0.0,0.0,0.0,0.0,0.0,0.0,2762971.2942294627,18487797193.865532,1344961.8183128037,1409674.9861057415,12965854303.955433,5532506066.814194,0.0,0.0,0.0,0.0,0.0,0.0,3374889.892166258,22774703865.86217,1702387.3040678967,1758237.1296713895,16411548233.493626,6900496697.949671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,365660.05143244535,3032941346.644028,279556.6847090055,86103.3667234398,2695014233.326559,337927113.3174698,4.027163752028587,37135.28028590481,3.731861537412771,0.29530221461581496,35976.31718447463,1158.9631014301838,305948.96456269256,2535177005.7472453,229439.9089497041,60451.93913115674,2211872776.2000914,237253780.68723062,0.0,0.0,0.0,0.0,0.0,0.0,361692.493481575,2989898306.435084,275307.18005910673,85017.36727583279,2654047673.9756875,333664926.2235208,0.0,0.0,0.0,0.0,0.0,0.0,441796.9679499689,3675563863.2913985,344000.1601233121,114737.51556098583,3316269574.322504,450306636.0608073,44.368376829988726,366326.23058834794,37.99940841826945,0.0,366326.23058834794,0.0,1.101340913849484e-05,1.2243982339782228e-05,1.3349212311976436e-05,3.42962448337604e-06,1.3349212311976434e-05,3.42962448337604e-06
ALL,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,345854.28390511504,2702032160.813339,253900.41802456122,91953.8658805538,2109450720.1584117,592581440.6549275,2566.862111535777,20729496.35251263,2246.846822532268,320.015289003509,18667210.888238247,2062285.4642743836,289541.6063331701,2259546850.0122404,208099.77918182878,69970.48871652455,1728930706.2796962,450913211.85807806,0.0,0.0,0.0,0.0,0.0,0.0,341169.34440939827,2665299006.7359996,249875.01632636585,91289.39264570369,2076006952.8056417,588299353.077494,2261.551674937013,18129130.54914984,1875.0497844710976,192.61776823316262,15578253.66716335,1241293.2670347125,418499.4002575221,3273313797.2464113,311491.4447072907,117896.91274287837,2587927414.50869,759767104.2204412,6775.152071556141,54281344.14143506,5945.400204476913,1016.2089453475328,49395463.15260729,6548790.038068585,0.00742180227624416,0.00767181703206406,0.008849323053556051,0.0034801722139578377,0.008849323053556051,0.003480172213957837
ALL,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,63311.94111256885,492163538.5168977,45154.041264825515,18157.899847743334,375147963.9349578,117015574.58193979,406.7299320029591,3205758.787376959,313.6819323220875,93.04799968087165,2606126.382877794,599632.4044991645,52998.76198259061,410734746.76407605,36592.92168131994,13741.715148386596,304020629.79625976,88556204.58935651,0.0,0.0,0.0,0.0,0.0,0.0,62434.587313533375,485647755.1666929,44384.17388497625,18036.7086533914,368751766.1205361,116234578.02615553,265.824162801468,2091371.6034776098,186.23369418508133,17.37092859547861,1547263.3065081385,111944.06884419499,77078.7346227185,597713414.6063159,55487.29418931141,23273.453799116935,460998503.26344085,149981913.74804586,1245.904004174601,9845562.846935766,936.4542977625838,342.91422234072735,7780232.140537989,2209853.8430096125,0.006424221479480338,0.006513604801032805,0.00694692930102011,0.005124381148761302,0.006946929301020111,0.0051243811487613035
ALL,SSP245,CAN,Northwest Territories,OSM,ACTIVE,6437515.728871919,50438574999.320114,4803544.226527521,1633971.502344397,39908716601.565636,10529858397.754482,42213.77406333696,327187684.08549136,29588.271862823007,12625.502200513964,245824728.74557105,81362955.33992031,5385802.064042222,42074625540.255455,3937326.761149158,1285912.7901999247,32712024802.580807,8286851743.276373,911.771387451802,7453314.760338767,830.2788625586793,17.272205235187457,6898107.368957882,111307.86251934487,6350068.398948734,49684960187.562546,4722753.533010175,1615205.4148372356,39237492867.67731,10408923458.652576,45776.813246513375,350689382.7599517,30631.32980994686,14835.467815265802,254490643.33856893,95604712.28234862,7793704.017287867,61116025890.78185,5889522.613246347,2043411.3356292858,48931221990.741104,13168425509.05614,90913.99286239718,707503135.6465768,65807.23973633962,27276.930737517825,546738482.4865876,175781657.0113478,0.00655746344416844,0.006486854239833336,0.006159675120595766,0.007726880292831967,0.006159675120595766,0.007726880292831968
ALL,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,239108.7277032768,1845060072.490793,163191.23658446546,75917.49111881136,1355822389.7974904,489237682.6933027,2900.6280001174837,22983999.17422417,2302.4328703733036,598.1951297441803,19129029.85475011,3854969.319474062,199700.0934990372,1539295394.6802711,133174.98750811286,59122.78075411618,1106441948.7442536,381006956.6874916,48.938971658401485,369093.6075698909,28.460808743771956,20.20071855147657,236457.56067653617,130180.18097301351,235649.37622670364,1816547505.4113245,160902.77864321138,74995.01990730068,1336809466.1883466,483292969.93712825,1748.4880828087266,13563756.817154374,1163.3131986050976,531.0538800903053,9665017.03171644,3422288.669603969,289753.2697962,2231972942.3889227,200197.1003788765,95018.99950922518,1663273817.560216,612334186.0570333,12567.85839106213,100310869.33050406,10737.976280463112,1979.4888653641779,89213054.37029913,12756487.749211175,0.012131000101832472,0.012457046530304158,0.014108802154836281,0.007879542921248558,0.014108802154836283,0.00787954292124856
ALL,SSP245,CAN,Nunavut,HABITAT,ACTIVE,199517.0077707735,1048517355.149829,140954.67238983477,58562.33538093878,765204200.158305,283313154.99152386,0.0,0.0,0.0,0.0,0.0,0.0,166933.94520820706,876632545.6848943,114074.51421417476,45015.90203583191,619279204.6388383,217778152.93056118,0.0,0.0,0.0,0.0,0.0,0.0,196742.26902422126,1034363572.6989541,138619.56796850637,58031.96116601737,752527559.6417928,280747307.99826276,0.0,0.0,0.0,0.0,0.0,0.0,242749.91740468325,1275667197.8766124,173693.38419340504,74323.45156107133,942933674.1453707,359562360.5967139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,60487.29521521974,309661609.4800929,28829.389606662226,31657.905608557514,156506837.55985272,153154771.92024013,0.0,0.0,0.0,0.0,0.0,0.0,50697.690980577514,259399214.49740902,21908.201002829162,23387.27710204872,118933605.68362588,113143084.53277792,0.0,0.0,0.0,0.0,0.0,0.0,59700.22026395409,305772867.3721074,28295.568943787053,31515.413947386292,153608871.80648166,152465425.05892047,0.0,0.0,0.0,0.0,0.0,0.0,73090.52166606035,373790576.407287,37456.25048881612,39836.412599315314,203339695.7353409,192720793.38437045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
