mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_usd2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_usd2024_mean,total_cost_nonres_usd2024_mean,dam_area_m2_mean,dam_cost_usd2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_usd2024_mean,dam_cost_nonres_usd2024_mean,total_area_m2_p05,total_cost_usd2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_usd2024_p05,total_cost_nonres_usd2024_p05,dam_area_m2_p05,dam_cost_usd2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_usd2024_p05,dam_cost_nonres_usd2024_p05,total_area_m2_p50,total_cost_usd2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_usd2024_p50,total_cost_nonres_usd2024_p50,dam_area_m2_p50,dam_cost_usd2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_usd2024_p50,dam_cost_nonres_usd2024_p50,total_area_m2_p95,total_cost_usd2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_usd2024_p95,total_cost_nonres_usd2024_p95,dam_area_m2_p95,dam_cost_usd2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_usd2024_p95,dam_cost_nonres_usd2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
ALL,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,560971.2038387569,3781586837.154559,276427.3962183915,283614.3149992236,2664846909.5468807,1113091977.8205206,0.0,0.0,0.0,0.0,0.0,0.0,464980.40103692096,3108005359.1793814,216828.701364439,217233.12478566775,2090296774.620646,852567856.1622417,0.0,0.0,0.0,0.0,0.0,0.0,551345.8481173271,3715520389.000017,271977.5392209708,280683.6892420423,2621948890.6467075,1101590245.193516,0.0,0.0,0.0,0.0,0.0,0.0,676833.7549245892,4583304493.813215,340956.92265051475,349159.18571687816,3286931809.3782787,1370333823.2587638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,21630.05744221188,133450692.78561336,8494.126410176525,13081.347290763357,81886046.11236231,51339942.86738577,0.0,0.0,0.0,0.0,0.0,0.0,17928.821863059824,108191954.09631586,6223.525609617329,9685.288058028687,59996741.32940079,38011538.45250065,0.0,0.0,0.0,0.0,0.0,0.0,21258.920749755034,131142937.69758473,8231.591795531456,12941.619462488205,79355129.98010863,50791557.55498789,0.0,0.0,0.0,0.0,0.0,0.0,26097.51248845728,162012897.47582582,11412.19247883701,16296.236644326731,110017119.41155116,63957315.68596785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2784120.528232623,18725232712.278355,1364409.9288193495,1417175.7225190285,13153340196.775377,5561943965.706557,0.0,0.0,0.0,0.0,0.0,0.0,2307714.675715914,15406491320.628387,1083137.5805799933,1115163.0923169188,10441786428.224627,4376644712.108009,0.0,0.0,0.0,0.0,0.0,0.0,2736349.5370084876,18422239418.02027,1337907.3475823777,1402688.290500601,12897846990.70917,5505085607.344162,0.0,0.0,0.0,0.0,0.0,0.0,3359150.59167273,22573850439.56379,1665219.2919301784,1734983.8334716707,16053236924.14375,6809235234.444678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,364461.07786672725,3019465786.9691467,278022.30235472857,85042.9177732823,2680222305.5697756,333765203.4388667,0.0,0.0,0.0,0.0,0.0,0.0,302096.180675845,2519093804.865927,227513.35105091622,59403.95727783526,2193300153.03436,233140800.02249637,0.0,0.0,0.0,0.0,0.0,0.0,358207.5170830773,2972314861.2700415,273456.8305391213,83955.6043133043,2636209723.5142994,329497859.2828388,0.0,0.0,0.0,0.0,0.0,0.0,439736.5821424667,3657341519.2362347,339715.5902375532,113703.0882292323,3274964975.085952,446246852.3908035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,344682.9766167626,2692359491.539051,252760.63912835775,91166.69242684887,2099981230.379213,587508631.8635306,0.0,0.0,0.0,0.0,0.0,0.0,285078.94443379866,2235068617.537153,206716.03204246264,68908.43905941371,1717434284.0903852,444069008.9544685,0.0,0.0,0.0,0.0,0.0,0.0,340055.96059767995,2658235254.6550903,248379.3090919064,90524.71623856027,2063580345.8412862,583371522.7721483,0.0,0.0,0.0,0.0,0.0,0.0,417548.76683126535,3254526281.5553074,309476.805517505,116211.23014549252,2571189426.7463384,748904002.2455511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,63082.97889170068,490183205.0684646,44883.19052767266,17981.01775004757,372897686.889383,115875687.23435643,0.0,0.0,0.0,0.0,0.0,0.0,52469.21358455245,407534108.2273969,36278.55331338581,13534.684098918,301408800.3818261,87222027.32144523,0.0,0.0,0.0,0.0,0.0,0.0,62120.44304327645,483575316.55669343,44271.97212041792,17807.907111114422,367819573.51174855,114760104.42737636,0.0,0.0,0.0,0.0,0.0,0.0,76772.36743412823,593156286.3932537,54905.47189193543,23122.68216779563,456164618.0979382,149010290.971312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Northwest Territories,OSM,ACTIVE,6411552.055494577,50230262947.14709,4781550.221410987,1625002.6867226153,39725986418.23937,10472060352.710592,0.0,0.0,0.0,0.0,0.0,0.0,5326094.379225968,41694676306.93637,3914735.6862173174,1266348.350372354,32524334054.944824,8160771955.030278,0.0,0.0,0.0,0.0,0.0,0.0,6315690.903777655,49478076154.526955,4687162.303253474,1599564.9092477532,38941794476.05711,10308130813.927605,0.0,0.0,0.0,0.0,0.0,0.0,7706239.91644253,60599959532.60354,5823745.750712939,2029023.2206023026,48384735887.5655,13075703687.636784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,238253.37495535487,1838250852.3479269,162495.34198095737,75422.98389710557,1350040771.2245643,486050912.9034025,0.0,0.0,0.0,0.0,0.0,0.0,197251.24987898077,1519455164.2674518,130766.47115810003,58718.20048112233,1086431558.101429,378399706.2066614,0.0,0.0,0.0,0.0,0.0,0.0,235019.53577202896,1812471209.0435808,160026.22678907606,73765.11263800703,1329526914.4133317,475367036.4863614,0.0,0.0,0.0,0.0,0.0,0.0,288500.54869916104,2219461057.069668,198216.44888549758,94528.86437859088,1646818205.7435913,609175591.4830523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Nunavut,HABITAT,ACTIVE,198844.91451025015,1044914084.805922,140359.30581346393,58117.01156587808,761972118.545481,281158765.242259,0.0,0.0,0.0,0.0,0.0,0.0,164874.2118905684,865512244.9510746,113545.9241895543,44688.20034886668,616409634.5838444,216192796.09282163,0.0,0.0,0.0,0.0,0.0,0.0,195403.3303704984,1027910805.607784,138143.18793863754,57425.48356866374,749941423.3077028,277813287.686056,0.0,0.0,0.0,0.0,0.0,0.0,241538.92194994036,1268178789.9659536,172098.87201144177,73195.92875978831,934277505.4767152,354107625.2266433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,60287.38800693725,308544484.4366977,28513.52783833392,31319.253062995696,154792110.7778572,151516436.96476197,0.0,0.0,0.0,0.0,0.0,0.0,49989.955630657016,253947365.22570527,21699.28193505365,23016.75873592581,117799441.4488083,111350588.95339638,0.0,0.0,0.0,0.0,0.0,0.0,59310.54582520184,304257567.9807388,27920.571313214976,31162.13410241448,151573112.6713071,150756326.08220068,0.0,0.0,0.0,0.0,0.0,0.0,72705.7888297059,370812389.55525464,37149.95943377528,38697.79528389722,201676925.72697988,187212384.9190879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
