mode,scenario,hazard_map,draw,shapeGroup,shapeName,dam_cost_usd2024,dam_area_m2
DETECTION_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Magadan,1683447625.1265712,946295.2621300026
DETECTION_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Sakha Republic,989041263.901303,598887.9752655014
DETECTION_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Khanty-Mansi,7052848169.385201,6106034.054479243
DETECTION_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Chukotka,1072083877.1613147,315657.12531766243
DETECTION_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Nenets,6126863441.013748,3526990.996349684
DETECTION_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Krasnoyarsk Krai,4875041459.708202,4194953.503399856
DETECTION_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Yamalo-Nenets,48490256659.90253,31440402.1558409
DETECTION_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Kamchatka Krai,1504340603.526548,648278.6528156553
DETECTION_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Komi Republic,8550142062.5422735,7206603.911988274
DETECTION_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Murmansk,0.0,0.0
DETECTION_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Arkhangelsk,144171422.4996196,124098.94729278372
DETECTION_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,CAN,Northwest Territories,1034044830.265468,134029.99424627458
