mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_usd2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_usd2024_mean,total_cost_nonres_usd2024_mean,dam_area_m2_mean,dam_cost_usd2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_usd2024_mean,dam_cost_nonres_usd2024_mean,total_area_m2_p05,total_cost_usd2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_usd2024_p05,total_cost_nonres_usd2024_p05,dam_area_m2_p05,dam_cost_usd2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_usd2024_p05,dam_cost_nonres_usd2024_p05,total_area_m2_p50,total_cost_usd2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_usd2024_p50,total_cost_nonres_usd2024_p50,dam_area_m2_p50,dam_cost_usd2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_usd2024_p50,dam_cost_nonres_usd2024_p50,total_area_m2_p95,total_cost_usd2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_usd2024_p95,total_cost_nonres_usd2024_p95,dam_area_m2_p95,dam_cost_usd2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_usd2024_p95,dam_cost_nonres_usd2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
DETECTION_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,564639.0386848095,3779470766.820607,273538.6408376827,291100.39784712694,2636998400.4843516,1142472366.3362548,0.0,0.0,0.0,0.0,0.0,0.0,474168.8306654717,3173898918.168929,229710.46736325475,244458.36330221704,2214481044.273611,959417873.895319,0.0,0.0,0.0,0.0,0.0,0.0,556014.518023327,3721741631.063648,269360.5031284769,286654.0148948498,2596719840.85403,1125021790.2096198,0.0,0.0,0.0,0.0,0.0,0.0,684502.4645381713,4581789209.199207,331606.3200942326,352896.14444393665,3196789064.2473717,1385000144.9518285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,21771.482666654367,130527069.57560161,7887.337718900857,13884.144947753506,76036412.57091534,54490657.004686244,0.0,0.0,0.0,0.0,0.0,0.0,18283.111458157167,109613157.62901531,6623.576208875238,11659.535249281931,63853354.73921112,45759802.889804155,0.0,0.0,0.0,0.0,0.0,0.0,21438.936403953463,128533347.33659445,7766.863393782995,13672.07301017046,74875002.24269868,53658345.09389574,0.0,0.0,0.0,0.0,0.0,0.0,26393.204367673643,158235783.73460448,9561.687622251453,16831.516745422185,92177671.45655361,66058112.278050825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2802324.12624119,18662381752.467873,1340914.0667153564,1461410.0595258325,12926832707.389288,5735549045.078584,0.0,0.0,0.0,0.0,0.0,0.0,2353317.1868181224,15672171293.030357,1126063.930185013,1227253.2566331094,10855609919.123117,4816561373.90725,0.0,0.0,0.0,0.0,0.0,0.0,2759520.315893205,18377325130.468136,1320432.413338012,1439087.9025551863,12729383136.718279,5647941993.749928,0.0,0.0,0.0,0.0,0.0,0.0,3397210.676957173,22624093320.701744,1625567.6999211663,1771642.9770360067,15670983124.88436,6953110195.817314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,366844.0576565664,3132367881.4689035,296139.184769162,70704.87288740434,2854874741.519303,277493139.9495996,0.0,0.0,0.0,0.0,0.0,0.0,308065.87206714635,2630479144.7466516,248689.80239711038,59376.06967003593,2397447794.3213024,233031350.42534864,0.0,0.0,0.0,0.0,0.0,0.0,361240.7359978828,3084522851.8797092,291615.8373866194,69624.89861126279,2811268252.227443,273254599.652263,0.0,0.0,0.0,0.0,0.0,0.0,444718.91662325023,3797317202.3313627,359004.58156944875,85714.3350538018,3460916909.0920444,336400293.23931766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,324563.71983960184,2539261533.6149197,240183.02864770606,84380.69119189585,1995484161.4389164,543777372.1760033,6399.167361997234,53097689.88560064,6362.816148626474,1053.727083359552,52863430.51887885,6790569.4571387125,272559.9701204654,2132404225.8086133,201699.31236927444,70860.6577511906,1675754467.2166097,456649758.59200275,5434.098015767625,45089936.6943783,5403.228990897,866.7452632945024,44891006.38237588,5585596.123506856,319606.2048327691,2500475845.6600437,236514.3777908074,83091.82704196082,1965004344.7757285,535471500.88431543,6314.15619045703,52392301.736189224,6278.287892919026,1050.2266600988553,52161154.44047335,6768011.5598837985,393463.1701119409,3078304294.926088,291169.86921864416,102293.30089329665,2419092079.8416433,659212215.0844429,7555.8397184162595,62695286.98004758,7512.917893394061,1237.7886813307334,62418684.3960928,7976723.90372492,0.019716212782992747,0.02091068177999381,0.026491530998050992,0.01248777496931377,0.026491530998050992,0.01248777496931377
DETECTION_ONLY,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,58409.6518356927,453279165.1130367,41241.4978224795,17168.15401321319,342641843.4396798,110637321.67335686,912.7091922054972,7582953.497173217,912.7091922054972,349.12962393421276,7582953.497173217,2249907.9679259136,49050.87040212273,380651773.8966466,34633.511779361506,14417.358622761181,287741496.9735172,92910276.92312947,775.0619619344953,6439355.344471918,775.0619619344953,287.1772516807511,6439355.344471918,1850666.1780305922,57517.479643241524,446355599.33543354,40611.55882479891,16905.920818442683,337408196.0016331,108947403.3338005,900.5841025937317,7482216.05368051,900.5841025937317,347.969834577066,7482216.05368051,2242433.8977328567,70809.0441771003,549502751.99954,49996.37815778302,20812.666019317272,415378977.0446357,134123774.95490462,1077.6846385960948,8953599.425623156,1077.6846385960948,410.1144439082113,8953599.425623156,2642914.527598093,0.015625999531258344,0.016729102241622367,0.02213084491097234,0.020335886063551786,0.022130844910972336,0.020335886063551786
DETECTION_ONLY,SSP245,CAN,Northwest Territories,OSM,ACTIVE,5547148.427008761,43107571652.73719,3948764.4311752687,1598383.9958334893,32807051039.485924,10300520613.251284,125185.99568634052,960731972.622653,82620.28323688175,42565.71244945878,686424297.0914397,274307675.5312133,4658347.551188065,36200590896.1186,3316067.2298979545,1342280.321290083,27550487945.73193,8650102950.386662,106306.48212156122,815842344.9146743,70160.17737963516,36146.30474192609,582903477.8729528,232938867.04172122,5462419.081456448,42449129503.12703,3888449.4368324834,1573969.6446239857,32305943127.79876,10143186375.32836,123522.93429855388,947968913.6325383,81522.695586235,42000.23871231897,677305339.8321006,270663573.80043757,6724715.277021588,52258588257.17113,4787021.087518112,1937694.1895034905,39771439366.05002,12487148891.121124,147813.8115301799,1134387708.0953557,97554.19452464419,50259.61700553584,810497940.4743539,323889767.6210013,0.02256763043815752,0.022286849752568925,0.020923072185466254,0.026630467122052588,0.020923072185466254,0.026630467122052588
DETECTION_ONLY,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,214183.45399548387,1639881570.46413,139288.14558957942,74895.30840590445,1157231174.7633479,482650395.7007822,5721.484473421241,42552607.48435695,3048.2378605981316,2673.2466128231094,25325312.972233247,17227294.512123704,179865.56183838792,1377128879.5546646,116970.47599402862,62895.08584435932,971811928.2458482,405316951.3088156,4706.218189381747,35001730.10672407,2507.333985043716,2198.884204338031,20831385.4761613,14170344.630562767,210911.93095549976,1614833368.8381915,137160.60320013532,73751.32775536466,1139555166.742177,475278202.09601516,5702.478017525066,42411250.068956144,3038.11178252737,2664.366234997695,25241183.679162603,17170066.38979353,259651.01964025904,1988001005.2936144,168856.68968107004,90794.32995918905,1402892001.6068728,585109003.6867409,6720.894654269632,49985557.680948466,3580.6940729117905,3140.20058135784,29749055.75003843,20236501.930910036,0.026713008716078884,0.025948585709340846,0.021884402636674773,0.03569311175454565,0.021884402636674766,0.03569311175454566
DETECTION_ONLY,SSP245,CAN,Nunavut,HABITAT,ACTIVE,186298.70128446724,978476315.9244548,130642.87583039865,55655.8254540686,709224288.9948385,269252026.9296161,0.0,0.0,0.0,0.0,0.0,0.0,156448.6889682868,821698357.301769,109710.40863834832,46738.28032993798,595587674.163559,226110683.13820964,0.0,0.0,0.0,0.0,0.0,0.0,183453.10101889286,963530680.5268058,128647.38472071663,54805.71629817577,698391315.8651233,265139364.6616841,0.0,0.0,0.0,0.0,0.0,0.0,225846.8002256977,1186190475.427603,158376.17372074854,67470.6265049489,859780745.6921031,326409729.7354977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,60166.41153468394,307388478.94014144,27609.668823767715,32556.7427109162,149885308.4521836,157503170.48795786,0.0,0.0,0.0,0.0,0.0,0.0,50526.15042202918,258136660.11932838,23185.864745945837,27340.28567608334,125869691.20705517,132266968.91227311,0.0,0.0,0.0,0.0,0.0,0.0,59247.40589770769,302693305.37598944,27187.947789774207,32059.45810793358,147595900.79342595,155097404.5825638,0.0,0.0,0.0,0.0,0.0,0.0,72938.73458313689,372641912.7789343,33470.739818082846,39467.994765054114,181703453.010543,190938459.76839137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
