mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_usd2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_usd2024_mean,total_cost_nonres_usd2024_mean,dam_area_m2_mean,dam_cost_usd2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_usd2024_mean,dam_cost_nonres_usd2024_mean,total_area_m2_p05,total_cost_usd2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_usd2024_p05,total_cost_nonres_usd2024_p05,dam_area_m2_p05,dam_cost_usd2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_usd2024_p05,dam_cost_nonres_usd2024_p05,total_area_m2_p50,total_cost_usd2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_usd2024_p50,total_cost_nonres_usd2024_p50,dam_area_m2_p50,dam_cost_usd2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_usd2024_p50,dam_cost_nonres_usd2024_p50,total_area_m2_p95,total_cost_usd2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_usd2024_p95,total_cost_nonres_usd2024_p95,dam_area_m2_p95,dam_cost_usd2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_usd2024_p95,dam_cost_nonres_usd2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
DETECTION_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,558923.4297699156,3741212737.657874,270769.721604288,288153.70816562773,2610305149.5155983,1130907588.1422758,0.0,0.0,0.0,0.0,0.0,0.0,467012.6973874925,3125998587.7373037,226243.6879937813,240769.00939371108,2181060202.435186,944938385.3021206,0.0,0.0,0.0,0.0,0.0,0.0,550877.709951698,3687357866.195542,266871.9832035527,284005.7267481452,2572729727.276276,1114628138.919267,0.0,0.0,0.0,0.0,0.0,0.0,669878.7566429144,4483903882.989069,324521.88400743157,345356.8726354827,3128492875.5552845,1355411007.4337802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,21551.098895971714,129205797.6985472,7807.497440966954,13743.601455004762,75266727.21837728,53939070.4801699,0.0,0.0,0.0,0.0,0.0,0.0,18007.18361585867,107958881.10494992,6523.613514024453,11483.570101834212,62889682.96829655,45069198.13665339,0.0,0.0,0.0,0.0,0.0,0.0,21240.870170074373,127345876.30001181,7695.108277182332,13545.76189289204,74183260.3844988,53162615.915512994,0.0,0.0,0.0,0.0,0.0,0.0,25829.34005587302,154855235.0882633,9357.411766403622,16471.9282894694,90208388.05484232,64646847.033420965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2773957.350901542,18473470132.460133,1327340.544750463,1446616.8061510795,12795979692.98243,5677490439.477701,0.0,0.0,0.0,0.0,0.0,0.0,2317801.036567178,15435647634.630363,1109069.4272932466,1208731.6092739312,10691777574.24719,4743870060.383173,0.0,0.0,0.0,0.0,0.0,0.0,2734026.1502320245,18207543966.478577,1308233.4371260419,1425792.7131059768,12611781175.035673,5595762791.442888,0.0,0.0,0.0,0.0,0.0,0.0,3324632.6817384413,22140752282.126804,1590839.078127744,1733793.603610688,15336188304.526178,6804563977.600613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,363130.64603840845,3100660208.8472004,293141.4895186555,69989.15651975293,2825976017.900156,274684190.9470438,0.0,0.0,0.0,0.0,0.0,0.0,303416.5566833926,2590780079.5037255,244936.58781248576,58479.96887090694,2361265627.05594,229514452.44778445,0.0,0.0,0.0,0.0,0.0,0.0,357903.3693135157,3056026110.5734,288921.7088364732,68981.66047704252,2785296006.9326677,270730103.64073145,0.0,0.0,0.0,0.0,0.0,0.0,435217.9434798145,3716191332.9161367,351334.8091348497,83883.13434496496,3386977894.1865826,329213438.72955453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,321278.2947034171,2513557632.7784104,237751.7545669365,83526.54013648059,1975284695.4416385,538272937.3367721,2599.3831575255786,21088211.854805276,2326.8635833430003,272.5195741825777,19332004.648840148,1756207.2059651257,268446.50810802786,2100222083.3826814,198655.27600913317,69791.23209889469,1650464061.0721538,449758022.3105279,2185.9531809152777,17743041.50473038,1961.549608873996,224.4035720412819,16296909.895853063,1446131.6088773208,316653.483852452,2477374893.9932384,234329.31080872306,82324.17304372895,1946850412.0062864,530524481.98695165,2568.8206379324974,20836148.983063634,2297.296898523283,271.52373940921484,19086359.269163717,1749789.7138999177,385057.22453051683,3012539414.3685274,284949.31730547274,100107.907225044,2367410606.3918753,645128807.9766494,3080.2799168248075,24994762.019514624,2760.102290236575,320.1776265882328,22931430.397594698,2063331.6219199256,0.008090752473412987,0.008389786484225153,0.009786945999962732,0.003262670448665616,0.009786945999962732,0.003262670448665617
DETECTION_ONLY,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,57818.394937257995,448690806.42800796,40824.02709079436,16994.367846463625,339173420.88862646,109517385.53938152,317.5394324913745,2475494.1274691094,230.2570265078213,87.28240598355319,1913017.1354876307,562476.9919814784,48310.59701573022,374906995.55961263,34110.824478659444,14199.772537070758,283398916.08506435,91508079.4745482,267.27048809345354,2086718.0592758064,195.47617517326577,71.79431292018778,1624051.5147681583,462666.54450764804,56986.09737872525,442231888.58479625,40236.36397572498,16749.733403000308,334291009.15043944,107940879.43435682,314.21130400590556,2448383.8499558577,227.21884536163907,86.9924586442665,1887775.3755226438,560608.4744332142,69296.28004251557,537763177.4191886,48928.25573620274,20368.024306312836,406504822.2521776,131258355.16701113,374.39277924214446,2919425.446950017,271.8641682650917,102.52861097705282,2258696.8150504935,660728.6318995232,0.005492013966073504,0.005517149208329724,0.005640233042069072,0.00513596073546895,0.00564023304206907,0.00513596073546895
DETECTION_ONLY,SSP245,CAN,Northwest Territories,OSM,ACTIVE,5490996.923429588,42671211422.64809,3908792.711830089,1582204.2115994962,32474958745.92183,10196252676.726246,47222.81949021941,359469691.8539207,29589.369123867556,17633.45036635185,245833844.9893277,113635846.86459303,4588043.993097432,35654253312.45522,3266021.302116106,1322022.6909813175,27134697301.424217,8519556011.031024,39830.238824717715,303281449.8720437,25003.166015401595,14827.072809316127,207730837.8134576,95550612.05858608,5411953.855246183,42056958032.78412,3852525.521528517,1559428.3337176656,32007480724.31623,10049477308.467901,46577.914003352525,354502413.0903249,29154.090791388193,17423.823211964354,242217473.66130072,112284939.42902422,6581048.486930085,51142135988.13966,4684751.188286228,1896297.29864386,38921762495.63088,12220373492.508776,56165.59458944986,427666458.8705832,35258.5762915575,20907.0182978924,292934646.3021239,134731812.56845906,0.008600044791269851,0.008424173579077937,0.007569950955525056,0.011144863752148456,0.0075699509555250555,0.011144863752148458
DETECTION_ONLY,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,212015.36292276814,1623281723.3381732,137878.1889409474,74137.1739818207,1145516999.2177162,477764724.1204573,1932.0373909297286,14711483.44176828,1212.9689993733336,719.0683915563951,10077566.430041835,4633917.011726445,177151.03939534212,1356345316.4739423,115205.1631736409,61945.87622170121,957145389.1781127,399199927.2958293,1602.5636735582802,12209458.01447231,1009.7405944199471,592.8230791383331,8389107.984321214,3820350.0301510957,208963.39530720995,1599914533.4220343,135893.42820597728,73069.9671012329,1129027247.076702,470887286.3453335,1920.6212790388113,14622031.002682712,1204.447271193395,716.1740078454159,10006766.366827969,4615264.635854741,254103.83630252437,1945529359.8240798,165249.23604286893,88854.60025965546,1372920622.535315,572608737.2887642,2272.5679066979046,17305990.2209278,1427.586561264443,844.9813454334613,11860648.057130959,5445342.163796842,0.00911272355123398,0.009062803597341731,0.008797395793274038,0.009699161067735319,0.008797395793274036,0.009699161067735319
DETECTION_ONLY,SSP245,CAN,Nunavut,HABITAT,ACTIVE,184412.87610246273,968571602.3443648,129320.43169422474,55092.44440823798,702045103.0174038,266526499.32696092,0.0,0.0,0.0,0.0,0.0,0.0,154087.57284884213,809297325.0557313,108054.66440670867,46032.90844213337,586599093.515913,222698231.5398176,0.0,0.0,0.0,0.0,0.0,0.0,181758.24712653525,954628984.5880241,127458.86013582532,54299.386990709616,691939142.3477021,262689842.2403223,0.0,0.0,0.0,0.0,0.0,0.0,221021.8100953743,1160848706.8884754,154992.625783309,66029.18431206512,841412393.3042862,319436313.5841888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,59557.37167986658,304276911.70834285,27330.187494184192,32227.184185682367,148368081.07946005,155908830.62888277,0.0,0.0,0.0,0.0,0.0,0.0,49763.61218024758,254240874.01049885,22835.94478588787,26927.667394359705,123970071.85697758,130270802.1535213,0.0,0.0,0.0,0.0,0.0,0.0,58700.04149808669,299896836.28411925,26936.768611658397,31763.272886428298,146232318.0272234,153664518.25689587,0.0,0.0,0.0,0.0,0.0,0.0,71380.47175129598,364680792.45530623,32755.67106742761,38624.80068386838,177821541.17231715,186859251.28298903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
