mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_usd2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_usd2024_mean,total_cost_nonres_usd2024_mean,dam_area_m2_mean,dam_cost_usd2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_usd2024_mean,dam_cost_nonres_usd2024_mean,total_area_m2_p05,total_cost_usd2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_usd2024_p05,total_cost_nonres_usd2024_p05,dam_area_m2_p05,dam_cost_usd2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_usd2024_p05,dam_cost_nonres_usd2024_p05,total_area_m2_p50,total_cost_usd2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_usd2024_p50,total_cost_nonres_usd2024_p50,dam_area_m2_p50,dam_cost_usd2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_usd2024_p50,dam_cost_nonres_usd2024_p50,total_area_m2_p95,total_cost_usd2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_usd2024_p95,total_cost_nonres_usd2024_p95,dam_area_m2_p95,dam_cost_usd2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_usd2024_p95,dam_cost_nonres_usd2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
DETECTION_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,554808.0505339657,3713666014.085797,268776.0315375233,286032.01899644226,2591085351.168207,1122580662.9175894,0.0,0.0,0.0,0.0,0.0,0.0,458875.18202435644,3071529273.144455,222301.47936185118,236573.70266250556,2143056073.2016,928473199.9428616,0.0,0.0,0.0,0.0,0.0,0.0,541498.8911242653,3624579756.36425,262328.42673835676,279170.46438590967,2528928416.0811124,1095651340.2831447,0.0,0.0,0.0,0.0,0.0,0.0,655314.2318821492,4386414705.311656,317466.11911241844,337848.11276973167,3060473086.1560073,1325941619.1556485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,21392.41715141701,128254449.3944837,7750.010473804895,13642.406677612118,74712534.80157353,53541914.592910156,0.0,0.0,0.0,0.0,0.0,0.0,17693.415416106138,106077739.41759762,6409.942075345161,11283.473340760956,61793854.601744436,44283884.81585322,0.0,0.0,0.0,0.0,0.0,0.0,20879.239504205543,125177783.67135365,7564.097301269924,13315.14220293562,72920273.4336646,52257510.23768905,0.0,0.0,0.0,0.0,0.0,0.0,25267.757741062465,151488367.75083676,9153.962628754522,16113.79511230792,88247074.47619162,63241293.27464503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2753532.573775969,18337449111.780502,1317567.2745206766,1435965.2992552933,12701762298.743269,5635686813.037223,0.0,0.0,0.0,0.0,0.0,0.0,2277414.2512629074,15166687453.313229,1089744.3221004535,1187669.9291624539,10505477491.280783,4661209962.032444,0.0,0.0,0.0,0.0,0.0,0.0,2687478.730597388,17897556372.010338,1285960.4640702447,1401518.2665271384,12397062720.113556,5500493651.896772,0.0,0.0,0.0,0.0,0.0,0.0,3252348.4145730087,21659367357.411404,1556251.0054145567,1696097.4091584387,15002748421.439857,6656618935.971537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,360456.89818486304,3077829903.367827,290983.0750831449,69473.82310171817,2805168224.9075694,272661678.4602573,0.0,0.0,0.0,0.0,0.0,0.0,298129.640706048,2545636740.109732,240668.66264156852,57460.97806447959,2320121488.097616,225515252.0121144,0.0,0.0,0.0,0.0,0.0,0.0,351809.98270904925,3003996568.072066,284002.75075641775,67807.23195263131,2737875706.278131,266120861.7939323,0.0,0.0,0.0,0.0,0.0,0.0,425755.42141700553,3635393785.378969,343696.0767878104,82059.34462919555,3313338115.4731083,322055669.9058616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,318912.7076613278,2495050190.9011593,236001.17732873012,82911.53033259757,1960740582.2630997,534309608.6380601,0.0,0.0,0.0,0.0,0.0,0.0,263768.9316820988,2063626527.0624185,195193.78477016801,68575.1469119309,1621705364.0850942,441921162.9773251,0.0,0.0,0.0,0.0,0.0,0.0,311262.3859690623,2435197020.6129036,230339.80077350154,80922.58519556028,1913704839.098788,521492181.5141133,0.0,0.0,0.0,0.0,0.0,0.0,376685.2983791467,2947040688.7286296,278753.9403864361,97931.35799271085,2315938291.3590965,631102397.3695331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,57392.67540340574,445387075.1299737,40523.4378786254,16869.237524780347,336676071.19926775,108711003.93070601,0.0,0.0,0.0,0.0,0.0,0.0,47468.80357495874,368374386.3753661,33516.456574323856,13952.34700063493,278460799.74167806,89913586.63368802,0.0,0.0,0.0,0.0,0.0,0.0,56015.89605574144,434702789.67986226,39551.33068941537,16464.565366326067,328599628.3705995,106103161.3092628,0.0,0.0,0.0,0.0,0.0,0.0,67789.63816665435,526071113.69082034,47864.456078273295,19925.18208838104,397666581.7641038,128404531.92671663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Northwest Territories,OSM,ACTIVE,5450566.457430605,42357021306.24185,3880012.0891059344,1570554.368324667,32235844112.69502,10121177193.546782,0.0,0.0,0.0,0.0,0.0,0.0,4508099.103612789,35032991758.509766,3209112.145960467,1298986.9576523239,26661885711.076416,8371106047.4332695,0.0,0.0,0.0,0.0,0.0,0.0,5319814.104819139,41340928716.84576,3786935.394642384,1532878.7101767461,31462546054.764557,9878382662.081194,0.0,0.0,0.0,0.0,0.0,0.0,6437963.126050716,50030202076.91887,4582895.182250514,1855067.9438001842,38075524324.948875,11954677751.970034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,210454.2839344817,1611329424.4319112,136862.98541639384,73591.29851808785,1137082504.2190917,474246920.21281993,0.0,0.0,0.0,0.0,0.0,0.0,174064.25115009886,1332711524.6899772,113197.75782795675,60866.493322142196,940467501.5044746,392244023.18550247,0.0,0.0,0.0,0.0,0.0,0.0,205405.74577674858,1572675623.0844631,133579.81155393636,71825.93422281242,1109805300.335573,462870322.74889183,0.0,0.0,0.0,0.0,0.0,0.0,248579.10279077612,1903229599.975066,161656.38201342442,86922.72077735174,1343070539.6610804,560159060.3139837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Nunavut,HABITAT,ACTIVE,183055.0355097606,961439964.541205,128368.23933471389,54686.79617504668,696875912.2378231,264564052.3033818,0.0,0.0,0.0,0.0,0.0,0.0,151402.65657495888,795195632.633178,106171.85373242307,45230.802842535806,576377831.5198469,218817801.11333025,0.0,0.0,0.0,0.0,0.0,0.0,178663.77145726056,938376208.0967586,125288.843931558,53374.927525702165,680158720.4165695,258217487.68018815,0.0,0.0,0.0,0.0,0.0,0.0,216216.34702630294,1135609498.1998632,151622.771293118,64593.57573318496,823118378.8803793,312491119.3194839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,59118.847979294595,302036506.64080256,27128.954051216006,31989.89392807858,147275639.9906985,154760866.650104,0.0,0.0,0.0,0.0,0.0,0.0,48896.500513033316,249810825.25642636,22438.03729308003,26458.463219953297,121809941.37241365,128000883.88401291,0.0,0.0,0.0,0.0,0.0,0.0,57700.659885021356,294791024.15264785,26478.163973929702,31222.495911091606,143742679.41466653,151048344.73798114,0.0,0.0,0.0,0.0,0.0,0.0,69828.51531448221,356751891.32384115,32043.496248348674,37785.019066133544,173955339.69373828,182796551.63010284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Nunavut,OSM,ACTIVE,2943414.3368646028,15404255445.366796,1970808.6837678715,972605.6530967304,10698979018.991316,4705276426.375485,0.0,0.0,0.0,0.0,0.0,0.0,2434463.2135419133,12740677635.516085,1630032.5718575707,804430.6416843474,8848999108.951946,3891678526.5641737,0.0,0.0,0.0,0.0,0.0,0.0,2872805.46487649,15034726396.33296,1923531.4192922742,949274.0455842188,10442323735.875399,4592402660.457592,0.0,0.0,0.0,0.0,0.0,0.0,3476628.1841385127,18194811367.970573,2327830.278502688,1148797.9056358375,12637151193.112152,5557660174.858382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Nunavut,OSM,NOT_ACTIVE,132209.70904393203,659091713.3980618,32977.252013522855,99232.45703040916,179024443.2666741,480067270.13138753,0.0,0.0,0.0,0.0,0.0,0.0,109349.08793146194,545126967.1829777,27275.095424092007,82073.9925073699,148069001.363157,397057965.81982046,0.0,0.0,0.0,0.0,0.0,0.0,129038.16153036906,643280917.8070741,32186.168496404778,96851.99303396419,174729868.14041957,468551049.6666543,0.0,0.0,0.0,0.0,0.0,0.0,156160.1419555878,778489388.3382801,38951.24187910971,117208.9000764779,211455593.36156017,567033794.9767215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DETECTION_ONLY,SSP245,CAN,Quebec,HABITAT,ACTIVE,88317.2516214698,559164861.0867933,62802.14080908204,25515.11081238776,451124691.0286968,108040170.05809632,0.0,0.0,0.0,0.0,0.0,0.0,73046.15510659722,462478648.5449852,51942.908484386746,21103.24662221045,373119900.6795984,89358747.86538681,0.0,0.0,0.0,0.0,0.0,0.0,86198.6299119877,545751187.1767898,61295.595072238415,24903.034839749325,440302767.2646595,105448419.91213088,0.0,0.0,0.0,0.0,0.0,0.0,104316.35202943554,660460299.8927604,74179.05458518333,30137.297444252203,532848126.6629424,127612173.22981846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
