mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_usd2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_usd2024_mean,total_cost_nonres_usd2024_mean,dam_area_m2_mean,dam_cost_usd2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_usd2024_mean,dam_cost_nonres_usd2024_mean,total_area_m2_p05,total_cost_usd2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_usd2024_p05,total_cost_nonres_usd2024_p05,dam_area_m2_p05,dam_cost_usd2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_usd2024_p05,dam_cost_nonres_usd2024_p05,total_area_m2_p50,total_cost_usd2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_usd2024_p50,total_cost_nonres_usd2024_p50,dam_area_m2_p50,dam_cost_usd2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_usd2024_p50,dam_cost_nonres_usd2024_p50,total_area_m2_p95,total_cost_usd2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_usd2024_p95,total_cost_nonres_usd2024_p95,dam_area_m2_p95,dam_cost_usd2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_usd2024_p95,dam_cost_nonres_usd2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
EXTENT_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,440083.5096310755,2945745238.382182,213197.8783471256,226885.63128395117,2055294500.5003433,890450737.881838,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,2945745238.3821826,213197.87834712566,226885.6312839511,2055294500.5003443,890450737.8818382,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,2945745238.3821826,213197.87834712563,226885.63128395114,2055294500.5003443,890450737.8818382,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,2945745238.3821826,213197.87834712563,226885.63128395114,2055294500.5003443,890450737.8818382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTENT_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,16968.84176505164,101733686.38217017,6147.444698589245,10821.397066462403,59263297.45443654,42470388.92773373,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,101733686.38217019,6147.444698589245,10821.397066462401,59263297.45443657,42470388.92773372,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,101733686.38217019,6147.444698589245,10821.397066462401,59263297.45443656,42470388.92773372,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,101733686.38217019,6147.444698589245,10821.397066462401,59263297.45443656,42470388.92773372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTENT_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.4963465417,14545587352.286648,1045117.5497328385,1139032.9466137048,10075261390.945534,4470325961.341042,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,14545587352.286644,1045117.5497328388,1139032.946613705,10075261390.945534,4470325961.34104,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,14545587352.286644,1045117.5497328388,1139032.946613705,10075261390.945534,4470325961.34104,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,14545587352.286644,1045117.5497328388,1139032.946613705,10075261390.945534,4470325961.34104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTENT_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436463,2441388845.4177556,230812.89610449504,55107.859139150925,2225108803.548853,216280041.86890242,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2441388845.417756,230812.896104495,55107.85913915091,2225108803.548853,216280041.86890244,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2441388845.417756,230812.896104495,55107.85913915091,2225108803.548853,216280041.86890242,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2441388845.417756,230812.896104495,55107.85913915091,2225108803.548853,216280041.86890242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTENT_ONLY,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,252967.17219310498,1979117721.274394,187200.2871911016,65766.88500200343,1555293936.5028195,423823784.77157545,2024.2487154156788,16430482.422620766,1816.4296274338526,207.819087981826,15091226.771185376,1339255.6514353896,252967.1721931049,1979117721.274394,187200.28719110158,65766.88500200344,1555293936.5028198,423823784.77157545,1288.4769210795284,10409762.634412117,1130.128475927491,157.24052742393332,9389312.337351728,1013310.5049792156,252967.1721931049,1979117721.2743943,187200.28719110158,65766.88500200344,1555293936.5028198,423823784.77157545,2040.9452047515413,16580180.96756422,1839.0177389930714,203.11327048286378,15278892.89858421,1308929.79089336,252967.1721931049,1979117721.274394,187200.28719110158,65766.88500200344,1555293936.5028198,423823784.77157545,2748.6803238328484,22329983.917221442,2476.903368634535,272.12257275533574,20578562.396157537,1753648.7960990006,0.008002021360583691,0.00830192274365612,0.009703134833225805,0.0031599350946223967,0.009703134833225794,0.0031599350946223946
EXTENT_ONLY,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,45524.880171330005,353288866.2644225,32143.904088591804,13380.976082738194,267057384.76501313,86231481.49940905,249.36133978457664,1947749.9854691594,182.8380482393623,66.52329154521435,1519051.664159023,428698.32131013664,45524.88017133,353288866.26442254,32143.904088591808,13380.976082738194,267057384.76501304,86231481.49940906,132.9307734755211,1010630.2619954592,82.6140344242594,50.31673905126172,686372.3808228928,324257.8811725664,45524.88017133,353288866.26442254,32143.904088591808,13380.976082738194,267057384.76501307,86231481.49940906,252.6908917917092,1978191.1572634792,187.65841446181307,65.03247732989612,1559100.140953544,419091.01630993513,45524.88017133,353288866.26442254,32143.904088591808,13380.976082738194,267057384.76501304,86231481.49940906,359.3882318545165,2823255.4974645115,272.1455046691073,87.2427271854092,2261034.208918038,562221.2885464737,0.005477473830707978,0.005513193795389371,0.00568810956302764,0.004971482732939873,0.0056881095630276395,0.004971482732939878
EXTENT_ONLY,SSP245,CAN,Northwest Territories,OSM,ACTIVE,4323485.237380558,33598334732.217453,3077693.872576926,1245791.3648036085,25570038861.87589,8028295870.341551,36634.35747496916,278982557.1177224,23016.111829360307,13618.245645608851,191222031.26500565,87760525.8527167,4323485.237380558,33598334732.217453,3077693.872576926,1245791.364803608,25570038861.875885,8028295870.341549,25892.638839936873,196316668.23971158,15780.398165425242,10025.123557970275,131106409.88083217,64605246.37911938,4323485.237380558,33598334732.217453,3077693.872576926,1245791.364803608,25570038861.875885,8028295870.341549,36273.785739972,277220150.95365095,22897.3346726644,13371.828792408722,190235209.10583025,86172533.30370666,4323485.237380558,33598334732.217453,3077693.872576926,1245791.364803608,25570038861.875885,8028295870.341549,48334.7166825655,369088613.2855387,30895.120320307135,17544.834032973842,256682262.73951325,113064773.5987131,0.008473339323153231,0.008303463827634467,0.007478362950402575,0.010931401541505856,0.007478362950402535,0.010931401541505853
EXTENT_ONLY,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,166936.0417565026,1278134856.8993163,108562.12865452304,58373.913101979546,901953853.6169748,376181003.282341,1480.7332699627264,11279372.60329931,931.9608392807091,548.7724306820169,7742899.672539944,3536472.930759367,166936.04175650253,1278134856.899316,108562.12865452303,58373.91310197953,901953853.6169748,376181003.282341,1118.536488872439,8518903.767230147,703.2126109639039,415.4448457613418,5842417.906057907,2677265.418440474,166936.04175650253,1278134856.899316,108562.12865452303,58373.91310197954,901953853.6169748,376181003.282341,1456.5044711397204,11100310.5366718,919.3149998775905,537.0391500269773,7637835.74533784,3460859.7492189226,166936.04175650253,1278134856.899316,108562.12865452303,58373.913101979546,901953853.6169748,376181003.282341,1927.5626950297872,14677768.393097207,1210.2068738190537,717.5451574465088,10054618.189999629,4624100.782091642,0.008870063375065308,0.008824868942751814,0.0085845851664026,0.009400987556261791,0.008584585166402599,0.0094009875562618
EXTENT_ONLY,SSP245,CAN,Nunavut,HABITAT,ACTIVE,145202.4757125345,762631100.0492028,101823.94656532542,43378.52914720911,552774237.7563143,209856862.29288802,0.0,0.0,0.0,0.0,0.0,0.0,145202.47571253453,762631100.0492028,101823.94656532543,43378.52914720911,552774237.7563142,209856862.29288802,0.0,0.0,0.0,0.0,0.0,0.0,145202.47571253453,762631100.0492028,101823.94656532543,43378.52914720911,552774237.7563142,209856862.29288802,0.0,0.0,0.0,0.0,0.0,0.0,145202.47571253453,762631100.0492028,101823.94656532543,43378.52914720911,552774237.7563142,209856862.29288805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTENT_ONLY,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,46894.11063706486,239580672.54299322,21519.163790051072,25374.946847013747,116821629.51292945,122759043.03006366,0.0,0.0,0.0,0.0,0.0,0.0,46894.110637064856,239580672.54299328,21519.163790051072,25374.94684701375,116821629.51292947,122759043.03006366,0.0,0.0,0.0,0.0,0.0,0.0,46894.110637064856,239580672.54299328,21519.163790051072,25374.94684701375,116821629.51292945,122759043.03006366,0.0,0.0,0.0,0.0,0.0,0.0,46894.110637064856,239580672.54299325,21519.163790051072,25374.94684701375,116821629.51292947,122759043.03006366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTENT_ONLY,SSP245,CAN,Nunavut,OSM,ACTIVE,2334768.052516758,12218926515.44293,1563280.1318027508,771487.9207139973,8486618446.894178,3732308068.548707,0.0,0.0,0.0,0.0,0.0,0.0,2334768.0525167575,12218926515.442932,1563280.1318027508,771487.9207139972,8486618446.894177,3732308068.548708,0.0,0.0,0.0,0.0,0.0,0.0,2334768.0525167575,12218926515.442932,1563280.1318027508,771487.9207139972,8486618446.894177,3732308068.548708,0.0,0.0,0.0,0.0,0.0,0.0,2334768.0525167575,12218926515.442932,1563280.1318027508,771487.9207139972,8486618446.894178,3732308068.548708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTENT_ONLY,SSP245,CAN,Nunavut,OSM,NOT_ACTIVE,104871.0679438764,522803146.28062844,26158.13665669069,78712.93128718577,142005339.01179266,380797807.26883554,0.0,0.0,0.0,0.0,0.0,0.0,104871.06794387642,522803146.28062844,26158.136656690695,78712.93128718575,142005339.0117926,380797807.2688355,0.0,0.0,0.0,0.0,0.0,0.0,104871.06794387642,522803146.28062844,26158.136656690695,78712.93128718575,142005339.0117926,380797807.2688355,0.0,0.0,0.0,0.0,0.0,0.0,104871.06794387642,522803146.28062844,26158.136656690695,78712.93128718575,142005339.0117926,380797807.2688355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTENT_ONLY,SSP245,CAN,Quebec,HABITAT,ACTIVE,70054.79826246297,443539408.4361511,49815.76333113049,20239.03493133254,357840044.1703572,85699364.26579408,0.0,0.0,0.0,0.0,0.0,0.0,70054.79826246298,443539408.4361512,49815.763331130474,20239.034931332535,357840044.1703572,85699364.2657941,0.0,0.0,0.0,0.0,0.0,0.0,70054.79826246298,443539408.4361512,49815.763331130474,20239.034931332535,357840044.1703572,85699364.2657941,0.0,0.0,0.0,0.0,0.0,0.0,70054.79826246298,443539408.4361512,49815.763331130474,20239.034931332535,357840044.1703572,85699364.2657941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
