mode,scenario,hazard_map,draw,shapeGroup,dam_cost_usd2024,dam_area_m2
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,61872966268.87622,42131069.35180732
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,CAN,228250890.4742379,28620.041714608415
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,USA,7904944020.61225,2023199.783856168
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,RUS,57622193062.64061,39303721.99706078
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,CAN,823364636.5540001,106775.00989189319
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,USA,4012195538.4164486,1058086.4529195933
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,RUS,155438533334.27817,105759442.45121977
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,CAN,823364636.5540001,106775.00989189319
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,USA,4129138432.6606355,1085420.4077249824
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,RUS,61473051840.21131,41922329.36206829
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,CAN,823364636.5540001,106775.00989189319
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,USA,8047339534.871763,2061007.9536870378
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,RUS,119004942001.99799,82556268.08083284
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,CAN,1221254804.1469605,156339.67267836342
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,USA,4129138432.6606355,1085420.4077249824
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,RUS,176646578263.1054,118260088.22380166
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,CAN,1215132820.9306934,155626.68012688408
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,USA,7904944020.61225,2023199.783856168
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,RUS,171199311923.95557,114962764.32260491
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,CAN,30575626.01239967,3752.8780582804984
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,USA,8811857361.299442,2248870.4077644283
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,RUS,179367122969.9916,119950856.88796407
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,CAN,823364636.5540001,106775.00989189319
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,USA,4011899266.8820233,1058006.1489609035
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,RUS,89472627206.9786,62747081.76988092
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,CAN,829769181.8136282,107644.83053686087
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,USA,8420955815.680944,2160489.3294786704
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,RUS,164041275489.64716,110332882.87452218
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,CAN,228250890.4742379,28620.041714608415
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,USA,4759437248.343101,1248133.4288161597
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,10,RUS,80604312012.01834,55767418.807966806
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,10,CAN,228250890.4742379,28620.041714608415
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,10,USA,4012195538.4164486,1058086.4529195933
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,11,RUS,135176373341.68626,92791240.18556377
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,11,CAN,824462791.6282263,106927.88667069352
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,11,USA,8075065061.956551,2066525.6564617842
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,12,RUS,56536490814.11386,38565719.35995837
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,12,CAN,228250890.4742379,28620.041714608415
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,12,USA,8388176232.77792,2151228.69466854
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,13,RUS,159625659086.80743,107531717.37731242
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,13,CAN,1221254804.1469605,156339.67267836342
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,13,USA,8090083318.652369,2069978.638578466
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,14,RUS,75449224353.4241,52000252.21690254
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,14,CAN,823364636.5540001,106775.00989189319
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,14,USA,8814678872.48718,2249605.7811732185
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,15,RUS,57610781853.98473,39295474.18971544
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,15,CAN,824462791.6282263,106927.88667069352
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,15,USA,4273746302.959562,1123749.679908863
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,RUS,60722527425.0514,41492669.784852535
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,CAN,228250890.4742379,28620.041714608415
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,USA,8090083318.652369,2069978.638578466
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,RUS,178318766023.5761,119298998.86806504
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,CAN,824462791.6282263,106927.88667069352
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,USA,8090083318.652369,2069978.638578466
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,RUS,61341063875.53451,41847395.17593393
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,CAN,39862244.98013271,4889.708445977981
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,USA,8418806169.66593,2159883.820801995
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,19,RUS,130265908369.59097,89810317.78436562
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,19,CAN,228250890.4742379,28620.041714608415
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,19,USA,4012195538.4164486,1058086.4529195933
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,RUS,56536541360.16952,38565733.552458435
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,CAN,829769181.8136282,107644.83053686087
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,USA,8047339534.871763,2061007.9536870378
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,RUS,181134950621.38733,121053936.7109031
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,CAN,164817990.9539123,20423.803749037397
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,USA,4554399486.225157,1195985.264326689
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,22,RUS,55957359275.46433,38295220.197969705
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,22,CAN,823364636.5540001,106775.00989189319
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,22,USA,4273746302.959562,1123749.679908863
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,RUS,155923724316.33624,106047244.12954377
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,CAN,1221254804.1469605,156339.67267836342
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,USA,4012195538.4164486,1058086.4529195933
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,RUS,56200520298.64758,38404088.94877183
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,CAN,823364636.5540001,106775.00989189319
FS_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,USA,7946377918.689696,2034411.8490061858
