mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_usd2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_usd2024_mean,total_cost_nonres_usd2024_mean,dam_area_m2_mean,dam_cost_usd2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_usd2024_mean,dam_cost_nonres_usd2024_mean,total_area_m2_p05,total_cost_usd2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_usd2024_p05,total_cost_nonres_usd2024_p05,dam_area_m2_p05,dam_cost_usd2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_usd2024_p05,dam_cost_nonres_usd2024_p05,total_area_m2_p50,total_cost_usd2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_usd2024_p50,total_cost_nonres_usd2024_p50,dam_area_m2_p50,dam_cost_usd2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_usd2024_p50,dam_cost_nonres_usd2024_p50,total_area_m2_p95,total_cost_usd2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_usd2024_p95,total_cost_nonres_usd2024_p95,dam_area_m2_p95,dam_cost_usd2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_usd2024_p95,dam_cost_nonres_usd2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
FS_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,440083.5096310755,2945745238.382182,213197.8783471256,226885.63128395117,2055294500.5003433,890450737.881838,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,2945745238.3821826,213197.87834712566,226885.6312839511,2055294500.5003443,890450737.8818382,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,2945745238.3821826,213197.87834712563,226885.63128395114,2055294500.5003443,890450737.8818382,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,2945745238.3821826,213197.87834712563,226885.63128395114,2055294500.5003443,890450737.8818382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,16968.84176505164,101733686.38217017,6147.444698589245,10821.397066462403,59263297.45443654,42470388.92773373,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,101733686.38217019,6147.444698589245,10821.397066462401,59263297.45443657,42470388.92773372,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,101733686.38217019,6147.444698589245,10821.397066462401,59263297.45443656,42470388.92773372,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,101733686.38217019,6147.444698589245,10821.397066462401,59263297.45443656,42470388.92773372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.4963465417,14545587352.286648,1045117.5497328385,1139032.9466137048,10075261390.945534,4470325961.341042,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,14545587352.286644,1045117.5497328388,1139032.946613705,10075261390.945534,4470325961.34104,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,14545587352.286644,1045117.5497328388,1139032.946613705,10075261390.945534,4470325961.34104,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,14545587352.286644,1045117.5497328388,1139032.946613705,10075261390.945534,4470325961.34104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436463,2441388845.4177556,230812.89610449504,55107.859139150925,2225108803.548853,216280041.86890242,21.833958185665995,210486.21370466283,21.833958185665995,0.0,210486.21370466283,0.0,285920.7552436462,2441388845.417756,230812.896104495,55107.85913915091,2225108803.548853,216280041.86890244,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2441388845.417756,230812.896104495,55107.85913915091,2225108803.548853,216280041.86890242,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2441388845.417756,230812.896104495,55107.85913915091,2225108803.548853,216280041.86890242,148.86789672044998,1435133.2752590647,148.86789672044998,0.0,1435133.2752590647,0.0,7.636366995134813e-05,8.621576775847263e-05,9.45959197001765e-05,0.0,9.459591970017638e-05,0.0
FS_ONLY,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,252967.17219310498,1979117721.274394,187200.2871911016,65766.88500200343,1555293936.5028195,423823784.77157545,4318.2265549719405,35837446.17639995,4297.214535651694,495.2341138174206,35702037.702154465,3191454.1255785865,252967.1721931049,1979117721.274394,187200.28719110158,65766.88500200344,1555293936.5028198,423823784.77157545,0.0,0.0,0.0,0.0,0.0,0.0,252967.1721931049,1979117721.2743943,187200.28719110158,65766.88500200344,1555293936.5028198,423823784.77157545,5043.47137938611,41848675.63238175,5014.821354489098,831.2506589351999,41664045.297749326,5356857.031514419,252967.1721931049,1979117721.274394,187200.28719110158,65766.88500200344,1555293936.5028198,423823784.77157545,6199.222622772488,50917293.976796746,5934.303117607061,921.2883506988279,49303266.54233225,5937090.005817442,0.017070304093353188,0.018107789037088453,0.022955170636383287,0.0075301439896740515,0.022955170636383266,0.007530143989674049
FS_ONLY,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,45524.880171330005,353288866.2644225,32143.904088591804,13380.976082738194,267057384.76501313,86231481.49940905,758.8352499926078,6018283.392464095,623.2224646283603,153.58420429095887,5177845.263342654,989747.9368491013,45524.88017133,353288866.26442254,32143.904088591808,13380.976082738194,267057384.76501304,86231481.49940906,0.0,0.0,0.0,0.0,0.0,0.0,45524.88017133,353288866.26442254,32143.904088591808,13380.976082738194,267057384.76501307,86231481.49940906,719.3471319297296,5976466.432387938,719.3471319297296,275.416884060563,5976466.432387938,1774878.4390348743,45524.88017133,353288866.26442254,32143.904088591808,13380.976082738194,267057384.76501304,86231481.49940906,1994.6446474184966,15776853.770945903,1568.0991049440086,426.54554247448795,13028051.75328192,2748802.017663983,0.016668583138204414,0.017035021386605634,0.019388511828267563,0.011477802765755368,0.019388511828267545,0.011477802765755383
FS_ONLY,SSP245,CAN,Northwest Territories,OSM,ACTIVE,4323485.237380558,33598334732.217453,3077693.872576926,1245791.3648036085,25570038861.87589,8028295870.341551,80937.32171862331,623288523.3223194,54565.29683592392,26372.02488269943,453338382.0386724,169950141.28364664,4323485.237380558,33598334732.217453,3077693.872576926,1245791.364803608,25570038861.875885,8028295870.341549,3198.0545997581094,26570017.611838173,3198.0545997581094,0.0,26570017.611838173,0.0,4323485.237380558,33598334732.217453,3077693.872576926,1245791.364803608,25570038861.875885,8028295870.341549,98664.70911411753,757196043.3413668,65116.75821085795,33547.95090325959,541001836.7476171,216194206.59374896,4323485.237380558,33598334732.217453,3077693.872576926,1245791.364803608,25570038861.875885,8028295870.341549,125720.97463301032,969098750.7356703,85259.55272789628,40461.421905114104,708351826.6789416,260746924.05672857,0.01872038813012353,0.018551173095035803,0.017729280134751307,0.02116889362678864,0.0177292801347512,0.02116889362678862
FS_ONLY,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,166936.0417565026,1278134856.8993163,108562.12865452304,58373.913101979546,901953853.6169748,376181003.282341,6194.772613899892,50932054.660194166,5907.603310990359,1152.8305546207907,49081439.70670159,7429225.344104618,166936.04175650253,1278134856.899316,108562.12865452303,58373.91310197953,901953853.6169748,376181003.282341,290.289496080148,2243775.5645330786,200.152162260566,90.137333819582,1662900.4635233467,580875.1010097318,166936.04175650253,1278134856.899316,108562.12865452303,58373.91310197954,901953853.6169748,376181003.282341,4513.491029817337,33568353.29505626,2404.65464941345,2108.8363804038854,19978306.933889266,13590046.361166982,166936.04175650253,1278134856.899316,108562.12865452303,58373.913101979546,901953853.6169748,376181003.282341,22868.713767014124,188656453.27724624,22149.251266599094,2108.8363804038854,184019996.49633244,13590046.361166982,0.03710865879362202,0.03984873300752667,0.054416796945738866,0.019749071003802493,0.05441679694573886,0.01974907100380251
FS_ONLY,SSP245,CAN,Nunavut,HABITAT,ACTIVE,145202.4757125345,762631100.0492028,101823.94656532542,43378.52914720911,552774237.7563143,209856862.29288802,0.0,0.0,0.0,0.0,0.0,0.0,145202.47571253453,762631100.0492028,101823.94656532543,43378.52914720911,552774237.7563142,209856862.29288802,0.0,0.0,0.0,0.0,0.0,0.0,145202.47571253453,762631100.0492028,101823.94656532543,43378.52914720911,552774237.7563142,209856862.29288802,0.0,0.0,0.0,0.0,0.0,0.0,145202.47571253453,762631100.0492028,101823.94656532543,43378.52914720911,552774237.7563142,209856862.29288805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS_ONLY,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,46894.11063706486,239580672.54299322,21519.163790051072,25374.946847013747,116821629.51292945,122759043.03006366,0.0,0.0,0.0,0.0,0.0,0.0,46894.110637064856,239580672.54299328,21519.163790051072,25374.94684701375,116821629.51292947,122759043.03006366,0.0,0.0,0.0,0.0,0.0,0.0,46894.110637064856,239580672.54299328,21519.163790051072,25374.94684701375,116821629.51292945,122759043.03006366,0.0,0.0,0.0,0.0,0.0,0.0,46894.110637064856,239580672.54299325,21519.163790051072,25374.94684701375,116821629.51292947,122759043.03006366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
