mode,scenario,hazard_map,draw,shapeGroup,shapeName,dam_cost_usd2024,dam_area_m2
STORIES_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Magadan,1334157273.9191039,750242.4767966033
STORIES_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Sakha Republic,824078960.1094499,503708.1953377403
STORIES_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Khanty-Mansi,6169515810.964888,5408962.761312358
STORIES_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Chukotka,983187604.1116365,290509.9084709673
STORIES_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Nenets,5630093919.726687,3278758.150811161
STORIES_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Krasnoyarsk Krai,4313787462.833768,3759439.482755
STORIES_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Yamalo-Nenets,43307843982.28494,28294171.46506939
STORIES_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Kamchatka Krai,1350968294.8769486,588184.0706606278
STORIES_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Komi Republic,7603832797.888311,6520889.553414362
STORIES_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,Murmansk,0.0,0.0
