mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_usd2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_usd2024_mean,total_cost_nonres_usd2024_mean,dam_area_m2_mean,dam_cost_usd2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_usd2024_mean,dam_cost_nonres_usd2024_mean,total_area_m2_p05,total_cost_usd2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_usd2024_p05,total_cost_nonres_usd2024_p05,dam_area_m2_p05,dam_cost_usd2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_usd2024_p05,dam_cost_nonres_usd2024_p05,total_area_m2_p50,total_cost_usd2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_usd2024_p50,total_cost_nonres_usd2024_p50,dam_area_m2_p50,dam_cost_usd2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_usd2024_p50,dam_cost_nonres_usd2024_p50,total_area_m2_p95,total_cost_usd2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_usd2024_p95,total_cost_nonres_usd2024_p95,dam_area_m2_p95,dam_cost_usd2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_usd2024_p95,dam_cost_nonres_usd2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
STORIES_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,440083.5096310755,2945745238.382182,213197.8783471256,226885.63128395117,2055294500.5003433,890450737.881838,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,2945745238.3821826,213197.87834712566,226885.6312839511,2055294500.5003443,890450737.8818382,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,2945745238.3821826,213197.87834712563,226885.63128395114,2055294500.5003443,890450737.8818382,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,2945745238.3821826,213197.87834712563,226885.63128395114,2055294500.5003443,890450737.8818382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STORIES_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,16968.84176505164,101733686.38217017,6147.444698589245,10821.397066462403,59263297.45443654,42470388.92773373,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,101733686.38217019,6147.444698589245,10821.397066462401,59263297.45443657,42470388.92773372,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,101733686.38217019,6147.444698589245,10821.397066462401,59263297.45443656,42470388.92773372,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,101733686.38217019,6147.444698589245,10821.397066462401,59263297.45443656,42470388.92773372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STORIES_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.4963465417,14545587352.286648,1045117.5497328385,1139032.9466137048,10075261390.945534,4470325961.341042,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,14545587352.286644,1045117.5497328388,1139032.946613705,10075261390.945534,4470325961.34104,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,14545587352.286644,1045117.5497328388,1139032.946613705,10075261390.945534,4470325961.34104,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,14545587352.286644,1045117.5497328388,1139032.946613705,10075261390.945534,4470325961.34104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STORIES_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436463,2441388845.4177556,230812.89610449504,55107.859139150925,2225108803.548853,216280041.86890242,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2441388845.417756,230812.896104495,55107.85913915091,2225108803.548853,216280041.86890244,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2441388845.417756,230812.896104495,55107.85913915091,2225108803.548853,216280041.86890242,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2441388845.417756,230812.896104495,55107.85913915091,2225108803.548853,216280041.86890242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STORIES_ONLY,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,273531.49773011456,2149969867.3682284,207764.61272811162,65766.88500200343,1726146082.5966518,423823784.77157545,0.0,0.0,0.0,0.0,0.0,0.0,271050.72185580514,2129359131.4926062,205283.83685380206,65766.88500200344,1705535346.7210312,423823784.77157545,0.0,0.0,0.0,0.0,0.0,0.0,273442.95254410605,2149234217.9043727,207676.06754210318,65766.88500200344,1725410433.132797,423823784.77157545,0.0,0.0,0.0,0.0,0.0,0.0,275917.96803705615,2169797095.486961,210151.08303505316,65766.88500200344,1745973310.7153842,423823784.77157545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STORIES_ONLY,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,50202.819943362665,392154038.27850527,36821.8438606245,13380.976082738194,305922556.77909553,86231481.49940905,0.0,0.0,0.0,0.0,0.0,0.0,49087.42845516179,382887163.5078766,35706.452372423635,13380.976082738194,296655682.00846684,86231481.49940906,0.0,0.0,0.0,0.0,0.0,0.0,50263.12589443256,392655071.0570411,36882.149811694384,13380.976082738194,306423589.5576313,86231481.49940906,0.0,0.0,0.0,0.0,0.0,0.0,51239.0788597178,400763465.2908094,37858.102776979664,13380.976082738194,314531983.7913996,86231481.49940906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STORIES_ONLY,SSP245,CAN,Northwest Territories,OSM,ACTIVE,5181351.550330684,40725643642.26917,3935560.1855270616,1245791.3648036085,32697347771.927532,8028295870.341551,0.0,0.0,0.0,0.0,0.0,0.0,5161070.051257086,40557141269.72668,3915278.6864534756,1245791.364803608,32528845399.384983,8028295870.341549,0.0,0.0,0.0,0.0,0.0,0.0,5181318.0516042635,40725365328.77482,3935526.68680064,1245791.364803608,32697069458.433178,8028295870.341549,0.0,0.0,0.0,0.0,0.0,0.0,5200573.2424666425,40885340946.56809,3954781.8776630284,1245791.364803608,32857045076.226437,8028295870.341549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STORIES_ONLY,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,190433.20925658164,1473353585.9205885,132059.29615460194,58373.913101979546,1097172582.6382453,376181003.282341,0.0,0.0,0.0,0.0,0.0,0.0,188363.44007103372,1456157568.1550984,129989.52696905406,58373.91310197953,1079976564.8727558,376181003.282341,0.0,0.0,0.0,0.0,0.0,0.0,190404.0206942823,1473111082.051388,132030.1075923026,58373.91310197954,1096930078.7690442,376181003.282341,0.0,0.0,0.0,0.0,0.0,0.0,192534.4224803212,1490810846.458044,134160.50937834143,58373.913101979546,1114629843.1757007,376181003.282341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STORIES_ONLY,SSP245,CAN,Nunavut,HABITAT,ACTIVE,158118.21757038686,832747115.0079352,114739.6884231776,43378.52914720911,622890252.7150487,209856862.29288802,0.0,0.0,0.0,0.0,0.0,0.0,156150.61361859943,822065533.5986168,112772.08447139018,43378.52914720911,612208671.3057306,209856862.29288802,0.0,0.0,0.0,0.0,0.0,0.0,157818.05313386192,831117604.728689,114439.52398665267,43378.52914720911,621260742.4358027,209856862.29288802,0.0,0.0,0.0,0.0,0.0,0.0,159867.4266174648,842243090.466464,116488.8974702555,43378.52914720911,632386228.1735773,209856862.29288805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STORIES_ONLY,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,47360.512636053565,242112640.8881173,21985.565789039774,25374.946847013747,119353597.85805346,122759043.03006366,0.0,0.0,0.0,0.0,0.0,0.0,47032.0479720384,240329496.44709545,21657.101125024616,25374.94684701375,117570453.41703159,122759043.03006366,0.0,0.0,0.0,0.0,0.0,0.0,47373.86097997066,242185105.38083217,21998.914132956874,25374.94684701375,119426062.35076831,122759043.03006366,0.0,0.0,0.0,0.0,0.0,0.0,47650.48646118866,243686829.13719976,22275.53961417487,25374.94684701375,120927786.1071359,122759043.03006366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
