mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_usd2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_usd2024_mean,total_cost_nonres_usd2024_mean,dam_area_m2_mean,dam_cost_usd2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_usd2024_mean,dam_cost_nonres_usd2024_mean,total_area_m2_p05,total_cost_usd2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_usd2024_p05,total_cost_nonres_usd2024_p05,dam_area_m2_p05,dam_cost_usd2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_usd2024_p05,dam_cost_nonres_usd2024_p05,total_area_m2_p50,total_cost_usd2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_usd2024_p50,total_cost_nonres_usd2024_p50,dam_area_m2_p50,dam_cost_usd2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_usd2024_p50,dam_cost_nonres_usd2024_p50,total_area_m2_p95,total_cost_usd2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_usd2024_p95,total_cost_nonres_usd2024_p95,dam_area_m2_p95,dam_cost_usd2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_usd2024_p95,dam_cost_nonres_usd2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
TYPE_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,440083.5096310755,2987341436.821254,220475.48036820456,225011.5590158034,2125452869.4612198,883095626.7424839,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,2826779085.5560803,192383.75718373593,197540.6700355924,1854639835.96278,775281512.5375824,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,2979998498.855861,219190.77209718584,225204.3627049323,2113067878.275364,883852317.1784507,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,3241295353.8014526,264906.83729095873,250027.17505608022,2553785103.5391765,981273610.2294831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,16968.84176505164,105724153.03532168,6845.610138456608,10328.45479059333,65993831.548506916,40535754.23625155,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,98137669.9903687,5518.291623479687,8594.270498265596,53198064.229459725,33729656.935212135,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,104847379.25256798,6692.211248826246,10675.14754588647,64515018.078671135,41896408.13937467,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,119148659.63033262,9194.339589561343,11718.58715032741,88636321.05845855,45991561.986057654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.4963465417,14752055475.447727,1081240.870776379,1120610.47009373,10423501550.07,4398023860.419129,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,13995266034.727537,948834.2430076386,1004745.6233121352,9147060077.04649,3943292823.7845707,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,14784361376.90445,1086893.05781646,1134519.3063428877,10477990408.164383,4452611422.580081,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,15484025326.30833,1209305.1041893172,1254576.5427886196,11658080977.806395,4923796196.054636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436463,2373778975.372144,218983.9851618382,69109.8471204986,2111074387.278694,271233193.63636565,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2278136355.655886,202250.51074186488,51343.175352884355,1949758438.8449218,201504908.5279224,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2385488096.9934115,221032.59369756357,70106.95996668383,2130823616.9136097,275146530.3453171,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2467730351.2902822,235421.56236655638,85234.02205054116,2269537793.633052,334515224.247741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,251326.47596339643,1954497977.2481632,179883.18285105447,72924.27111935444,1494502106.6205478,469948372.74977857,5002.930409990578,40918828.66622544,4656.107712064452,894.680837005133,38683787.30041858,5765622.295940657,249302.2092104505,1919434592.9977407,165672.8671189436,59944.03295646083,1376440226.3447928,386299380.3234768,4925.796699787592,39794282.62941581,4167.401548914245,372.25701077897475,34623527.8655431,2398948.577407795,251574.67070145372,1958075241.7965786,180618.31348873468,73936.54355930953,1500609705.281197,476471794.63160634,5017.8964429834705,40911082.330127046,4651.428824559304,903.5026939936361,38644914.254465915,5822473.290441417,252967.1721931049,1993991748.6971488,195502.17005817985,87468.86166428882,1624267484.986444,563678574.6974481,5043.47137938611,41813730.319205955,4996.072331759135,1217.2043500252328,41508275.01659855,7844071.593970191,0.019906101777829456,0.020935723210027127,0.02588406341419791,0.012268629130907838,0.02588406341419788,0.012268629130907814
TYPE_ONLY,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,45181.75360866644,349132938.8886478,31263.308405862306,14656.733465789646,259741236.12865108,94452888.40531126,709.8856380632064,5813023.133971726,664.3693037448069,247.8199779194312,5519700.665085373,1597034.753594031,44625.31803578926,339178899.7919059,28020.626792603172,12326.850317554597,232800449.195121,79438342.80336575,664.7472435177294,5318974.495150765,528.8693872431085,36.01678591846299,4393942.784614842,232104.20446103776,45290.0045566079,350543905.87030834,31503.258747535165,14492.196494710923,261734787.08450285,93392557.17911269,719.3471319297296,5930194.4581274735,695.0471928490194,275.416884060563,5774578.131484666,1774878.4390348743,45524.88017133,356020172.9359921,33958.73467080931,17514.27724455166,282135326.3785393,112867855.4427267,719.3471319297296,5976466.432387938,719.3471319297296,281.97940172620395,5976466.432387938,1817169.4959185566,0.015711777019806538,0.01664988457541592,0.02125076767691766,0.01690826803242817,0.02125076767691765,0.016908268032428186
TYPE_ONLY,SSP245,CAN,Northwest Territories,OSM,ACTIVE,4241408.113560122,32862866184.296516,2971525.862683702,1290561.410162268,24687975781.123516,8316809003.778297,97632.70227560584,747062749.0008713,63248.20512685148,34384.49714875439,525477558.84615123,221585190.1547197,4174254.642197661,31936593884.84111,2726942.9127183724,1129599.276982536,22655936275.41095,7279515227.6315155,96417.20357072754,730339324.5973547,57179.117088108935,29653.689261363223,475054474.7345226,191098283.198426,4254622.909720715,32975900861.03183,2987189.9531758684,1289924.9019816776,24818115885.761517,8312707132.355809,97717.01428349041,747692308.5930121,63305.99831506419,34335.36998297253,525957715.1351569,221268598.281224,4317668.554603896,33715904979.61062,3198015.304158975,1470656.2059592928,26569691136.874073,9477400051.537884,98664.70911411753,762964685.4262305,68920.1566683794,39685.98275893782,572601160.9145112,255749735.06438887,0.023018936084803123,0.022732732586722895,0.021284756737647754,0.026643053850828435,0.02128475673764767,0.026643053850828404
TYPE_ONLY,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,164989.93809719846,1260564036.463066,106189.98413764307,59856.964384505,882245646.7601895,385738281.3494282,4483.903939976922,33490831.89613444,2465.3611796804666,2018.5427602964546,20482667.797043446,13008164.099090979,163131.90263522553,1231123801.3526154,95857.88620665245,51731.21379444674,796404703.3271341,333373229.1034013,4347.639708906397,31836847.46110932,2027.996054666197,1293.0022010336897,16848959.018177733,8332538.275811331,165345.72092982673,1262305495.1356754,106300.1196613083,59936.29604961883,883160672.664906,386249521.1102856,4513.491029817337,33598777.88415481,2421.9758644986796,2072.797105546985,20122214.730181366,13357797.230471358,166785.33911071584,1292379777.1148682,118250.96511475487,67898.00550398485,982450464.089495,437557437.4590415,4513.491029817337,35059859.85694693,3220.4888287836457,2421.251738243583,26756405.25523913,15603355.329295134,0.027176832670458822,0.02656813214353169,0.02321651330585825,0.03372277196233808,0.023216513305858236,0.03372277196233809
TYPE_ONLY,SSP245,CAN,Nunavut,HABITAT,ACTIVE,144126.4731766405,755755815.5022676,98998.19510403182,46422.38080510017,537434009.226641,224582422.85862982,0.0,0.0,0.0,0.0,0.0,0.0,141917.28675247644,743440088.4813316,90010.37242550215,38487.213376303676,488641588.6045847,186193630.72773984,0.0,0.0,0.0,0.0,0.0,0.0,144512.47588813867,758331825.5113437,99555.04538092794,46774.6569617318,540456996.4289507,226286666.18694627,0.0,0.0,0.0,0.0,0.0,0.0,145202.47571253453,765692736.776289,108169.88508583597,55255.74448615653,587224594.9350474,267316513.2494681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,46867.36230464217,240190300.43055826,22839.38306171326,24975.302710304208,123988737.31203699,120825642.65406199,0.0,0.0,0.0,0.0,0.0,0.0,46701.61094589686,236988571.6108967,19076.116903020633,20523.123157172162,103558998.9988507,99286866.44949916,0.0,0.0,0.0,0.0,0.0,0.0,46894.110637064856,239779662.1034937,22220.786659726742,25415.55288127903,120630547.35651883,122955487.10294014,0.0,0.0,0.0,0.0,0.0,0.0,46894.110637064856,242910524.26201835,28679.990435518506,29285.247742056574,155695790.49542376,141676315.98945707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
