mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_usd2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_usd2024_mean,total_cost_nonres_usd2024_mean,dam_area_m2_mean,dam_cost_usd2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_usd2024_mean,dam_cost_nonres_usd2024_mean,total_area_m2_p05,total_cost_usd2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_usd2024_p05,total_cost_nonres_usd2024_p05,dam_area_m2_p05,dam_cost_usd2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_usd2024_p05,dam_cost_nonres_usd2024_p05,total_area_m2_p50,total_cost_usd2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_usd2024_p50,total_cost_nonres_usd2024_p50,dam_area_m2_p50,dam_cost_usd2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_usd2024_p50,dam_cost_nonres_usd2024_p50,total_area_m2_p95,total_cost_usd2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_usd2024_p95,total_cost_nonres_usd2024_p95,dam_area_m2_p95,dam_cost_usd2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_usd2024_p95,dam_cost_nonres_usd2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
TYPE_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,440083.5096310755,2970759406.333269,217574.3157637104,222509.19386736644,2097484731.5843754,873274674.7488918,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,2818254273.7195377,190892.2702166795,187457.23073917572,1840261433.2097864,735707362.7288461,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,2963675121.8768907,216334.86108245736,223748.64854861956,2085535999.2154207,878139122.6614683,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,3171104026.6815825,252626.27889190102,249191.2394143974,2435396663.952733,977992840.5097536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,16968.84176505164,105189977.44702011,6752.151661794876,10216.690103256768,65092862.483536914,40097114.963483214,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,97308245.73427634,5373.176928652194,8069.418315398729,51799112.99911436,31669786.458320655,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,103705283.58417964,6492.392081295742,10476.4496837559,62588698.551929295,41116585.032250375,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,117463023.31180575,8899.423449652917,11595.66483639945,85793236.85348508,45509132.73516205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.4963465417,14690392216.914505,1070452.3691399852,1113698.1272065577,10319497006.245144,4370895210.669285,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,13940806335.925201,939306.0642570824,983959.0337117615,9055205441.636282,3861712364.3127413,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,14669683842.393156,1066829.2662141118,1117321.2301324306,10284569156.230759,4385114686.162323,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,15431934975.46104,1200191.462634781,1244844.4320894615,11570222611.148207,4885600894.288837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436463,2368435936.185256,218049.17587049978,67871.57937314615,2102062532.140172,266373404.04508322,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2273981730.7445264,201523.62444488658,50957.57270279653,1942751026.6687272,199991546.21248245,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2367031792.952998,217803.50929498515,68117.24594866081,2099694229.2024205,267337563.75057906,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2465110414.3748865,234963.18254084938,84397.13079875926,2265118868.162404,331230704.07579845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,251167.95374766586,1952357305.3126905,179063.54122323368,72104.41252443235,1487692375.326954,464664929.98573697,2040.5380789894457,16335953.475350494,1709.3913189108905,331.1467600785561,14201933.091580406,2134020.383770085,249021.14128634956,1914168070.5052207,164150.39457414718,58768.43650538841,1363791248.3280196,378723443.9347855,2021.2546514386995,15834224.817546232,1468.8616476940665,105.78025632148069,12203568.960810399,681683.3211259982,251246.6730850759,1953685478.7968814,179319.8129875841,72110.88469248095,1489821527.6224535,464706638.7994957,2044.2795872376691,16337708.631202318,1710.2023065651767,322.30464107129995,14208670.9240924,2077038.814049369,252828.55015078,1989076335.706843,193646.37778594144,85582.09078171497,1608849226.2234383,551519592.6136096,2050.673321338329,16840207.62979421,1944.8930650168486,553.4842828273348,16158524.30866821,3566837.6805791566,0.008124197567972617,0.008367297026470325,0.009546283443483553,0.004592600487055464,0.009546283443483544,0.004592600487055456
TYPE_ONLY,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,45123.98870239329,348344303.58646953,30877.124222569622,14246.864479823656,256532747.8957497,91811555.69071941,247.96625994735257,1923465.1439206821,174.63218188789492,73.33407805945767,1450875.8383005862,472589.3056200956,44449.58066780077,338700853.9041833,27616.206099932042,11898.81854639723,229440448.73494235,76679963.03140496,236.68166131098334,1784035.9977673304,132.21734681077712,9.004196479615748,1098485.6961537106,58026.05111525944,45229.567855066154,349035372.1320819,31019.788245829317,14083.728858213426,257718026.4744433,90760255.22879536,250.33163341398338,1939898.8710255793,175.40242762866512,74.70418247729825,1457275.1796061588,481418.716346843,45524.88017133,355493746.8279623,33560.67328742431,17137.814663306337,278828160.2132299,110441804.76382639,250.33163341398338,2063018.164148883,241.32743693436765,109.99726491185702,2004992.1130336237,708859.1337121213,0.005495220326881274,0.0055217356050239535,0.005655713939844423,0.005147383704204742,0.005655713939844422,0.005147383704204746
TYPE_ONLY,SSP245,CAN,Northwest Territories,OSM,ACTIVE,4234588.521590327,32803425759.606266,2958569.927790337,1276018.593799978,24580335524.349735,8223090235.256479,36862.85891389229,280153387.1648809,22854.237192708253,14008.621721184041,189877147.42622426,90276239.73865655,4162019.8073354103,31911668805.9776,2711151.593669622,1117431.4425762421,22524739132.850864,7201101636.499858,36350.43708074176,273045929.8314544,20385.474821772026,11783.113858228917,169366221.91539034,75934323.35493535,4234402.716584355,32787196276.848618,2958034.916057539,1272224.27842857,24575890549.844337,8198638399.027987,36901.80778102526,280385700.6911298,22791.43887511346,14126.87099409895,189355407.61458585,91038277.56957644,4309649.3534031045,33646805099.636414,3175845.039244381,1457358.1366251872,26385496555.17917,9391702848.832241,37262.765027649984,286804873.5983173,25386.717291105844,16107.952212680819,210917451.37261185,103805026.97505118,0.008705180851916211,0.008540369814358179,0.007724758160364784,0.010978383692252026,0.0077247581603647536,0.01097838369225202
TYPE_ONLY,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,164912.63817541298,1259561329.515649,105592.98044044421,59319.657734968794,877285631.7716693,382275697.74397933,1507.6125347109132,11470509.059510723,941.5740156729644,566.038519037949,7822767.685446051,3647741.3740646658,162548.82426645677,1228034844.5223875,95613.89661609134,50552.132840903294,794377593.5589633,325774837.4163442,1415.0177367484841,10474641.9265052,724.0236665279018,352.1665136104264,6015319.929962749,2269478.699859887,165003.39412913346,1259596623.4987128,105697.976102281,59320.88355271974,878157954.7721527,382283597.323207,1523.7584919731944,11590903.439421045,951.1357032736098,567.9432737566663,7902207.920133499,3660016.249998409,166753.3467546336,1287108696.282429,115698.79587896937,67647.60250402242,961246579.2188797,435943756.8482144,1523.7584919731944,11996006.416711139,1171.5919783627673,732.3822872101407,9733798.635377135,4719716.204524647,0.0091418859790922,0.009106749144102085,0.008917013344499961,0.009542174392963003,0.008917013344499958,0.009542174392963006
TYPE_ONLY,SSP245,CAN,Nunavut,HABITAT,ACTIVE,143987.26270044135,754677094.1532981,98312.40354289427,45674.859157547144,533711035.2086941,220966058.9446039,0.0,0.0,0.0,0.0,0.0,0.0,141615.58793738764,739196313.4016098,88281.72458879091,37435.78135835076,479257234.30955493,181107007.72461593,0.0,0.0,0.0,0.0,0.0,0.0,144342.94464339523,756458684.2664793,98710.2082561607,45600.38641179392,535870607.7313583,220605774.327828,0.0,0.0,0.0,0.0,0.0,0.0,145153.42862271375,764775868.8979286,107537.99147883276,54153.884669531086,583794218.1058583,261985930.3931678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,46857.25186898555,239863543.6264335,22299.618512953504,24557.63335603202,121058503.83481523,118805039.79161808,0.0,0.0,0.0,0.0,0.0,0.0,46651.379211777145,236847522.28060776,18436.903072366717,19375.13181671668,100088882.68611935,93733108.27964905,0.0,0.0,0.0,0.0,0.0,0.0,46894.110637064856,239635707.52769566,21797.993535168975,25090.80451663595,118335319.61256091,121384417.86249937,0.0,0.0,0.0,0.0,0.0,0.0,46894.110637064856,242659020.88035038,27400.32124295702,28347.32491456471,148748817.9377985,137138828.30788183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
