mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_usd2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_usd2024_mean,total_cost_nonres_usd2024_mean,dam_area_m2_mean,dam_cost_usd2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_usd2024_mean,dam_cost_nonres_usd2024_mean,total_area_m2_p05,total_cost_usd2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_usd2024_p05,total_cost_nonres_usd2024_p05,dam_area_m2_p05,dam_cost_usd2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_usd2024_p05,dam_cost_nonres_usd2024_p05,total_area_m2_p50,total_cost_usd2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_usd2024_p50,total_cost_nonres_usd2024_p50,dam_area_m2_p50,dam_cost_usd2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_usd2024_p50,dam_cost_nonres_usd2024_p50,total_area_m2_p95,total_cost_usd2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_usd2024_p95,total_cost_nonres_usd2024_p95,dam_area_m2_p95,dam_cost_usd2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_usd2024_p95,dam_cost_nonres_usd2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
TYPE_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,440083.5096310755,2956456772.446459,215071.95061527344,219608.02926287233,2073361145.7039742,861888567.3600312,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,2813476361.333974,190056.3345749967,175176.67234011795,1832202751.1044903,687510250.2622733,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,2955354774.770635,214879.14692614466,220892.73753389122,2071502457.5921872,866930620.5804913,0.0,0.0,0.0,0.0,0.0,0.0,440083.5096310755,3113470655.0425167,242542.83959548426,247699.75244734107,2338189142.50493,972139249.593305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,16968.84176505164,104551170.0349815,6640.386974458312,10123.231626595038,64015415.798729986,39730321.48681479,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,96605665.27605295,5250.254614724237,7774.502175490306,50614103.28999539,30512338.57187403,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,102569596.90075521,6293.694219165173,10276.630516225396,60673188.76138058,40332361.17389688,0.0,0.0,0.0,0.0,0.0,0.0,16968.841765051635,114463153.91987216,8374.571266786048,11450.550141571957,80733496.98465997,44939605.760909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.4963465417,14650883710.461296,1063540.026252813,1102909.6255701634,10252859850.042086,4328553925.377649,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,13885181034.252945,929573.9535579234,974845.3921572249,8961384838.198212,3825944348.5018525,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,14571385723.212082,1049631.1900036556,1097257.4385300817,10118774300.63192,4306370968.739952,0.0,0.0,0.0,0.0,0.0,0.0,2184150.496346542,15313126183.30885,1179404.8730344072,1235316.253338906,11369833359.524187,4848205957.680948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436463,2361358435.8231325,216810.90812314732,66936.77008180773,2090125242.1867669,262704588.0934493,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2269198356.429717,200686.73319310468,50499.1928770895,1934683132.181974,198192557.65723035,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2355659291.5588617,215813.79527696213,64888.1615460824,2080512761.2135468,254664480.07980144,0.0,0.0,0.0,0.0,0.0,0.0,285920.7552436462,2462906446.0477886,234577.57989076155,83670.24450178105,2261401537.5198665,328377916.8109655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,250999.45516488623,1949429297.3965874,178075.18404553196,71314.60962546614,1479480924.6468098,459575176.1703749,0.0,0.0,0.0,0.0,0.0,0.0,248728.80027688816,1908574158.73811,161608.52141597774,56859.11570480342,1342672905.1375294,366419142.6436057,0.0,0.0,0.0,0.0,0.0,0.0,251027.54730844955,1950741444.0972419,176972.75149163033,70956.60759443595,1470321715.0525634,457268091.44616294,0.0,0.0,0.0,0.0,0.0,0.0,252570.7225963137,1986935065.1125813,192578.66310603285,84314.09510565698,1599978459.0227368,543348204.7413616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,45078.380493242585,347201449.1589918,30421.647027452924,13870.51518869387,252748560.7536801,89386235.09118263,0.0,0.0,0.0,0.0,0.0,0.0,44292.993938077925,338386139.0206424,27294.030491573765,11536.066762887822,226763755.3511485,74342269.31495613,0.0,0.0,0.0,0.0,0.0,0.0,45136.50473262471,347563429.6434581,30393.64312559511,13622.968483400758,252515899.2582764,87790961.3977142,0.0,0.0,0.0,0.0,0.0,0.0,45524.88017133,355011832.2092479,33139.180353702985,16716.586945636504,275326320.478196,107727272.5863014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Northwest Territories,OSM,ACTIVE,4228157.898230947,32722893387.191425,2937596.4880686663,1262419.3755658818,24406084383.413074,8135452328.402083,0.0,0.0,0.0,0.0,0.0,0.0,4156347.5571270427,31881838576.593143,2694503.7350749406,1108118.849873621,22386425704.401775,7141088177.064446,0.0,0.0,0.0,0.0,0.0,0.0,4224740.270725051,32675252092.467342,2926908.767799275,1257682.5718315453,24317288865.09713,8104926782.204391,0.0,0.0,0.0,0.0,0.0,0.0,4299972.8865212705,33582333667.60067,3153451.4165898715,1443381.6378485572,26199446276.87306,9301633620.08306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,164874.47769555319,1258242827.8437414,105017.5133110482,58705.58218704498,872504546.4943125,378318389.702876,0.0,0.0,0.0,0.0,0.0,0.0,162188.81695062376,1225449450.9361868,95058.48979152928,48434.739338901854,789763172.9322906,312129646.10400444,0.0,0.0,0.0,0.0,0.0,0.0,164814.32059974276,1257971567.5298004,104944.12879259298,58723.84823585903,871894854.6060194,378436102.22553766,0.0,0.0,0.0,0.0,0.0,0.0,166683.69955100561,1282491813.585106,114267.20206848027,67307.48258440779,949352638.2084379,433751910.42576504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Nunavut,HABITAT,ACTIVE,143865.03343022047,753571819.23061,97442.65262512036,45128.27807260872,528989396.3719802,218321806.27562657,0.0,0.0,0.0,0.0,0.0,0.0,141213.49563528132,736718014.6171215,86450.71290912948,36883.97848035075,469317174.82758963,178437493.03940636,0.0,0.0,0.0,0.0,0.0,0.0,144162.8507998375,754598980.3135122,97194.3456584459,44662.5032531443,527641406.0527779,216068478.55637327,0.0,0.0,0.0,0.0,0.0,0.0,145006.28735325142,763111268.9557056,106510.29363671625,53399.57820960622,578215128.8004234,258336742.88038012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYPE_ONLY,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,46844.80725932394,239671621.06457585,21892.059594337945,24019.48088622907,118845978.41051368,116201563.11852112,0.0,0.0,0.0,0.0,0.0,0.0,46617.48515584686,236750650.8524422,17570.94815403893,17933.127728834424,95387851.28774503,86756973.78994478,0.0,0.0,0.0,0.0,0.0,0.0,46894.110637064856,239498743.3569718,21467.932585265993,24673.32397733809,116543509.37390852,119364728.45006971,0.0,0.0,0.0,0.0,0.0,0.0,46894.110637064856,242447714.1163783,26370.987479892658,27817.993734044234,143160847.6668789,134578027.31159064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
