mode,scenario,hazard_map,draw,shapeGroup,dam_cost_ppp2024,dam_area_m2
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,CAN,645461794.735213,87171.50050149698
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,USA,2231985464.736911,562951.3344984665
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,30647212726.06816,22113968.22044902
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,CAN,651705275.1256864,88041.32114646467
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,USA,2039945647.925148,514515.0552936799
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,RUS,31392007538.7598,22678642.174079098
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,CAN,96988278.54279129,13160.388866436064
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,USA,2143962414.0724277,540750.1622143822
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,RUS,64179832904.15021,46477820.10855634
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,CAN,96988278.54279129,13160.388866436064
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,USA,3456927337.516176,871906.1520180397
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,RUS,85032332931.78552,60151507.31472484
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,CAN,142220463.6783186,19259.324422407397
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,USA,3448746240.471107,869842.7158658133
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,RUS,81889182215.97089,58011422.07669368
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,CAN,645461794.735213,87171.50050149698
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,USA,2039945647.925148,514515.0552936799
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,RUS,77046656422.4032,54715386.58580036
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,CAN,645461794.735213,87171.50050149698
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,USA,3749287475.9582944,945645.2209727482
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,RUS,68462998024.73568,49436351.50528798
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,CAN,645461794.735213,87171.50050149698
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,USA,2041123190.5733538,514812.0550796145
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,RUS,36192211149.54384,26121863.96487753
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,CAN,912739203.1704834,123247.70730698196
