mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_ppp2024_mean,dam_area_m2_mean,dam_cost_ppp2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_ppp2024_mean,total_cost_nonres_ppp2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_ppp2024_mean,dam_cost_nonres_ppp2024_mean,total_area_m2_p05,total_cost_ppp2024_p05,dam_area_m2_p05,dam_cost_ppp2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_ppp2024_p05,total_cost_nonres_ppp2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_ppp2024_p05,dam_cost_nonres_ppp2024_p05,total_area_m2_p50,total_cost_ppp2024_p50,dam_area_m2_p50,dam_cost_ppp2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_ppp2024_p50,total_cost_nonres_ppp2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_ppp2024_p50,dam_cost_nonres_ppp2024_p50,total_area_m2_p95,total_cost_ppp2024_p95,dam_area_m2_p95,dam_cost_ppp2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_ppp2024_p95,total_cost_nonres_ppp2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_ppp2024_p95,dam_cost_nonres_ppp2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.496346542,15157703141.468538,0.0,0.0,1045117.5497328385,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,2184150.496346542,15157703141.468544,0.0,0.0,1045117.5497328388,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,2184150.496346542,15157703141.468542,0.0,0.0,1045117.5497328388,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,2184150.496346542,15157703141.468542,0.0,0.0,1045117.5497328388,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436462,1984250598.6730492,10.4207527704315,72318.58668578438,230812.89610449504,55107.859139150925,1601809658.3668058,382440940.3062405,10.4207527704315,0.0,72318.58668578438,0.0,285920.7552436462,1984250598.673049,0.0,0.0,230812.896104495,55107.85913915091,1601809658.3668058,382440940.3062405,0.0,0.0,0.0,0.0,285920.7552436462,1984250598.673049,0.0,0.0,230812.896104495,55107.85913915091,1601809658.3668058,382440940.3062405,0.0,0.0,0.0,0.0,285920.7552436462,1984250598.673049,148.86789672044998,1033122.6669397766,230812.896104495,55107.85913915091,1601809658.3668058,382440940.3062405,148.86789672044998,0.0,1033122.6669397766,0.0,3.644629702223435e-05,3.64462970222344e-05,4.514805258417516e-05,0.0,4.514805258417528e-05,0.0
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,OSM,ACTIVE,3184180.3524773573,23615175777.21422,63310.61108384197,469537225.84983623,1938388.987673748,1245791.3648036083,14375880635.315693,9239295141.898499,39071.7759713672,24238.835112474728,289772172.224447,179765053.62538883,3184180.3524773573,23615175777.21422,2094.69781048068,15535130.400563158,1938388.9876737478,1245791.364803608,14375880635.315695,9239295141.898499,2094.69781048068,0.0,15535130.400563158,0.0,3184180.3524773573,23615175777.21422,85119.9035077056,631283803.3530548,1938388.9876737478,1245791.364803608,14375880635.315695,9239295141.898499,51571.952604445956,33547.95090325959,382478563.11926955,248805240.23378462,3184180.3524773573,23615175777.21422,106761.84571575148,791789243.6324301,1938388.9876737478,1245791.364803608,14375880635.315695,9239295141.898499,66300.42381063731,40461.421905114104,491710892.3098066,300078351.3226234,0.019882859661069455,0.019882859661069417,0.02015682931538786,0.01945657659643181,0.02015682931538779,0.01945657659643185
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,140740.74763344487,1043790591.7591938,3117.747499451825,23122482.736017797,82366.83453146547,58373.913101979546,610865924.7771374,432924666.98205763,2871.106858514242,1089.5654632086741,21293295.490071055,8080660.354064411,140740.7476334449,1043790591.7591938,75.22222313229999,557878.5825495172,82366.83453146547,58373.91310197954,610865924.7771373,432924666.98205775,25.343767595249997,49.878455537049994,187959.6820428371,369918.90050668,140740.7476334449,1043790591.7591938,4019.812149303778,29812560.844216444,82366.83453146547,58373.91310197954,610865924.7771373,432924666.98205775,1910.9757688998898,2108.8363804038854,14172573.062156286,15639987.782060148,140740.7476334449,1043790591.7591938,15047.802139658641,111600617.19252285,82366.83453146549,58373.91310197954,610865924.7771373,432924666.98205775,14328.339639243617,2108.8363804038854,106264790.84738635,15639987.782060148,0.022152415358570543,0.02215241535857054,0.03485755977932395,0.018665280521886502,0.03485755977932392,0.018665280521886523
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Nunavut,OSM,ACTIVE,1774168.1163058023,9262237564.96355,0.0,0.0,1002680.1955918118,771487.9207139973,5234600987.302776,4027636577.6607733,0.0,0.0,0.0,0.0,1774168.116305803,9262237564.963552,0.0,0.0,1002680.1955918118,771487.9207139972,5234600987.302776,4027636577.660773,0.0,0.0,0.0,0.0,1774168.116305803,9262237564.963552,0.0,0.0,1002680.1955918118,771487.9207139972,5234600987.302776,4027636577.660773,0.0,0.0,0.0,0.0,1774168.116305803,9262237564.963552,0.0,0.0,1002680.1955918118,771487.9207139972,5234600987.302776,4027636577.660773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Nunavut,OSM,NOT_ACTIVE,101498.36136772987,529883231.92275774,0.0,0.0,22785.4300805442,78712.93128718575,118953815.3043269,410929416.6184309,0.0,0.0,0.0,0.0,101498.36136772989,529883231.9227576,0.0,0.0,22785.430080544196,78712.93128718575,118953815.30432694,410929416.61843085,0.0,0.0,0.0,0.0,101498.36136772989,529883231.9227576,0.0,0.0,22785.430080544196,78712.93128718575,118953815.30432694,410929416.61843085,0.0,0.0,0.0,0.0,101498.36136772989,529883231.9227576,0.0,0.0,22785.430080544196,78712.93128718575,118953815.30432692,410929416.61843085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Quebec,OSM,ACTIVE,2913270.179563727,17652511295.945255,0.0,0.0,1438027.16272826,1475243.0168354625,8713503784.16955,8939007511.775742,0.0,0.0,0.0,0.0,2913270.179563727,17652511295.94526,0.0,0.0,1438027.16272826,1475243.016835463,8713503784.16955,8939007511.775742,0.0,0.0,0.0,0.0,2913270.179563727,17652511295.94526,0.0,0.0,1438027.16272826,1475243.016835463,8713503784.16955,8939007511.775742,0.0,0.0,0.0,0.0,2913270.179563727,17652511295.94526,0.0,0.0,1438027.16272826,1475243.016835463,8713503784.16955,8939007511.775742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Quebec,OSM,NOT_ACTIVE,292706.94084099215,1773612559.4677894,707.0869977218676,4284484.598119396,125315.28607540806,167391.65476558413,759328646.7278624,1014283912.7399284,707.0869977218676,5.856436411812,4284484.598119396,35486.1731118184,292706.940840992,1773612559.4677892,452.82766270958996,2743839.3758228803,125315.28607540806,167391.65476558413,759328646.7278624,1014283912.7399282,452.82766270958996,0.0,2743839.3758228803,0.0,292706.940840992,1773612559.4677892,764.5095232991301,4632427.534722046,125315.28607540806,167391.65476558413,759328646.7278624,1014283912.7399282,764.5095232991301,0.0,4632427.534722046,0.0,292706.940840992,1773612559.4677892,917.3863020994702,5558760.795396436,125315.28607540806,167391.65476558413,759328646.7278624,1014283912.7399282,917.3863020994702,0.0,5558760.795396436,0.0,0.002415682373948147,0.0024156823739481456,0.005642464058984635,3.498642999863628e-05,0.005642464058984624,3.498642999863627e-05
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Yukon,OSM,ACTIVE,2110553.6016609143,13075132033.968143,16795.274336210256,104048733.62128781,1122052.7152504476,988500.8864104666,6951250794.780433,6123881239.187754,10666.695152721093,6128.579183489156,66081452.45785802,37967281.163429886,2110553.6016609143,13075132033.968145,4076.6934993939008,25255603.896839,1122052.7152504474,988500.8864104666,6951250794.780434,6123881239.187755,3599.734729219649,476.95877017425005,22300787.26016145,2954816.636677553,2110553.6016609143,13075132033.968145,11620.666943516697,71991421.81922248,1122052.7152504476,988500.8864104667,6951250794.780434,6123881239.187755,6471.823047283946,5148.843896232753,40093717.95964983,31897703.859572645,2110553.6016609143,13075132033.968147,33061.07956978086,204817342.8148083,1122052.7152504476,988500.8864104667,6951250794.780434,6123881239.187755,20391.84594717789,12669.233622602967,126329924.98549515,78487417.82931346,0.00795775777643984,0.007957757776439851,0.009506411782391378,0.0061998722183687705,0.009506411782391361,0.006199872218368772
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Yukon,OSM,NOT_ACTIVE,331551.2492908439,2053999650.657227,6130.85059496935,37981352.829263724,221113.35710673497,110437.89218410829,1369823697.6162834,684175953.0409461,3423.4353828948924,2707.415212074457,21208591.720145576,16772761.109118164,331551.24929084396,2053999650.6572268,2093.9079718809603,12972010.366273882,221113.35710673494,110437.8921841083,1369823697.616283,684175953.0409461,1566.33320252574,527.57476935522,9703621.55981036,3268388.806463523,331551.2492908439,2053999650.6572268,6677.90440915693,41370416.648614034,221113.35710673494,110437.8921841083,1369823697.616283,684175953.0409461,2503.3277548137908,4174.57665434314,15508414.89774496,25862001.75086909,331551.2492908439,2053999650.6572268,11189.379288471677,69319543.20410627,221113.35710673494,110437.8921841083,1369823697.616283,684175953.0409462,6237.064550078039,4952.31473839363,38639360.98684059,30680182.217265684,0.018491411533157084,0.01849141153315711,0.015482716321123672,0.024515274228169726,0.015482716321123647,0.02451527422816972
