mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_ppp2024_mean,dam_area_m2_mean,dam_cost_ppp2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_ppp2024_mean,total_cost_nonres_ppp2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_ppp2024_mean,dam_cost_nonres_ppp2024_mean,total_area_m2_p05,total_cost_ppp2024_p05,dam_area_m2_p05,dam_cost_ppp2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_ppp2024_p05,total_cost_nonres_ppp2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_ppp2024_p05,dam_cost_nonres_ppp2024_p05,total_area_m2_p50,total_cost_ppp2024_p50,dam_area_m2_p50,dam_cost_ppp2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_ppp2024_p50,total_cost_nonres_ppp2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_ppp2024_p50,dam_cost_nonres_ppp2024_p50,total_area_m2_p95,total_cost_ppp2024_p95,dam_area_m2_p95,dam_cost_ppp2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_ppp2024_p95,total_cost_nonres_ppp2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_ppp2024_p95,dam_cost_nonres_ppp2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.496346542,15157703141.468538,0.0,0.0,1045117.5497328385,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,2184150.496346542,15157703141.468544,0.0,0.0,1045117.5497328388,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,2184150.496346542,15157703141.468542,0.0,0.0,1045117.5497328388,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,2184150.496346542,15157703141.468542,0.0,0.0,1045117.5497328388,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436462,1984250598.6730492,2.605188192607875,18079.646671446095,230812.89610449504,55107.859139150925,1601809658.3668058,382440940.3062405,2.605188192607875,0.0,18079.646671446095,0.0,285920.7552436462,1984250598.673049,0.0,0.0,230812.896104495,55107.85913915091,1601809658.3668058,382440940.3062405,0.0,0.0,0.0,0.0,285920.7552436462,1984250598.673049,0.0,0.0,230812.896104495,55107.85913915091,1601809658.3668058,382440940.3062405,0.0,0.0,0.0,0.0,285920.7552436462,1984250598.673049,37.216974180112494,258280.66673494416,230812.896104495,55107.85913915091,1601809658.3668058,382440940.3062405,37.216974180112494,0.0,258280.66673494416,0.0,9.111574255558588e-06,9.1115742555586e-06,1.128701314604379e-05,0.0,1.128701314604382e-05,0.0
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,OSM,ACTIVE,3184180.3524773573,23615175777.21422,25426.028524529116,188569762.53121528,1938388.987673748,1245791.3648036083,14375880635.315693,9239295141.898499,15792.152215186039,9633.876309343064,117121019.91081937,71448742.62039578,3184180.3524773573,23615175777.21422,523.67445262017,3883782.6001407895,1938388.9876737478,1245791.364803608,14375880635.315695,9239295141.898499,523.67445262017,0.0,3883782.6001407895,0.0,3184180.3524773573,23615175777.21422,32071.0470231325,237851920.73725694,1938388.9876737478,1245791.364803608,14375880635.315695,9239295141.898499,18158.80339540458,13912.243627727912,134673067.04305208,103178853.69420467,3184180.3524773573,23615175777.21422,45342.45801591617,336278099.1295714,1938388.9876737478,1245791.364803608,14375880635.315695,9239295141.898499,28529.8637494365,16812.59426647965,211589066.18424794,124689032.94532335,0.007985109419052581,0.007985109419052568,0.008147050109966901,0.0077331378122546136,0.008147050109966874,0.007733137812254629
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,140740.74763344487,1043790591.7591938,1532.5879560629496,11366295.23773977,82366.83453146547,58373.913101979546,610865924.7771374,432924666.98205763,1119.323970383214,413.2639856797356,8301361.539299562,3064933.6984402095,140740.7476334449,1043790591.7591938,18.805555783074997,139469.6456373793,82366.83453146547,58373.91310197954,610865924.7771373,432924666.98205775,6.335941898812499,12.469613884262499,46989.92051070928,92479.72512667,140740.7476334449,1043790591.7591938,1326.724904949017,9839531.172913227,82366.83453146547,58373.91310197954,610865924.7771373,432924666.98205775,759.5121433237748,567.2127616252413,5632850.776045095,4206680.396868131,140740.7476334449,1043790591.7591938,5642.375387328155,41846149.34550215,82366.83453146549,58373.91310197954,610865924.7771373,432924666.98205775,4607.874602343114,1034.5007849850404,34173871.02744747,7672278.31805469,0.010889440207142638,0.010889440207142637,0.013589498452263744,0.007079600522201778,0.013589498452263732,0.007079600522201786
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Nunavut,OSM,ACTIVE,1774168.1163058023,9262237564.96355,0.0,0.0,1002680.1955918118,771487.9207139973,5234600987.302776,4027636577.6607733,0.0,0.0,0.0,0.0,1774168.116305803,9262237564.963552,0.0,0.0,1002680.1955918118,771487.9207139972,5234600987.302776,4027636577.660773,0.0,0.0,0.0,0.0,1774168.116305803,9262237564.963552,0.0,0.0,1002680.1955918118,771487.9207139972,5234600987.302776,4027636577.660773,0.0,0.0,0.0,0.0,1774168.116305803,9262237564.963552,0.0,0.0,1002680.1955918118,771487.9207139972,5234600987.302776,4027636577.660773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Nunavut,OSM,NOT_ACTIVE,101498.36136772987,529883231.92275774,0.0,0.0,22785.4300805442,78712.93128718575,118953815.3043269,410929416.6184309,0.0,0.0,0.0,0.0,101498.36136772989,529883231.9227576,0.0,0.0,22785.430080544196,78712.93128718575,118953815.30432694,410929416.61843085,0.0,0.0,0.0,0.0,101498.36136772989,529883231.9227576,0.0,0.0,22785.430080544196,78712.93128718575,118953815.30432694,410929416.61843085,0.0,0.0,0.0,0.0,101498.36136772989,529883231.9227576,0.0,0.0,22785.430080544196,78712.93128718575,118953815.30432692,410929416.61843085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Quebec,OSM,ACTIVE,2913270.179563727,17652511295.945255,0.0,0.0,1438027.16272826,1475243.0168354625,8713503784.16955,8939007511.775742,0.0,0.0,0.0,0.0,2913270.179563727,17652511295.94526,0.0,0.0,1438027.16272826,1475243.016835463,8713503784.16955,8939007511.775742,0.0,0.0,0.0,0.0,2913270.179563727,17652511295.94526,0.0,0.0,1438027.16272826,1475243.016835463,8713503784.16955,8939007511.775742,0.0,0.0,0.0,0.0,2913270.179563727,17652511295.94526,0.0,0.0,1438027.16272826,1475243.016835463,8713503784.16955,8939007511.775742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Quebec,OSM,NOT_ACTIVE,292706.94084099215,1773612559.4677894,178.2358585334199,1079992.6928078036,125315.28607540806,167391.65476558413,759328646.7278624,1014283912.7399284,176.7717494304669,1.464109102953,1071121.149529849,8871.5432779546,292706.940840992,1773612559.4677892,113.20691567739749,685959.8439557201,125315.28607540806,167391.65476558413,759328646.7278624,1014283912.7399282,113.20691567739749,0.0,685959.8439557201,0.0,292706.940840992,1773612559.4677892,191.12738082478253,1158106.8836805115,125315.28607540806,167391.65476558413,759328646.7278624,1014283912.7399282,191.12738082478253,0.0,1158106.8836805115,0.0,292706.940840992,1773612559.4677892,229.34657552486755,1389690.198849109,125315.28607540806,167391.65476558413,759328646.7278624,1014283912.7399282,229.34657552486755,0.0,1389690.198849109,0.0,0.0006089225558550843,0.0006089225558550841,0.0014106160147461587,8.74660749965907e-06,0.001410616014746156,8.746607499659068e-06
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Yukon,OSM,ACTIVE,2110553.6016609143,13075132033.968143,4198.818584052564,26012183.405321952,1122052.7152504476,988500.8864104666,6951250794.780433,6123881239.187754,2666.6737881802733,1532.144795872289,16520363.114464505,9491820.290857472,2110553.6016609143,13075132033.968145,1019.1733748484752,6313900.97420975,1122052.7152504474,988500.8864104666,6951250794.780434,6123881239.187755,899.9336823049123,119.23969254356251,5575196.815040362,738704.1591693882,2110553.6016609143,13075132033.968145,2905.166735879174,17997855.45480562,1122052.7152504476,988500.8864104667,6951250794.780434,6123881239.187755,1617.9557618209865,1287.2109740581882,10023429.489912458,7974425.964893161,2110553.6016609143,13075132033.968147,8265.269892445214,51204335.70370208,1122052.7152504476,988500.8864104667,6951250794.780434,6123881239.187755,5097.961486794473,3167.308405650742,31582481.246373788,19621854.457328364,0.00198943944410996,0.0019894394441099627,0.0023766029455978446,0.0015499680545921926,0.0023766029455978403,0.001549968054592193
B1_OSM_2D_COMBINEDCOST,SSP245,CAN,Yukon,OSM,NOT_ACTIVE,331551.2492908439,2053999650.657227,1532.7126487423375,9495338.207315931,221113.35710673497,110437.89218410829,1369823697.6162834,684175953.0409461,855.8588457237231,676.8538030186143,5302147.930036394,4193190.277279541,331551.24929084396,2053999650.6572268,523.4769929702401,3243002.5915684705,221113.35710673494,110437.8921841083,1369823697.616283,684175953.0409461,391.583300631435,131.893692338805,2425905.38995259,817097.2016158807,331551.2492908439,2053999650.6572268,1669.4761022892326,10342604.162153509,221113.35710673494,110437.8921841083,1369823697.616283,684175953.0409461,625.8319387034477,1043.644163585785,3877103.72443624,6465500.437717273,331551.2492908439,2053999650.6572268,2797.344822117919,17329885.801026568,221113.35710673494,110437.8921841083,1369823697.616283,684175953.0409462,1559.2661375195098,1238.0786845984076,9659840.246710148,7670045.554316421,0.004622852883289271,0.004622852883289278,0.003870679080280918,0.0061288185570424316,0.003870679080280912,0.00612881855704243
