mode,scenario,hazard_map,draw,shapeGroup,dam_cost_ppp2024,dam_area_m2
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,36135816547.00243,26019815.05400912
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,CAN,684068173.6261628,92377.29920791659
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,USA,3373256183.427448,850802.6150114386
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,RUS,37004626883.08715,26678683.457594894
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,CAN,690311654.0166361,93247.11985288427
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,USA,2985404105.112362,752978.5706683826
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,RUS,87310761783.00978,62810146.28664652
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,CAN,114799267.49877445,15562.216402888134
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,USA,3089420871.2596416,779213.6775890841
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,RUS,119604926174.21367,84129743.58283831
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,CAN,114799267.49877445,15562.216402888134
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,USA,6052548028.42641,1526573.556840021
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,RUS,115328896486.78542,81213539.53008735
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,CAN,166600131.1680348,22546.847552496958
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,USA,6040884468.533243,1523631.7739697483
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,RUS,108796810988.09045,76763612.13381086
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,CAN,684068173.6261628,92377.29920791659
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,USA,2985404105.112362,752978.5706683826
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,RUS,94827606434.50284,68010915.24980819
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,CAN,684068173.6261628,92377.29920791659
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,USA,6609140528.9569235,1666957.3074942487
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,RUS,44418020084.27011,31963840.009269528
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,CAN,684068173.6261628,92377.29920791659
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,USA,2986581647.7605677,753275.5704543173
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,RUS,35697845665.83921,25731866.507473484
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,CAN,958164832.5611979,129372.98777651956
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,USA,3089420871.2596416,779213.6775890841
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,RUS,99168336790.31056,71005847.82285061
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,CAN,20855607.23255431,2895.211080482959
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,USA,5942745994.580329,1498879.2898024996
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,10,RUS,35715122020.76349,25746213.056501888
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,10,CAN,684068173.6261628,92377.29920791659
