mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_ppp2024_mean,dam_area_m2_mean,dam_cost_ppp2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_ppp2024_mean,total_cost_nonres_ppp2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_ppp2024_mean,dam_cost_nonres_ppp2024_mean,total_area_m2_p05,total_cost_ppp2024_p05,dam_area_m2_p05,dam_cost_ppp2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_ppp2024_p05,total_cost_nonres_ppp2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_ppp2024_p05,dam_cost_nonres_ppp2024_p05,total_area_m2_p50,total_cost_ppp2024_p50,dam_area_m2_p50,dam_cost_ppp2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_ppp2024_p50,total_cost_nonres_ppp2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_ppp2024_p50,dam_cost_nonres_ppp2024_p50,total_area_m2_p95,total_cost_ppp2024_p95,dam_area_m2_p95,dam_cost_ppp2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_ppp2024_p95,total_cost_nonres_ppp2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_ppp2024_p95,dam_cost_nonres_ppp2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,440083.5096310755,3054118847.396996,0.0,0.0,213197.87834712563,226885.63128395117,1479563865.1192572,1574554982.2777271,0.0,0.0,0.0,0.0,440083.5096310755,3054118847.3969965,0.0,0.0,213197.87834712563,226885.63128395114,1479563865.1192572,1574554982.2777271,0.0,0.0,0.0,0.0,440083.5096310755,3054118847.3969965,0.0,0.0,213197.87834712563,226885.63128395114,1479563865.1192572,1574554982.2777271,0.0,0.0,0.0,0.0,440083.5096310755,3054118847.3969965,0.0,0.0,213197.87834712563,226885.63128395117,1479563865.1192572,1574554982.2777271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,16968.84176505164,117761421.00072408,0.0,0.0,6147.444698589244,10821.397066462403,42662418.169295415,75099002.8314287,0.0,0.0,0.0,0.0,16968.841765051635,117761421.00072406,0.0,0.0,6147.444698589245,10821.397066462401,42662418.16929541,75099002.8314287,0.0,0.0,0.0,0.0,16968.841765051635,117761421.00072406,0.0,0.0,6147.444698589245,10821.397066462401,42662418.16929541,75099002.8314287,0.0,0.0,0.0,0.0,16968.841765051635,117761421.00072406,0.0,0.0,6147.444698589245,10821.397066462401,42662418.16929541,75099002.8314287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.496346542,15157703141.468538,0.0,0.0,1045117.5497328385,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,2184150.496346542,15157703141.468544,0.0,0.0,1045117.5497328388,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,2184150.496346542,15157703141.468542,0.0,0.0,1045117.5497328388,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,2184150.496346542,15157703141.468542,0.0,0.0,1045117.5497328388,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436462,1984250598.6730492,10.4207527704315,72318.58668578438,230812.89610449504,55107.859139150925,1601809658.3668058,382440940.3062405,10.4207527704315,0.0,72318.58668578438,0.0,285920.7552436462,1984250598.673049,0.0,0.0,230812.896104495,55107.85913915091,1601809658.3668058,382440940.3062405,0.0,0.0,0.0,0.0,285920.7552436462,1984250598.673049,0.0,0.0,230812.896104495,55107.85913915091,1601809658.3668058,382440940.3062405,0.0,0.0,0.0,0.0,285920.7552436462,1984250598.673049,148.86789672044998,1033122.6669397766,230812.896104495,55107.85913915091,1601809658.3668058,382440940.3062405,148.86789672044998,0.0,1033122.6669397766,0.0,3.644629702223435e-05,3.64462970222344e-05,4.514805258417516e-05,0.0,4.514805258417528e-05,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,229595.18181267407,1702771192.5580368,3552.022841387526,26343245.19300063,163828.29681067058,65766.88500200343,1215017240.9221652,487753951.6358738,3532.2368233536595,462.4933274298503,26196504.04077997,3430038.507255768,229595.18181267404,1702771192.5580366,0.0,0.0,163828.2968106706,65766.88500200344,1215017240.9221654,487753951.63587403,0.0,0.0,0.0,0.0,229595.18181267404,1702771192.5580366,4591.034259159922,34048976.197256655,163828.2968106706,65766.88500200344,1215017240.9221654,487753951.63587403,4562.38423426291,831.2506589351999,33836495.96715971,6164892.767586864,229595.18181267404,1702771192.5580366,5510.516022277883,40868226.69702177,163828.2968106706,65766.88500200344,1215017240.9221654,487753951.63587403,5481.86599738087,921.2883506988279,40655746.466924824,6832648.887593833,0.01547080741566088,0.0154708074156609,0.021560602729305767,0.007032313107360361,0.021560602729305746,0.007032313107360363
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,40357.13183854699,299304893.79786795,498.8501270083172,3699675.310985952,26976.15575580878,13380.976082738198,200066136.1632035,99238757.63466449,482.95277213250483,142.2987234312909,3581774.065381889,1055345.1735510684,40357.131838546986,299304893.797868,0.0,0.0,26976.155755808788,13380.976082738194,200066136.16320354,99238757.63466448,0.0,0.0,0.0,0.0,40357.131838546986,299304893.797868,613.3346421744595,4548739.01031886,26976.155755808788,13380.976082738194,200066136.1632035,99238757.63466448,613.3346421744595,275.416884060563,4548739.01031886,2042603.5617117449,40357.13183854698,299304893.797868,1716.432132092543,12729758.374863327,26976.155755808788,13380.976082738194,200066136.1632035,99238757.63466448,1289.8865896180553,426.54554247448795,9566323.25263941,3163435.1222239174,0.01236089147771998,0.012360891477719987,0.017902950164739858,0.010634405334216232,0.017902950164739848,0.010634405334216238
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,OSM,ACTIVE,3184180.3524773573,23615175777.21422,63310.61108384197,469537225.84983623,1938388.987673748,1245791.3648036083,14375880635.315693,9239295141.898499,39071.7759713672,24238.835112474728,289772172.224447,179765053.62538883,3184180.3524773573,23615175777.21422,2094.69781048068,15535130.400563158,1938388.9876737478,1245791.364803608,14375880635.315695,9239295141.898499,2094.69781048068,0.0,15535130.400563158,0.0,3184180.3524773573,23615175777.21422,85119.9035077056,631283803.3530548,1938388.9876737478,1245791.364803608,14375880635.315695,9239295141.898499,51571.952604445956,33547.95090325959,382478563.11926955,248805240.23378462,3184180.3524773573,23615175777.21422,106761.84571575148,791789243.6324301,1938388.9876737478,1245791.364803608,14375880635.315695,9239295141.898499,66300.42381063731,40461.421905114104,491710892.3098066,300078351.3226234,0.019882859661069455,0.019882859661069417,0.02015682931538786,0.01945657659643181,0.02015682931538779,0.01945657659643185
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,140740.74763344487,1043790591.7591938,3117.747499451825,23122482.736017797,82366.83453146547,58373.913101979546,610865924.7771374,432924666.98205763,2871.106858514242,1089.5654632086741,21293295.490071055,8080660.354064411,140740.7476334449,1043790591.7591938,75.22222313229999,557878.5825495172,82366.83453146547,58373.91310197954,610865924.7771373,432924666.98205775,25.343767595249997,49.878455537049994,187959.6820428371,369918.90050668,140740.7476334449,1043790591.7591938,4019.812149303778,29812560.844216444,82366.83453146547,58373.91310197954,610865924.7771373,432924666.98205775,1910.9757688998898,2108.8363804038854,14172573.062156286,15639987.782060148,140740.7476334449,1043790591.7591938,15047.802139658641,111600617.19252285,82366.83453146549,58373.91310197954,610865924.7771373,432924666.98205775,14328.339639243617,2108.8363804038854,106264790.84738635,15639987.782060148,0.022152415358570543,0.02215241535857054,0.03485755977932395,0.018665280521886502,0.03485755977932392,0.018665280521886523
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Nunavut,HABITAT,ACTIVE,128477.02431929087,670728275.3805046,0.0,0.0,85098.49517208173,43378.52914720911,444265947.21244866,226462328.1680553,0.0,0.0,0.0,0.0,128477.02431929087,670728275.3805046,0.0,0.0,85098.49517208175,43378.52914720911,444265947.2124486,226462328.16805524,0.0,0.0,0.0,0.0,128477.02431929087,670728275.3805046,0.0,0.0,85098.49517208175,43378.52914720911,444265947.21244866,226462328.16805524,0.0,0.0,0.0,0.0,128477.02431929087,670728275.3805046,0.0,0.0,85098.49517208175,43378.52914720911,444265947.21244866,226462328.16805524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,46414.36029415904,242311214.77115494,0.0,0.0,21039.41344714529,25374.94684701375,109838545.61692443,132472669.1542307,0.0,0.0,0.0,0.0,46414.36029415905,242311214.77115494,0.0,0.0,21039.413447145293,25374.94684701375,109838545.61692445,132472669.1542307,0.0,0.0,0.0,0.0,46414.36029415905,242311214.77115494,0.0,0.0,21039.413447145293,25374.94684701375,109838545.61692445,132472669.1542307,0.0,0.0,0.0,0.0,46414.36029415905,242311214.77115494,0.0,0.0,21039.413447145293,25374.94684701375,109838545.61692445,132472669.1542307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
