mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_ppp2024_mean,dam_area_m2_mean,dam_cost_ppp2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_ppp2024_mean,total_cost_nonres_ppp2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_ppp2024_mean,dam_cost_nonres_ppp2024_mean,total_area_m2_p05,total_cost_ppp2024_p05,dam_area_m2_p05,dam_cost_ppp2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_ppp2024_p05,total_cost_nonres_ppp2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_ppp2024_p05,dam_cost_nonres_ppp2024_p05,total_area_m2_p50,total_cost_ppp2024_p50,dam_area_m2_p50,dam_cost_ppp2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_ppp2024_p50,total_cost_nonres_ppp2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_ppp2024_p50,dam_cost_nonres_ppp2024_p50,total_area_m2_p95,total_cost_ppp2024_p95,dam_area_m2_p95,dam_cost_ppp2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_ppp2024_p95,total_cost_nonres_ppp2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_ppp2024_p95,dam_cost_nonres_ppp2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,440083.5096310755,3054118847.396996,0.0,0.0,213197.87834712563,226885.63128395117,1479563865.1192572,1574554982.2777271,0.0,0.0,0.0,0.0,440083.5096310755,3054118847.3969965,0.0,0.0,213197.87834712563,226885.63128395114,1479563865.1192572,1574554982.2777271,0.0,0.0,0.0,0.0,440083.5096310755,3054118847.3969965,0.0,0.0,213197.87834712563,226885.63128395114,1479563865.1192572,1574554982.2777271,0.0,0.0,0.0,0.0,440083.5096310755,3054118847.3969965,0.0,0.0,213197.87834712563,226885.63128395117,1479563865.1192572,1574554982.2777271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,16968.84176505164,117761421.00072408,0.0,0.0,6147.444698589244,10821.397066462403,42662418.169295415,75099002.8314287,0.0,0.0,0.0,0.0,16968.841765051635,117761421.00072406,0.0,0.0,6147.444698589245,10821.397066462401,42662418.16929541,75099002.8314287,0.0,0.0,0.0,0.0,16968.841765051635,117761421.00072406,0.0,0.0,6147.444698589245,10821.397066462401,42662418.16929541,75099002.8314287,0.0,0.0,0.0,0.0,16968.841765051635,117761421.00072406,0.0,0.0,6147.444698589245,10821.397066462401,42662418.16929541,75099002.8314287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.496346542,15157703141.468538,0.0,0.0,1045117.5497328385,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,2184150.496346542,15157703141.468544,0.0,0.0,1045117.5497328388,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,2184150.496346542,15157703141.468542,0.0,0.0,1045117.5497328388,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,2184150.496346542,15157703141.468542,0.0,0.0,1045117.5497328388,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436462,1984250598.6730492,2.605188192607875,18079.646671446095,230812.89610449504,55107.859139150925,1601809658.3668058,382440940.3062405,2.605188192607875,0.0,18079.646671446095,0.0,285920.7552436462,1984250598.673049,0.0,0.0,230812.896104495,55107.85913915091,1601809658.3668058,382440940.3062405,0.0,0.0,0.0,0.0,285920.7552436462,1984250598.673049,0.0,0.0,230812.896104495,55107.85913915091,1601809658.3668058,382440940.3062405,0.0,0.0,0.0,0.0,285920.7552436462,1984250598.673049,37.216974180112494,258280.66673494416,230812.896104495,55107.85913915091,1601809658.3668058,382440940.3062405,37.216974180112494,0.0,258280.66673494416,0.0,9.111574255558588e-06,9.1115742555586e-06,1.128701314604379e-05,0.0,1.128701314604382e-05,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,229595.18181267407,1702771192.5580368,1755.7500230918383,13021355.836173996,163828.29681067058,65766.88500200343,1215017240.9221652,487753951.6358738,1615.8515677540322,139.8984553378067,11983812.026448306,1037543.8097256909,229595.18181267404,1702771192.5580366,0.0,0.0,163828.2968106706,65766.88500200344,1215017240.9221654,487753951.63587403,0.0,0.0,0.0,0.0,229595.18181267404,1702771192.5580366,1937.564041281782,14369762.497554421,163828.2968106706,65766.88500200344,1215017240.9221654,487753951.63587403,1722.588870323729,214.97517095805347,12775419.24813347,1594343.2494209511,229595.18181267404,1702771192.5580366,3445.8576798012778,25555881.201408558,163828.2968106706,65766.88500200344,1215017240.9221654,487753951.63587403,3129.641864557831,316.21581524344646,23210696.182381853,2345185.019026704,0.007647155350691761,0.007647155350691769,0.00986307981716616,0.0021271868864329675,0.009863079817166148,0.002127186886432968
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,40357.13183854699,299304893.79786795,281.8730641748402,2090485.217701925,26976.15575580878,13380.976082738198,200066136.1632035,99238757.63466449,220.92374163390545,60.94932254093479,1638460.2674862538,452024.95021567144,40357.131838546986,299304893.797868,0.0,0.0,26976.155755808788,13380.976082738194,200066136.16320354,99238757.63466448,0.0,0.0,0.0,0.0,40357.131838546986,299304893.797868,223.82851097516587,1660003.21763126,26976.155755808788,13380.976082738194,200066136.1632035,99238757.63466448,154.97428996002515,68.85422101514075,1149352.3272033236,510650.8904279362,40357.13183854698,299304893.797868,652.9365439983017,4842442.811347092,26976.155755808788,13380.976082738194,200066136.1632035,99238757.63466448,477.44593736453896,175.49060663376275,3540933.140363176,1301509.6709839157,0.006984467213936397,0.0069844672139364,0.008189593196070344,0.00455492350962057,0.00818959319607034,0.004554923509620573
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,OSM,ACTIVE,3184180.3524773573,23615175777.21422,25426.028524529116,188569762.53121528,1938388.987673748,1245791.3648036083,14375880635.315693,9239295141.898499,15792.152215186039,9633.876309343064,117121019.91081937,71448742.62039578,3184180.3524773573,23615175777.21422,523.67445262017,3883782.6001407895,1938388.9876737478,1245791.364803608,14375880635.315695,9239295141.898499,523.67445262017,0.0,3883782.6001407895,0.0,3184180.3524773573,23615175777.21422,32071.0470231325,237851920.73725694,1938388.9876737478,1245791.364803608,14375880635.315695,9239295141.898499,18158.80339540458,13912.243627727912,134673067.04305208,103178853.69420467,3184180.3524773573,23615175777.21422,45342.45801591617,336278099.1295714,1938388.9876737478,1245791.364803608,14375880635.315695,9239295141.898499,28529.8637494365,16812.59426647965,211589066.18424794,124689032.94532335,0.007985109419052581,0.007985109419052568,0.008147050109966901,0.0077331378122546136,0.008147050109966874,0.007733137812254629
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,140740.74763344487,1043790591.7591938,1532.5879560629496,11366295.23773977,82366.83453146547,58373.913101979546,610865924.7771374,432924666.98205763,1119.323970383214,413.2639856797356,8301361.539299562,3064933.6984402095,140740.7476334449,1043790591.7591938,18.805555783074997,139469.6456373793,82366.83453146547,58373.91310197954,610865924.7771373,432924666.98205775,6.335941898812499,12.469613884262499,46989.92051070928,92479.72512667,140740.7476334449,1043790591.7591938,1326.724904949017,9839531.172913227,82366.83453146547,58373.91310197954,610865924.7771373,432924666.98205775,759.5121433237748,567.2127616252413,5632850.776045095,4206680.396868131,140740.7476334449,1043790591.7591938,5642.375387328155,41846149.34550215,82366.83453146549,58373.91310197954,610865924.7771373,432924666.98205775,4607.874602343114,1034.5007849850404,34173871.02744747,7672278.31805469,0.010889440207142638,0.010889440207142637,0.013589498452263744,0.007079600522201778,0.013589498452263732,0.007079600522201786
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Nunavut,HABITAT,ACTIVE,128477.02431929087,670728275.3805046,0.0,0.0,85098.49517208173,43378.52914720911,444265947.21244866,226462328.1680553,0.0,0.0,0.0,0.0,128477.02431929087,670728275.3805046,0.0,0.0,85098.49517208175,43378.52914720911,444265947.2124486,226462328.16805524,0.0,0.0,0.0,0.0,128477.02431929087,670728275.3805046,0.0,0.0,85098.49517208175,43378.52914720911,444265947.21244866,226462328.16805524,0.0,0.0,0.0,0.0,128477.02431929087,670728275.3805046,0.0,0.0,85098.49517208175,43378.52914720911,444265947.21244866,226462328.16805524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,46414.36029415904,242311214.77115494,0.0,0.0,21039.41344714529,25374.94684701375,109838545.61692443,132472669.1542307,0.0,0.0,0.0,0.0,46414.36029415905,242311214.77115494,0.0,0.0,21039.413447145293,25374.94684701375,109838545.61692445,132472669.1542307,0.0,0.0,0.0,0.0,46414.36029415905,242311214.77115494,0.0,0.0,21039.413447145293,25374.94684701375,109838545.61692445,132472669.1542307,0.0,0.0,0.0,0.0,46414.36029415905,242311214.77115494,0.0,0.0,21039.413447145293,25374.94684701375,109838545.61692445,132472669.1542307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
