mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_ppp2024_mean,dam_area_m2_mean,dam_cost_ppp2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_ppp2024_mean,total_cost_nonres_ppp2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_ppp2024_mean,dam_cost_nonres_ppp2024_mean,total_area_m2_p05,total_cost_ppp2024_p05,dam_area_m2_p05,dam_cost_ppp2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_ppp2024_p05,total_cost_nonres_ppp2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_ppp2024_p05,dam_cost_nonres_ppp2024_p05,total_area_m2_p50,total_cost_ppp2024_p50,dam_area_m2_p50,dam_cost_ppp2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_ppp2024_p50,total_cost_nonres_ppp2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_ppp2024_p50,dam_cost_nonres_ppp2024_p50,total_area_m2_p95,total_cost_ppp2024_p95,dam_area_m2_p95,dam_cost_ppp2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_ppp2024_p95,total_cost_nonres_ppp2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_ppp2024_p95,dam_cost_nonres_ppp2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,440083.5096310755,3054118847.396996,0.0,0.0,213197.87834712563,226885.63128395117,1479563865.1192572,1574554982.2777271,0.0,0.0,0.0,0.0,440083.5096310755,3054118847.3969965,0.0,0.0,213197.87834712563,226885.63128395114,1479563865.1192572,1574554982.2777271,0.0,0.0,0.0,0.0,440083.5096310755,3054118847.3969965,0.0,0.0,213197.87834712563,226885.63128395114,1479563865.1192572,1574554982.2777271,0.0,0.0,0.0,0.0,440083.5096310755,3054118847.3969965,0.0,0.0,213197.87834712563,226885.63128395117,1479563865.1192572,1574554982.2777271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,16968.84176505164,117761421.00072408,0.0,0.0,6147.444698589244,10821.397066462403,42662418.169295415,75099002.8314287,0.0,0.0,0.0,0.0,16968.841765051635,117761421.00072406,0.0,0.0,6147.444698589245,10821.397066462401,42662418.16929541,75099002.8314287,0.0,0.0,0.0,0.0,16968.841765051635,117761421.00072406,0.0,0.0,6147.444698589245,10821.397066462401,42662418.16929541,75099002.8314287,0.0,0.0,0.0,0.0,16968.841765051635,117761421.00072406,0.0,0.0,6147.444698589245,10821.397066462401,42662418.16929541,75099002.8314287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.496346542,15157703141.468538,0.0,0.0,1045117.5497328385,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,2184150.496346542,15157703141.468544,0.0,0.0,1045117.5497328388,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,2184150.496346542,15157703141.468542,0.0,0.0,1045117.5497328388,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,2184150.496346542,15157703141.468542,0.0,0.0,1045117.5497328388,1139032.946613705,7252971621.3639145,7904731520.104668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436462,1984250598.6730492,0.0,0.0,230812.89610449504,55107.859139150925,1601809658.3668058,382440940.3062405,0.0,0.0,0.0,0.0,285920.7552436462,1984250598.673049,0.0,0.0,230812.896104495,55107.85913915091,1601809658.3668058,382440940.3062405,0.0,0.0,0.0,0.0,285920.7552436462,1984250598.673049,0.0,0.0,230812.896104495,55107.85913915091,1601809658.3668058,382440940.3062405,0.0,0.0,0.0,0.0,285920.7552436462,1984250598.673049,0.0,0.0,230812.896104495,55107.85913915091,1601809658.3668058,382440940.3062405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,229595.18181267407,1702771192.5580368,0.0,0.0,163828.29681067058,65766.88500200343,1215017240.9221652,487753951.6358738,0.0,0.0,0.0,0.0,229595.18181267404,1702771192.5580366,0.0,0.0,163828.2968106706,65766.88500200344,1215017240.9221654,487753951.63587403,0.0,0.0,0.0,0.0,229595.18181267404,1702771192.5580366,0.0,0.0,163828.2968106706,65766.88500200344,1215017240.9221654,487753951.63587403,0.0,0.0,0.0,0.0,229595.18181267404,1702771192.5580366,0.0,0.0,163828.2968106706,65766.88500200344,1215017240.9221654,487753951.63587403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,40357.13183854699,299304893.79786795,0.0,0.0,26976.15575580878,13380.976082738198,200066136.1632035,99238757.63466449,0.0,0.0,0.0,0.0,40357.131838546986,299304893.797868,0.0,0.0,26976.155755808788,13380.976082738194,200066136.16320354,99238757.63466448,0.0,0.0,0.0,0.0,40357.131838546986,299304893.797868,0.0,0.0,26976.155755808788,13380.976082738194,200066136.1632035,99238757.63466448,0.0,0.0,0.0,0.0,40357.13183854698,299304893.797868,0.0,0.0,26976.155755808788,13380.976082738194,200066136.1632035,99238757.63466448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,OSM,ACTIVE,3184180.3524773573,23615175777.21422,0.0,0.0,1938388.987673748,1245791.3648036083,14375880635.315693,9239295141.898499,0.0,0.0,0.0,0.0,3184180.3524773573,23615175777.21422,0.0,0.0,1938388.9876737478,1245791.364803608,14375880635.315695,9239295141.898499,0.0,0.0,0.0,0.0,3184180.3524773573,23615175777.21422,0.0,0.0,1938388.9876737478,1245791.364803608,14375880635.315695,9239295141.898499,0.0,0.0,0.0,0.0,3184180.3524773573,23615175777.21422,0.0,0.0,1938388.9876737478,1245791.364803608,14375880635.315695,9239295141.898499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,140740.74763344487,1043790591.7591938,0.0,0.0,82366.83453146547,58373.913101979546,610865924.7771374,432924666.98205763,0.0,0.0,0.0,0.0,140740.7476334449,1043790591.7591938,0.0,0.0,82366.83453146547,58373.91310197954,610865924.7771373,432924666.98205775,0.0,0.0,0.0,0.0,140740.7476334449,1043790591.7591938,0.0,0.0,82366.83453146547,58373.91310197954,610865924.7771373,432924666.98205775,0.0,0.0,0.0,0.0,140740.7476334449,1043790591.7591938,0.0,0.0,82366.83453146549,58373.91310197954,610865924.7771373,432924666.98205775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Nunavut,HABITAT,ACTIVE,128477.02431929087,670728275.3805046,0.0,0.0,85098.49517208173,43378.52914720911,444265947.21244866,226462328.1680553,0.0,0.0,0.0,0.0,128477.02431929087,670728275.3805046,0.0,0.0,85098.49517208175,43378.52914720911,444265947.2124486,226462328.16805524,0.0,0.0,0.0,0.0,128477.02431929087,670728275.3805046,0.0,0.0,85098.49517208175,43378.52914720911,444265947.21244866,226462328.16805524,0.0,0.0,0.0,0.0,128477.02431929087,670728275.3805046,0.0,0.0,85098.49517208175,43378.52914720911,444265947.21244866,226462328.16805524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,46414.36029415904,242311214.77115494,0.0,0.0,21039.41344714529,25374.94684701375,109838545.61692443,132472669.1542307,0.0,0.0,0.0,0.0,46414.36029415905,242311214.77115494,0.0,0.0,21039.413447145293,25374.94684701375,109838545.61692445,132472669.1542307,0.0,0.0,0.0,0.0,46414.36029415905,242311214.77115494,0.0,0.0,21039.413447145293,25374.94684701375,109838545.61692445,132472669.1542307,0.0,0.0,0.0,0.0,46414.36029415905,242311214.77115494,0.0,0.0,21039.413447145293,25374.94684701375,109838545.61692445,132472669.1542307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
