mode,scenario,hazard_map,draw,shapeGroup,dam_cost_ppp2024,dam_area_m2
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,39861729649.377815,26019815.05400912
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,CAN,703738100.3649848,92377.29920791659
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,USA,3332052764.140125,850802.6150114386
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,RUS,40844398142.649635,26678683.457594894
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,CAN,710142623.1611329,93247.11985288427
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,USA,2935391224.011685,752978.5706683826
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,RUS,95536314220.54834,62810146.28664652
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,CAN,124424312.92139053,15562.216402888134
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,USA,3048458228.1408553,779213.6775890841
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,RUS,130990880374.91785,84129743.58283831
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,CAN,124424312.92139053,15562.216402888134
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,USA,6172273425.109869,1526573.556840021
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,RUS,126026356974.55759,81213539.53008735
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,CAN,177790341.1520771,22546.847552496958
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,USA,6159059241.58401,1523631.7739697483
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,RUS,118914870808.95259,76763612.13381086
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,CAN,703738100.3649848,92377.29920791659
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,USA,2935391224.011685,752978.5706683826
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,RUS,103856262752.04335,68010915.24980819
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,CAN,703738100.3649848,92377.29920791659
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,USA,6758371544.845634,1666957.3074942487
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,RUS,48949130961.050415,31963840.009269528
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,CAN,703738100.3649848,92377.29920791659
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,USA,2936955204.305201,753275.5704543173
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,RUS,39396308414.51041,25731866.507473484
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,CAN,997197185.949766,129372.98777651956
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,USA,3048458228.1408553,779213.6775890841
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,RUS,108473577912.13171,71005847.82285061
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,CAN,23342215.98510639,2895.211080482959
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,USA,6056351737.701849,1498879.2898024996
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,10,RUS,39416941462.74697,25746213.056501888
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,10,CAN,703738100.3649848,92377.29920791659
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,10,USA,6159059241.58401,1523631.7739697483
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,11,RUS,42941138609.324066,28045594.12337602
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,11,CAN,703738100.3649848,92377.29920791659
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,11,USA,6159059241.58401,1523631.7739697483
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,12,RUS,39849202566.501335,26012042.934337966
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,12,CAN,703738100.3649848,92377.29920791659
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,12,USA,6172273425.109869,1526573.556840021
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,13,RUS,65501700872.53918,43696902.56293675
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,13,CAN,177790341.1520771,22546.847552496958
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,13,USA,6056351737.701849,1498879.2898024996
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,14,RUS,132796238284.0092,85238540.3065519
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,14,CAN,703738100.3649848,92377.29920791659
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,14,USA,6028314437.92625,1491463.0404622098
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,15,RUS,40570171358.22291,26450127.584407117
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,15,CAN,28248267.931301855,3491.8961891174
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,15,USA,3536754527.282325,901690.2777781955
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,RUS,111441663504.12752,72804415.56137522
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,CAN,23342215.98510639,2895.211080482959
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,USA,2829381931.5724387,725879.5108506514
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,RUS,125444216701.4275,80881746.27829269
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,CAN,703738100.3649848,92377.29920791659
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,USA,3048458228.1408553,779213.6775890841
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,RUS,40551217916.48529,26437614.860744145
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,CAN,989146582.8221006,128427.84275599507
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,USA,3332052764.140125,850802.6150114386
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,19,RUS,42940515731.420425,28045052.96313178
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,19,CAN,124424312.92139053,15562.216402888134
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,19,USA,2829381931.5724387,725879.5108506514
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,RUS,113605783734.17314,74014628.70348048
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,CAN,21197656.648121655,2624.177501407819
B3_ADD_OCCUPANCY_COSTS,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,USA,6172273425.109869,1526573.556840021
