mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_ppp2024_mean,dam_area_m2_mean,dam_cost_ppp2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_ppp2024_mean,total_cost_nonres_ppp2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_ppp2024_mean,dam_cost_nonres_ppp2024_mean,total_area_m2_p05,total_cost_ppp2024_p05,dam_area_m2_p05,dam_cost_ppp2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_ppp2024_p05,total_cost_nonres_ppp2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_ppp2024_p05,dam_cost_nonres_ppp2024_p05,total_area_m2_p50,total_cost_ppp2024_p50,dam_area_m2_p50,dam_cost_ppp2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_ppp2024_p50,total_cost_nonres_ppp2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_ppp2024_p50,dam_cost_nonres_ppp2024_p50,total_area_m2_p95,total_cost_ppp2024_p95,dam_area_m2_p95,dam_cost_ppp2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_ppp2024_p95,total_cost_nonres_ppp2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_ppp2024_p95,dam_cost_nonres_ppp2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,440083.5096310755,2945752977.0298853,0.0,0.0,213197.87834712563,226885.63128395117,2055372293.2349472,890380683.7949221,0.0,0.0,0.0,0.0,440083.5096310755,2945752977.029886,0.0,0.0,213197.87834712563,226885.63128395114,2055372293.234947,890380683.794922,0.0,0.0,0.0,0.0,440083.5096310755,2945752977.029886,0.0,0.0,213197.87834712563,226885.63128395114,2055372293.234947,890380683.794922,0.0,0.0,0.0,0.0,440083.5096310755,2945752977.029886,0.0,0.0,213197.87834712563,226885.63128395117,2055372293.234947,890380683.794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,16968.84176505164,101732588.23679942,0.0,0.0,6147.444698589244,10821.397066462403,59265540.56556727,42467047.67123211,0.0,0.0,0.0,0.0,16968.841765051635,101732588.23679942,0.0,0.0,6147.444698589245,10821.397066462401,59265540.565567285,42467047.67123212,0.0,0.0,0.0,0.0,16968.841765051635,101732588.23679942,0.0,0.0,6147.444698589245,10821.397066462401,59265540.565567285,42467047.67123212,0.0,0.0,0.0,0.0,16968.841765051635,101732588.23679942,0.0,0.0,6147.444698589245,10821.397066462401,59265540.565567285,42467047.67123212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.496346542,14545617007.907543,0.0,0.0,1045117.5497328385,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,2184150.496346542,14545617007.907541,0.0,0.0,1045117.5497328388,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,2184150.496346542,14545617007.907541,0.0,0.0,1045117.5497328388,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,2184150.496346542,14545617007.907541,0.0,0.0,1045117.5497328388,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436462,2441456050.2941375,10.4207527704315,100463.13164581764,230812.89610449504,55107.859139150925,2225193023.741421,216263026.5527182,10.4207527704315,0.0,100463.13164581764,0.0,285920.7552436462,2441456050.2941375,0.0,0.0,230812.896104495,55107.85913915091,2225193023.7414217,216263026.55271822,0.0,0.0,0.0,0.0,285920.7552436462,2441456050.2941375,0.0,0.0,230812.896104495,55107.85913915091,2225193023.7414217,216263026.55271822,0.0,0.0,0.0,0.0,285920.7552436462,2441456050.2941375,148.86789672044998,1435187.5949402521,230812.896104495,55107.85913915091,2225193023.7414217,216263026.55271822,148.86789672044998,0.0,1435187.5949402521,0.0,3.644629702223435e-05,4.114885935944422e-05,4.514805258417516e-05,0.0,4.5148052584175264e-05,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,229595.18181267407,1784911127.3289604,3552.022841387526,29473092.048807308,163828.29681067058,65766.88500200343,1361074212.7610738,423836914.5678882,3532.2368233536595,462.4933274298503,29345580.386444055,2980553.889698935,229595.18181267404,1784911127.328961,0.0,0.0,163828.2968106706,65766.88500200344,1361074212.7610736,423836914.56788814,0.0,0.0,0.0,0.0,229595.18181267404,1784911127.328961,4591.034259159922,38088610.2203129,163828.2968106706,65766.88500200344,1361074212.7610736,423836914.56788814,4562.38423426291,831.2506589351999,37903974.16594795,5357022.983601654,229595.18181267404,1784911127.328961,5510.516022277883,45727601.41565098,163828.2968106706,65766.88500200344,1361074212.7610736,423836914.56788814,5481.86599738087,921.2883506988279,45542965.36128603,5937273.933160055,0.01547080741566088,0.016512358289184105,0.021560602729305767,0.007032313107360361,0.02156060272930573,0.007032313107360365
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,40357.13183854699,310350198.0089749,498.8501270083172,4012338.386760378,26976.15575580878,13380.976082738198,224116045.11209226,86234152.89688267,482.95277213250483,142.2987234312909,4012338.386760378,917048.9355582277,40357.131838546986,310350198.0089748,0.0,0.0,26976.155755808788,13380.976082738194,224116045.11209232,86234152.89688267,0.0,0.0,0.0,0.0,40357.131838546986,310350198.00897485,613.3346421744595,5095541.988216068,26976.155755808788,13380.976082738194,224116045.11209232,86234152.89688267,613.3346421744595,275.416884060563,5095541.988216068,1774933.4236610858,40357.13183854698,310350198.00897485,1716.432132092543,13465176.170871506,26976.155755808788,13380.976082738194,224116045.11209232,86234152.89688267,1289.8865896180553,426.54554247448795,10716288.99703674,2748887.1738347644,0.01236089147771998,0.012928422190484139,0.017902950164739858,0.010634405334216232,0.017902950164739858,0.010634405334216238
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Northwest Territories,OSM,ACTIVE,3184180.3524773573,24132546862.27379,63310.61108384197,480813617.87568736,1938388.987673748,1245791.3648036083,16104002280.337168,8028544581.936592,39071.7759713672,24238.835112474728,324605625.2593715,156207992.61631647,3184180.3524773573,24132546862.27379,2094.69781048068,17402605.220679052,1938388.9876737478,1245791.364803608,16104002280.337168,8028544581.93659,2094.69781048068,0.0,17402605.220679052,0.0,3184180.3524773573,24132546862.27379,85119.9035077056,644657136.4310422,1938388.9876737478,1245791.364803608,16104002280.337168,8028544581.93659,51571.952604445956,33547.95090325959,428456232.27571607,216200904.15532687,3184180.3524773573,24132546862.27379,106761.84571575148,811574359.054219,1938388.9876737478,1245791.364803608,16104002280.337168,8028544581.93659,66300.42381063731,40461.421905114104,550819357.2205359,260755001.8336849,0.019882859661069455,0.01992386550079964,0.02015682931538786,0.01945657659643181,0.02015682931538776,0.019456576596431754
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,140740.74763344487,1060490648.6907398,3117.747499451825,25442442.099195056,82366.83453146547,58373.913101979546,684297991.5557176,376192657.13502115,2871.106858514242,1089.5654632086741,23852958.147524737,7021741.475699041,140740.7476334449,1060490648.6907399,75.22222313229999,531997.67018949,82366.83453146547,58373.91310197954,684297991.5557176,376192657.1350211,25.343767595249997,49.878455537049994,210554.27663982,321443.39354967,140740.7476334449,1060490648.6907399,4019.812149303778,29466722.518077046,82366.83453146547,58373.91310197954,684297991.5557176,376192657.1350211,1910.9757688998898,2108.8363804038854,15876255.145756323,13590467.372320725,140740.7476334449,1060490648.6907399,15047.802139658641,123675459.84517641,82366.83453146549,58373.91310197954,684297991.5557175,376192657.1350211,14328.339639243617,2108.8363804038854,119038859.42972548,13590467.372320727,0.022152415358570543,0.02399119891401756,0.03485755977932395,0.018665280521886502,0.03485755977932394,0.018665280521886513
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Nunavut,HABITAT,ACTIVE,128477.02431929087,671889442.0630006,0.0,0.0,85098.49517208173,43378.52914720911,462012109.91683596,209877332.14616495,0.0,0.0,0.0,0.0,128477.02431929087,671889442.0630006,0.0,0.0,85098.49517208175,43378.52914720911,462012109.91683596,209877332.14616498,0.0,0.0,0.0,0.0,128477.02431929087,671889442.0630006,0.0,0.0,85098.49517208175,43378.52914720911,462012109.91683596,209877332.14616498,0.0,0.0,0.0,0.0,128477.02431929087,671889442.0630006,0.0,0.0,85098.49517208175,43378.52914720911,462012109.91683596,209877332.14616498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,46414.36029415904,236997053.48427764,0.0,0.0,21039.41344714529,25374.94684701375,114226036.2944379,122771017.18984006,0.0,0.0,0.0,0.0,46414.36029415905,236997053.4842776,0.0,0.0,21039.413447145293,25374.94684701375,114226036.29443794,122771017.18984005,0.0,0.0,0.0,0.0,46414.36029415905,236997053.4842776,0.0,0.0,21039.413447145293,25374.94684701375,114226036.29443794,122771017.18984005,0.0,0.0,0.0,0.0,46414.36029415905,236997053.4842776,0.0,0.0,21039.413447145293,25374.94684701375,114226036.29443794,122771017.18984005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Nunavut,OSM,ACTIVE,1774168.1163058023,9176368771.13138,0.0,0.0,1002680.1955918118,771487.9207139973,5443696645.874146,3732672125.2572184,0.0,0.0,0.0,0.0,1774168.116305803,9176368771.13138,0.0,0.0,1002680.1955918118,771487.9207139972,5443696645.874147,3732672125.257219,0.0,0.0,0.0,0.0,1774168.116305803,9176368771.13138,0.0,0.0,1002680.1955918118,771487.9207139972,5443696645.874147,3732672125.257219,0.0,0.0,0.0,0.0,1774168.116305803,9176368771.13138,0.0,0.0,1002680.1955918118,771487.9207139972,5443696645.874147,3732672125.257219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Nunavut,OSM,NOT_ACTIVE,101498.36136772987,504540365.63724047,0.0,0.0,22785.4300805442,78712.93128718575,123705414.59737106,380834951.0398697,0.0,0.0,0.0,0.0,101498.36136772989,504540365.63724065,0.0,0.0,22785.430080544196,78712.93128718575,123705414.59737109,380834951.03986967,0.0,0.0,0.0,0.0,101498.36136772989,504540365.63724065,0.0,0.0,22785.430080544196,78712.93128718575,123705414.59737109,380834951.03986967,0.0,0.0,0.0,0.0,101498.36136772989,504540365.63724065,0.0,0.0,22785.430080544196,78712.93128718575,123705414.59737109,380834951.03986967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Quebec,HABITAT,ACTIVE,65259.04892780192,409091287.768167,0.0,0.0,45020.01399646937,20239.03493133254,323390887.85022247,85700399.91794418,0.0,0.0,0.0,0.0,65259.04892780194,409091287.768167,0.0,0.0,45020.01399646937,20239.034931332535,323390887.8502224,85700399.91794416,0.0,0.0,0.0,0.0,65259.04892780193,409091287.768167,0.0,0.0,45020.01399646937,20239.034931332535,323390887.8502224,85700399.91794416,0.0,0.0,0.0,0.0,65259.04892780193,409091287.768167,0.0,0.0,45020.01399646938,20239.034931332535,323390887.8502224,85700399.91794416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Quebec,HABITAT,NOT_ACTIVE,23647.540553608324,132091806.24535754,1.4298050852502995,10270.675082600355,10837.548435858002,12809.992117750306,77849029.79076733,54242776.4545902,1.4298050852502995,0.0,10270.675082600355,0.0,23647.54055360832,132091806.24535754,1.4298050852503,10270.675082600359,10837.548435858,12809.992117750306,77849029.79076734,54242776.45459021,1.4298050852503,0.0,10270.675082600359,0.0,23647.54055360832,132091806.24535754,1.4298050852503,10270.675082600359,10837.548435858,12809.992117750306,77849029.79076734,54242776.45459021,1.4298050852503,0.0,10270.675082600359,0.0,23647.54055360832,132091806.24535754,1.4298050852503,10270.675082600359,10837.548435858,12809.992117750306,77849029.79076734,54242776.45459021,1.4298050852503,0.0,10270.675082600359,0.0,6.046316241678371e-05,7.775406646739927e-05,0.0001319306754394314,0.0,0.00013193067543943146,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Quebec,OSM,ACTIVE,2913270.179563727,16576522304.867676,0.0,0.0,1438027.16272826,1475243.0168354625,10329736479.955322,6246785824.912344,0.0,0.0,0.0,0.0,2913270.179563727,16576522304.867676,0.0,0.0,1438027.16272826,1475243.016835463,10329736479.955322,6246785824.912343,0.0,0.0,0.0,0.0,2913270.179563727,16576522304.867676,0.0,0.0,1438027.16272826,1475243.016835463,10329736479.955322,6246785824.912343,0.0,0.0,0.0,0.0,2913270.179563727,16576522304.867676,0.0,0.0,1438027.16272826,1475243.016835463,10329736479.955322,6246785824.912343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Quebec,OSM,NOT_ACTIVE,292706.94084099215,1608978585.3717718,707.0869977218676,5079196.376939279,125315.28607540806,167391.65476558413,900173456.8165396,708805128.5552329,707.0869977218676,5.856436411812,5079196.376939279,24798.56101287203,292706.940840992,1608978585.3717718,452.82766270958996,3252783.0821705153,125315.28607540806,167391.65476558413,900173456.8165393,708805128.5552329,452.82766270958996,0.0,3252783.0821705153,0.0,292706.940840992,1608978585.3717718,764.5095232991301,5491677.84641393,125315.28607540806,167391.65476558413,900173456.8165393,708805128.5552329,764.5095232991301,0.0,5491677.84641393,0.0,292706.940840992,1608978585.3717718,917.3863020994702,6589832.929879723,125315.28607540806,167391.65476558413,900173456.8165393,708805128.5552329,917.3863020994702,0.0,6589832.929879723,0.0,0.002415682373948147,0.003156783081588172,0.005642464058984635,3.498642999863628e-05,0.005642464058984631,3.498642999863626e-05
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Yukon,HABITAT,ACTIVE,831970.6772799548,6194465908.235686,8055.711797799664,60115274.70753179,718327.9343698092,113642.7429101451,5722748882.2841425,471717025.9515271,6991.03733431962,1064.6744634800475,55695942.16892489,4419332.538606917,831970.6772799548,6194465908.235686,497.5148907358784,3963583.5509811626,718327.9343698093,113642.74291014514,5722748882.284143,471717025.95152694,497.5148907358784,0.0,3963583.5509811626,0.0,831970.6772799548,6194465908.235686,5262.3708440383225,40517145.58422601,718327.9343698093,113642.74291014514,5722748882.284143,471717025.95152694,4893.670390431721,368.7004536066,38986715.42222439,1530430.1620016387,831970.6772799548,6194465908.235686,17978.518961463185,133188351.78725427,718327.9343698093,113642.74291014514,5722748882.284143,471717025.95152694,15346.821508353982,2631.6974531092096,122264499.86327843,10923851.923975855,0.009682687164092142,0.009704674397772879,0.009732375701709099,0.009368609347293413,0.009732375701709064,0.009368609347293392
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Yukon,HABITAT,NOT_ACTIVE,164030.0930729836,1052468238.3712435,4783.298283533289,33687614.27138805,97382.21907333411,66647.87399964906,775821123.8787261,276647114.492516,3625.0373512322944,1158.2609323009933,28879815.82980283,4807798.441585228,164030.09307298358,1052468238.3712436,349.79990886800704,2786773.2016487317,97382.21907333411,66647.87399964906,775821123.8787262,276647114.4925159,349.79990886800704,0.0,2786773.2016487317,0.0,164030.09307298358,1052468238.3712436,3626.3314259780573,28890125.417458538,97382.21907333411,66647.87399964906,775821123.8787262,276647114.4925159,3626.3314259780573,0.0,28890125.417458538,0.0,164030.09307298358,1052468238.3712436,15274.971127947752,98245418.41305357,97382.21907333411,66647.87399964906,775821123.8787262,276647114.4925159,9130.48430980973,6144.486818138022,72740410.58213414,25505007.830919497,0.029161102050981623,0.03200820038381549,0.037224838227422646,0.01737881289817425,0.03722483822742268,0.01737881289817426
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Yukon,OSM,ACTIVE,2110553.6016609143,13042274198.72275,16795.274336210256,110418016.49612185,1122052.7152504476,988500.8864104666,8939128794.561934,4103145404.1608267,10666.695152721093,6128.579183489156,84979039.29693764,25438977.199184228,2110553.6016609143,13042274198.722754,4076.6934993939008,30658032.917815965,1122052.7152504474,988500.8864104666,8939128794.561934,4103145404.160827,3599.734729219649,476.95877017425005,28678235.820292633,1979797.0975233242,2110553.6016609143,13042274198.722754,11620.666943516697,72931701.37335621,1122052.7152504476,988500.8864104667,8939128794.561934,4103145404.160827,6471.823047283946,5148.843896232753,51559484.65609532,21372216.717260845,2110553.6016609143,13042274198.722755,33061.07956978086,215045445.23789278,1122052.7152504476,988500.8864104667,8939128794.561934,4103145404.160827,20391.84594717789,12669.233622602967,162457017.21777132,52588428.020121604,0.00795775777643984,0.008466162788306909,0.009506411782391378,0.0061998722183687705,0.009506411782391384,0.006199872218368775
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Yukon,OSM,NOT_ACTIVE,331551.2492908439,2219971943.163673,6130.85059496935,38511847.608633235,221113.35710673497,110437.89218410829,1761557857.7641907,458414085.39948463,3423.4353828948924,2707.415212074457,27273700.595009267,11238147.01362396,331551.24929084396,2219971943.163673,2093.9079718809603,14668504.309322707,221113.35710673494,110437.8921841083,1761557857.7641907,458414085.3994848,1566.33320252574,527.57476935522,12478606.434681652,2189897.874641056,331551.2492908439,2219971943.163673,6677.90440915693,37271573.99991771,221113.35710673494,110437.8921841083,1761557857.7641907,458414085.3994848,2503.3277548137908,4174.57665434314,19943420.581881694,17328153.418036,331551.2492908439,2219971943.163673,11189.379288471677,70245667.58595285,221113.35710673494,110437.8921841083,1761557857.7641907,458414085.3994848,6237.064550078039,4952.31473839363,49689219.1920765,20556448.393876325,0.018491411533157084,0.01734789834944948,0.015482716321123672,0.024515274228169726,0.015482716321123661,0.02451527422816968
