mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_ppp2024_mean,dam_area_m2_mean,dam_cost_ppp2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_ppp2024_mean,total_cost_nonres_ppp2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_ppp2024_mean,dam_cost_nonres_ppp2024_mean,total_area_m2_p05,total_cost_ppp2024_p05,dam_area_m2_p05,dam_cost_ppp2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_ppp2024_p05,total_cost_nonres_ppp2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_ppp2024_p05,dam_cost_nonres_ppp2024_p05,total_area_m2_p50,total_cost_ppp2024_p50,dam_area_m2_p50,dam_cost_ppp2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_ppp2024_p50,total_cost_nonres_ppp2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_ppp2024_p50,dam_cost_nonres_ppp2024_p50,total_area_m2_p95,total_cost_ppp2024_p95,dam_area_m2_p95,dam_cost_ppp2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_ppp2024_p95,total_cost_nonres_ppp2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_ppp2024_p95,dam_cost_nonres_ppp2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,440083.5096310755,2945752977.0298853,0.0,0.0,213197.87834712563,226885.63128395117,2055372293.2349472,890380683.7949221,0.0,0.0,0.0,0.0,440083.5096310755,2945752977.029886,0.0,0.0,213197.87834712563,226885.63128395114,2055372293.234947,890380683.794922,0.0,0.0,0.0,0.0,440083.5096310755,2945752977.029886,0.0,0.0,213197.87834712563,226885.63128395114,2055372293.234947,890380683.794922,0.0,0.0,0.0,0.0,440083.5096310755,2945752977.029886,0.0,0.0,213197.87834712563,226885.63128395117,2055372293.234947,890380683.794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,16968.84176505164,101732588.23679942,0.0,0.0,6147.444698589244,10821.397066462403,59265540.56556727,42467047.67123211,0.0,0.0,0.0,0.0,16968.841765051635,101732588.23679942,0.0,0.0,6147.444698589245,10821.397066462401,59265540.565567285,42467047.67123212,0.0,0.0,0.0,0.0,16968.841765051635,101732588.23679942,0.0,0.0,6147.444698589245,10821.397066462401,59265540.565567285,42467047.67123212,0.0,0.0,0.0,0.0,16968.841765051635,101732588.23679942,0.0,0.0,6147.444698589245,10821.397066462401,59265540.565567285,42467047.67123212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.496346542,14545617007.907543,0.0,0.0,1045117.5497328385,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,2184150.496346542,14545617007.907541,0.0,0.0,1045117.5497328388,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,2184150.496346542,14545617007.907541,0.0,0.0,1045117.5497328388,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,2184150.496346542,14545617007.907541,0.0,0.0,1045117.5497328388,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436462,2441456050.2941375,2.605188192607875,25115.78291145441,230812.89610449504,55107.859139150925,2225193023.741421,216263026.5527182,2.605188192607875,0.0,25115.78291145441,0.0,285920.7552436462,2441456050.2941375,0.0,0.0,230812.896104495,55107.85913915091,2225193023.7414217,216263026.55271822,0.0,0.0,0.0,0.0,285920.7552436462,2441456050.2941375,0.0,0.0,230812.896104495,55107.85913915091,2225193023.7414217,216263026.55271822,0.0,0.0,0.0,0.0,285920.7552436462,2441456050.2941375,37.216974180112494,358796.89873506303,230812.896104495,55107.85913915091,2225193023.7414217,216263026.55271822,37.216974180112494,0.0,358796.89873506303,0.0,9.111574255558588e-06,1.0287214839861055e-05,1.128701314604379e-05,0.0,1.1287013146043816e-05,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,229595.18181267407,1784911127.3289604,1755.7500230918383,14325963.924204065,163828.29681067058,65766.88500200343,1361074212.7610738,423836914.5678882,1615.8515677540322,139.8984553378067,13424383.597549045,901580.3266550221,229595.18181267404,1784911127.328961,0.0,0.0,163828.2968106706,65766.88500200344,1361074212.7610736,423836914.56788814,0.0,0.0,0.0,0.0,229595.18181267404,1784911127.328961,1937.564041281782,15696564.519513726,163828.2968106706,65766.88500200344,1361074212.7610736,423836914.56788814,1722.588870323729,214.97517095805347,14311149.76002207,1385414.759491652,229595.18181267404,1784911127.328961,3445.8576798012778,28038712.696893934,163828.2968106706,65766.88500200344,1361074212.7610736,423836914.56788814,3129.641864557831,316.21581524344646,26000849.18144434,2037863.5154495928,0.007647155350691761,0.008026149708440794,0.00986307981716616,0.0021271868864329675,0.009863079817166144,0.0021271868864329684
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,40357.13183854699,310350198.0089749,281.8730641748402,2228209.208542411,26976.15575580878,13380.976082738198,224116045.11209226,86234152.89688267,220.92374163390545,60.94932254093479,1835419.2381801854,392789.970362226,40357.131838546986,310350198.0089748,0.0,0.0,26976.155755808788,13380.976082738194,224116045.11209232,86234152.89688267,0.0,0.0,0.0,0.0,40357.131838546986,310350198.00897485,223.82851097516587,1731249.0892278869,26976.155755808788,13380.976082738194,224116045.11209232,86234152.89688267,154.97428996002515,68.85422101514075,1287515.7333126154,443733.35591527144,40357.13183854698,310350198.00897485,652.9365439983017,5097543.131945763,26976.155755808788,13380.976082738194,224116045.11209232,86234152.89688267,477.44593736453896,175.49060663376275,3966587.9825718007,1130955.1493739625,0.006984467213936397,0.007179660985677781,0.008189593196070344,0.00455492350962057,0.008189593196070346,0.004554923509620574
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Northwest Territories,OSM,ACTIVE,3184180.3524773573,24132546862.27379,25426.028524529116,193285955.23287296,1938388.987673748,1245791.3648036083,16104002280.337168,8028544581.936592,15792.152215186039,9633.876309343064,131200113.5489275,62085841.683945596,3184180.3524773573,24132546862.27379,523.67445262017,4350651.305169763,1938388.9876737478,1245791.364803608,16104002280.337168,8028544581.93659,523.67445262017,0.0,4350651.305169763,0.0,3184180.3524773573,24132546862.27379,32071.0470231325,240520013.20296687,1938388.9876737478,1245791.364803608,16104002280.337168,8028544581.93659,18158.80339540458,13912.243627727912,150862088.64544323,89657924.55752376,3184180.3524773573,24132546862.27379,45342.45801591617,345373476.5094752,1938388.9876737478,1245791.364803608,16104002280.337168,8028544581.93659,28529.8637494365,16812.59426647965,237024144.17346126,108349332.33601438,0.007985109419052581,0.008009347556060703,0.008147050109966901,0.0077331378122546136,0.008147050109966861,0.007733137812254592
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,140740.74763344487,1060490648.6907398,1532.5879560629496,11962560.229035182,82366.83453146547,58373.913101979546,684297991.5557176,376192657.13502115,1119.323970383214,413.2639856797356,9299266.497133613,2663293.731901571,140740.7476334449,1060490648.6907399,18.805555783074997,132999.4175473725,82366.83453146547,58373.91310197954,684297991.5557176,376192657.1350211,6.335941898812499,12.469613884262499,52638.569159955,80360.8483874175,140740.7476334449,1060490648.6907399,1326.724904949017,9965396.430498574,82366.83453146547,58373.91310197954,684297991.5557176,376192657.1350211,759.5121433237748,567.2127616252413,6309974.605617403,3655421.8248811713,140740.7476334449,1060490648.6907399,5642.375387328155,44948780.30727559,82366.83453146549,58373.91310197954,684297991.5557175,376192657.1350211,4607.874602343114,1034.5007849850404,38281905.01262295,6666875.294652644,0.010889440207142638,0.011280212837146576,0.013589498452263744,0.007079600522201778,0.013589498452263744,0.00707960052220178
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Nunavut,HABITAT,ACTIVE,128477.02431929087,671889442.0630006,0.0,0.0,85098.49517208173,43378.52914720911,462012109.91683596,209877332.14616495,0.0,0.0,0.0,0.0,128477.02431929087,671889442.0630006,0.0,0.0,85098.49517208175,43378.52914720911,462012109.91683596,209877332.14616498,0.0,0.0,0.0,0.0,128477.02431929087,671889442.0630006,0.0,0.0,85098.49517208175,43378.52914720911,462012109.91683596,209877332.14616498,0.0,0.0,0.0,0.0,128477.02431929087,671889442.0630006,0.0,0.0,85098.49517208175,43378.52914720911,462012109.91683596,209877332.14616498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,46414.36029415904,236997053.48427764,0.0,0.0,21039.41344714529,25374.94684701375,114226036.2944379,122771017.18984006,0.0,0.0,0.0,0.0,46414.36029415905,236997053.4842776,0.0,0.0,21039.413447145293,25374.94684701375,114226036.29443794,122771017.18984005,0.0,0.0,0.0,0.0,46414.36029415905,236997053.4842776,0.0,0.0,21039.413447145293,25374.94684701375,114226036.29443794,122771017.18984005,0.0,0.0,0.0,0.0,46414.36029415905,236997053.4842776,0.0,0.0,21039.413447145293,25374.94684701375,114226036.29443794,122771017.18984005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Nunavut,OSM,ACTIVE,1774168.1163058023,9176368771.13138,0.0,0.0,1002680.1955918118,771487.9207139973,5443696645.874146,3732672125.2572184,0.0,0.0,0.0,0.0,1774168.116305803,9176368771.13138,0.0,0.0,1002680.1955918118,771487.9207139972,5443696645.874147,3732672125.257219,0.0,0.0,0.0,0.0,1774168.116305803,9176368771.13138,0.0,0.0,1002680.1955918118,771487.9207139972,5443696645.874147,3732672125.257219,0.0,0.0,0.0,0.0,1774168.116305803,9176368771.13138,0.0,0.0,1002680.1955918118,771487.9207139972,5443696645.874147,3732672125.257219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Nunavut,OSM,NOT_ACTIVE,101498.36136772987,504540365.63724047,0.0,0.0,22785.4300805442,78712.93128718575,123705414.59737106,380834951.0398697,0.0,0.0,0.0,0.0,101498.36136772989,504540365.63724065,0.0,0.0,22785.430080544196,78712.93128718575,123705414.59737109,380834951.03986967,0.0,0.0,0.0,0.0,101498.36136772989,504540365.63724065,0.0,0.0,22785.430080544196,78712.93128718575,123705414.59737109,380834951.03986967,0.0,0.0,0.0,0.0,101498.36136772989,504540365.63724065,0.0,0.0,22785.430080544196,78712.93128718575,123705414.59737109,380834951.03986967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Quebec,HABITAT,ACTIVE,65259.04892780192,409091287.768167,0.0,0.0,45020.01399646937,20239.03493133254,323390887.85022247,85700399.91794418,0.0,0.0,0.0,0.0,65259.04892780194,409091287.768167,0.0,0.0,45020.01399646937,20239.034931332535,323390887.8502224,85700399.91794416,0.0,0.0,0.0,0.0,65259.04892780193,409091287.768167,0.0,0.0,45020.01399646937,20239.034931332535,323390887.8502224,85700399.91794416,0.0,0.0,0.0,0.0,65259.04892780193,409091287.768167,0.0,0.0,45020.01399646938,20239.034931332535,323390887.8502224,85700399.91794416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Quebec,HABITAT,NOT_ACTIVE,23647.540553608324,132091806.24535754,0.35745127131257487,2567.668770650089,10837.548435858002,12809.992117750306,77849029.79076733,54242776.4545902,0.35745127131257487,0.0,2567.668770650089,0.0,23647.54055360832,132091806.24535754,0.357451271312575,2567.6687706500898,10837.548435858,12809.992117750306,77849029.79076734,54242776.45459021,0.357451271312575,0.0,2567.6687706500898,0.0,23647.54055360832,132091806.24535754,0.357451271312575,2567.6687706500898,10837.548435858,12809.992117750306,77849029.79076734,54242776.45459021,0.357451271312575,0.0,2567.6687706500898,0.0,23647.54055360832,132091806.24535754,0.357451271312575,2567.6687706500898,10837.548435858,12809.992117750306,77849029.79076734,54242776.45459021,0.357451271312575,0.0,2567.6687706500898,0.0,1.5115790604195928e-05,1.9438516616849817e-05,3.298266885985785e-05,0.0,3.2982668859857864e-05,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Quebec,OSM,ACTIVE,2913270.179563727,16576522304.867676,0.0,0.0,1438027.16272826,1475243.0168354625,10329736479.955322,6246785824.912344,0.0,0.0,0.0,0.0,2913270.179563727,16576522304.867676,0.0,0.0,1438027.16272826,1475243.016835463,10329736479.955322,6246785824.912343,0.0,0.0,0.0,0.0,2913270.179563727,16576522304.867676,0.0,0.0,1438027.16272826,1475243.016835463,10329736479.955322,6246785824.912343,0.0,0.0,0.0,0.0,2913270.179563727,16576522304.867676,0.0,0.0,1438027.16272826,1475243.016835463,10329736479.955322,6246785824.912343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Quebec,OSM,NOT_ACTIVE,292706.94084099215,1608978585.3717718,178.2358585334199,1275998.7344880379,125315.28607540806,167391.65476558413,900173456.8165396,708805128.5552329,176.7717494304669,1.464109102953,1269799.0942348198,6199.640253218007,292706.940840992,1608978585.3717718,113.20691567739749,813195.7705426288,125315.28607540806,167391.65476558413,900173456.8165393,708805128.5552329,113.20691567739749,0.0,813195.7705426288,0.0,292706.940840992,1608978585.3717718,191.12738082478253,1372919.4616034825,125315.28607540806,167391.65476558413,900173456.8165393,708805128.5552329,191.12738082478253,0.0,1372919.4616034825,0.0,292706.940840992,1608978585.3717718,229.34657552486755,1647458.2324699308,125315.28607540806,167391.65476558413,900173456.8165393,708805128.5552329,229.34657552486755,0.0,1647458.2324699308,0.0,0.0006089225558550843,0.0007930489231422584,0.0014106160147461587,8.74660749965907e-06,0.0014106160147461578,8.746607499659065e-06
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Yukon,HABITAT,ACTIVE,831970.6772799548,6194465908.235686,2013.927949449916,15028818.676882947,718327.9343698092,113642.7429101451,5722748882.2841425,471717025.9515271,1747.759333579905,266.1686158700119,13923985.542231223,1104833.1346517291,831970.6772799548,6194465908.235686,124.3787226839696,990895.8877452906,718327.9343698093,113642.74291014514,5722748882.284143,471717025.95152694,124.3787226839696,0.0,990895.8877452906,0.0,831970.6772799548,6194465908.235686,1315.5927110095806,10129286.396056503,718327.9343698093,113642.74291014514,5722748882.284143,471717025.95152694,1223.4175976079302,92.17511340165,9746678.855556097,382607.54050040967,831970.6772799548,6194465908.235686,4494.629740365796,33297087.94681357,718327.9343698093,113642.74291014514,5722748882.284143,471717025.95152694,3836.7053770884954,657.9243632773024,30566124.96581961,2730962.980993964,0.0024206717910230354,0.0024261685994432197,0.0024330939254272746,0.002342152336823353,0.002433093925427266,0.002342152336823348
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Yukon,HABITAT,NOT_ACTIVE,164030.0930729836,1052468238.3712435,1195.8245708833222,8421903.567847012,97382.21907333411,66647.87399964906,775821123.8787261,276647114.492516,906.2593378080736,289.56523307524833,7219953.957450707,1201949.610396307,164030.09307298358,1052468238.3712436,87.44997721700176,696693.3004121829,97382.21907333411,66647.87399964906,775821123.8787262,276647114.4925159,87.44997721700176,0.0,696693.3004121829,0.0,164030.09307298358,1052468238.3712436,906.5828564945143,7222531.3543646345,97382.21907333411,66647.87399964906,775821123.8787262,276647114.4925159,906.5828564945143,0.0,7222531.3543646345,0.0,164030.09307298358,1052468238.3712436,3818.742781986938,24561354.603263393,97382.21907333411,66647.87399964906,775821123.8787262,276647114.4925159,2282.6210774524325,1536.1217045345054,18185102.645533536,6376251.957729874,0.007290275512745406,0.008002050095953872,0.009306209556855662,0.004344703224543563,0.00930620955685567,0.004344703224543565
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Yukon,OSM,ACTIVE,2110553.6016609143,13042274198.72275,4198.818584052564,27604504.124030463,1122052.7152504476,988500.8864104666,8939128794.561934,4103145404.1608267,2666.6737881802733,1532.144795872289,21244759.82423441,6359744.299796057,2110553.6016609143,13042274198.722754,1019.1733748484752,7664508.229453991,1122052.7152504474,988500.8864104666,8939128794.561934,4103145404.160827,899.9336823049123,119.23969254356251,7169558.955073158,494949.27438083105,2110553.6016609143,13042274198.722754,2905.166735879174,18232925.343339052,1122052.7152504476,988500.8864104667,8939128794.561934,4103145404.160827,1617.9557618209865,1287.2109740581882,12889871.16402383,5343054.179315211,2110553.6016609143,13042274198.722755,8265.269892445214,53761361.309473194,1122052.7152504476,988500.8864104667,8939128794.561934,4103145404.160827,5097.961486794473,3167.308405650742,40614254.30444283,13147107.005030401,0.00198943944410996,0.002116540697076727,0.0023766029455978446,0.0015499680545921926,0.002376602945597846,0.0015499680545921937
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Yukon,OSM,NOT_ACTIVE,331551.2492908439,2219971943.163673,1532.7126487423375,9627961.902158309,221113.35710673497,110437.89218410829,1761557857.7641907,458414085.39948463,855.8588457237231,676.8538030186143,6818425.148752317,2809536.75340599,331551.24929084396,2219971943.163673,523.4769929702401,3667126.077330677,221113.35710673494,110437.8921841083,1761557857.7641907,458414085.3994848,391.583300631435,131.893692338805,3119651.608670413,547474.468660264,331551.2492908439,2219971943.163673,1669.4761022892326,9317893.499979427,221113.35710673494,110437.8921841083,1761557857.7641907,458414085.3994848,625.8319387034477,1043.644163585785,4985855.145470424,4332038.354509,331551.2492908439,2219971943.163673,2797.344822117919,17561416.896488212,221113.35710673494,110437.8921841083,1761557857.7641907,458414085.3994848,1559.2661375195098,1238.0786845984076,12422304.798019124,5139112.098469081,0.004622852883289271,0.00433697458736237,0.003870679080280918,0.0061288185570424316,0.0038706790802809153,0.00612881855704242
