mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_ppp2024_mean,dam_area_m2_mean,dam_cost_ppp2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_ppp2024_mean,total_cost_nonres_ppp2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_ppp2024_mean,dam_cost_nonres_ppp2024_mean,total_area_m2_p05,total_cost_ppp2024_p05,dam_area_m2_p05,dam_cost_ppp2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_ppp2024_p05,total_cost_nonres_ppp2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_ppp2024_p05,dam_cost_nonres_ppp2024_p05,total_area_m2_p50,total_cost_ppp2024_p50,dam_area_m2_p50,dam_cost_ppp2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_ppp2024_p50,total_cost_nonres_ppp2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_ppp2024_p50,dam_cost_nonres_ppp2024_p50,total_area_m2_p95,total_cost_ppp2024_p95,dam_area_m2_p95,dam_cost_ppp2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_ppp2024_p95,total_cost_nonres_ppp2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_ppp2024_p95,dam_cost_nonres_ppp2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,440083.5096310755,2945752977.0298853,0.0,0.0,213197.87834712563,226885.63128395117,2055372293.2349472,890380683.7949221,0.0,0.0,0.0,0.0,440083.5096310755,2945752977.029886,0.0,0.0,213197.87834712563,226885.63128395114,2055372293.234947,890380683.794922,0.0,0.0,0.0,0.0,440083.5096310755,2945752977.029886,0.0,0.0,213197.87834712563,226885.63128395114,2055372293.234947,890380683.794922,0.0,0.0,0.0,0.0,440083.5096310755,2945752977.029886,0.0,0.0,213197.87834712563,226885.63128395117,2055372293.234947,890380683.794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,16968.84176505164,101732588.23679942,0.0,0.0,6147.444698589244,10821.397066462403,59265540.56556727,42467047.67123211,0.0,0.0,0.0,0.0,16968.841765051635,101732588.23679942,0.0,0.0,6147.444698589245,10821.397066462401,59265540.565567285,42467047.67123212,0.0,0.0,0.0,0.0,16968.841765051635,101732588.23679942,0.0,0.0,6147.444698589245,10821.397066462401,59265540.565567285,42467047.67123212,0.0,0.0,0.0,0.0,16968.841765051635,101732588.23679942,0.0,0.0,6147.444698589245,10821.397066462401,59265540.565567285,42467047.67123212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.496346542,14545617007.907543,0.0,0.0,1045117.5497328385,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,2184150.496346542,14545617007.907541,0.0,0.0,1045117.5497328388,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,2184150.496346542,14545617007.907541,0.0,0.0,1045117.5497328388,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,2184150.496346542,14545617007.907541,0.0,0.0,1045117.5497328388,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436462,2441456050.2941375,0.0,0.0,230812.89610449504,55107.859139150925,2225193023.741421,216263026.5527182,0.0,0.0,0.0,0.0,285920.7552436462,2441456050.2941375,0.0,0.0,230812.896104495,55107.85913915091,2225193023.7414217,216263026.55271822,0.0,0.0,0.0,0.0,285920.7552436462,2441456050.2941375,0.0,0.0,230812.896104495,55107.85913915091,2225193023.7414217,216263026.55271822,0.0,0.0,0.0,0.0,285920.7552436462,2441456050.2941375,0.0,0.0,230812.896104495,55107.85913915091,2225193023.7414217,216263026.55271822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,229595.18181267407,1784911127.3289604,0.0,0.0,163828.29681067058,65766.88500200343,1361074212.7610738,423836914.5678882,0.0,0.0,0.0,0.0,229595.18181267404,1784911127.328961,0.0,0.0,163828.2968106706,65766.88500200344,1361074212.7610736,423836914.56788814,0.0,0.0,0.0,0.0,229595.18181267404,1784911127.328961,0.0,0.0,163828.2968106706,65766.88500200344,1361074212.7610736,423836914.56788814,0.0,0.0,0.0,0.0,229595.18181267404,1784911127.328961,0.0,0.0,163828.2968106706,65766.88500200344,1361074212.7610736,423836914.56788814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,40357.13183854699,310350198.0089749,0.0,0.0,26976.15575580878,13380.976082738198,224116045.11209226,86234152.89688267,0.0,0.0,0.0,0.0,40357.131838546986,310350198.0089748,0.0,0.0,26976.155755808788,13380.976082738194,224116045.11209232,86234152.89688267,0.0,0.0,0.0,0.0,40357.131838546986,310350198.00897485,0.0,0.0,26976.155755808788,13380.976082738194,224116045.11209232,86234152.89688267,0.0,0.0,0.0,0.0,40357.13183854698,310350198.00897485,0.0,0.0,26976.155755808788,13380.976082738194,224116045.11209232,86234152.89688267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Northwest Territories,OSM,ACTIVE,3184180.3524773573,24132546862.27379,0.0,0.0,1938388.987673748,1245791.3648036083,16104002280.337168,8028544581.936592,0.0,0.0,0.0,0.0,3184180.3524773573,24132546862.27379,0.0,0.0,1938388.9876737478,1245791.364803608,16104002280.337168,8028544581.93659,0.0,0.0,0.0,0.0,3184180.3524773573,24132546862.27379,0.0,0.0,1938388.9876737478,1245791.364803608,16104002280.337168,8028544581.93659,0.0,0.0,0.0,0.0,3184180.3524773573,24132546862.27379,0.0,0.0,1938388.9876737478,1245791.364803608,16104002280.337168,8028544581.93659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,140740.74763344487,1060490648.6907398,0.0,0.0,82366.83453146547,58373.913101979546,684297991.5557176,376192657.13502115,0.0,0.0,0.0,0.0,140740.7476334449,1060490648.6907399,0.0,0.0,82366.83453146547,58373.91310197954,684297991.5557176,376192657.1350211,0.0,0.0,0.0,0.0,140740.7476334449,1060490648.6907399,0.0,0.0,82366.83453146547,58373.91310197954,684297991.5557176,376192657.1350211,0.0,0.0,0.0,0.0,140740.7476334449,1060490648.6907399,0.0,0.0,82366.83453146549,58373.91310197954,684297991.5557175,376192657.1350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Nunavut,HABITAT,ACTIVE,128477.02431929087,671889442.0630006,0.0,0.0,85098.49517208173,43378.52914720911,462012109.91683596,209877332.14616495,0.0,0.0,0.0,0.0,128477.02431929087,671889442.0630006,0.0,0.0,85098.49517208175,43378.52914720911,462012109.91683596,209877332.14616498,0.0,0.0,0.0,0.0,128477.02431929087,671889442.0630006,0.0,0.0,85098.49517208175,43378.52914720911,462012109.91683596,209877332.14616498,0.0,0.0,0.0,0.0,128477.02431929087,671889442.0630006,0.0,0.0,85098.49517208175,43378.52914720911,462012109.91683596,209877332.14616498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,46414.36029415904,236997053.48427764,0.0,0.0,21039.41344714529,25374.94684701375,114226036.2944379,122771017.18984006,0.0,0.0,0.0,0.0,46414.36029415905,236997053.4842776,0.0,0.0,21039.413447145293,25374.94684701375,114226036.29443794,122771017.18984005,0.0,0.0,0.0,0.0,46414.36029415905,236997053.4842776,0.0,0.0,21039.413447145293,25374.94684701375,114226036.29443794,122771017.18984005,0.0,0.0,0.0,0.0,46414.36029415905,236997053.4842776,0.0,0.0,21039.413447145293,25374.94684701375,114226036.29443794,122771017.18984005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Nunavut,OSM,ACTIVE,1774168.1163058023,9176368771.13138,0.0,0.0,1002680.1955918118,771487.9207139973,5443696645.874146,3732672125.2572184,0.0,0.0,0.0,0.0,1774168.116305803,9176368771.13138,0.0,0.0,1002680.1955918118,771487.9207139972,5443696645.874147,3732672125.257219,0.0,0.0,0.0,0.0,1774168.116305803,9176368771.13138,0.0,0.0,1002680.1955918118,771487.9207139972,5443696645.874147,3732672125.257219,0.0,0.0,0.0,0.0,1774168.116305803,9176368771.13138,0.0,0.0,1002680.1955918118,771487.9207139972,5443696645.874147,3732672125.257219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Nunavut,OSM,NOT_ACTIVE,101498.36136772987,504540365.63724047,0.0,0.0,22785.4300805442,78712.93128718575,123705414.59737106,380834951.0398697,0.0,0.0,0.0,0.0,101498.36136772989,504540365.63724065,0.0,0.0,22785.430080544196,78712.93128718575,123705414.59737109,380834951.03986967,0.0,0.0,0.0,0.0,101498.36136772989,504540365.63724065,0.0,0.0,22785.430080544196,78712.93128718575,123705414.59737109,380834951.03986967,0.0,0.0,0.0,0.0,101498.36136772989,504540365.63724065,0.0,0.0,22785.430080544196,78712.93128718575,123705414.59737109,380834951.03986967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Quebec,HABITAT,ACTIVE,65259.04892780192,409091287.768167,0.0,0.0,45020.01399646937,20239.03493133254,323390887.85022247,85700399.91794418,0.0,0.0,0.0,0.0,65259.04892780194,409091287.768167,0.0,0.0,45020.01399646937,20239.034931332535,323390887.8502224,85700399.91794416,0.0,0.0,0.0,0.0,65259.04892780193,409091287.768167,0.0,0.0,45020.01399646937,20239.034931332535,323390887.8502224,85700399.91794416,0.0,0.0,0.0,0.0,65259.04892780193,409091287.768167,0.0,0.0,45020.01399646938,20239.034931332535,323390887.8502224,85700399.91794416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Quebec,HABITAT,NOT_ACTIVE,23647.540553608324,132091806.24535754,0.0,0.0,10837.548435858002,12809.992117750306,77849029.79076733,54242776.4545902,0.0,0.0,0.0,0.0,23647.54055360832,132091806.24535754,0.0,0.0,10837.548435858,12809.992117750306,77849029.79076734,54242776.45459021,0.0,0.0,0.0,0.0,23647.54055360832,132091806.24535754,0.0,0.0,10837.548435858,12809.992117750306,77849029.79076734,54242776.45459021,0.0,0.0,0.0,0.0,23647.54055360832,132091806.24535754,0.0,0.0,10837.548435858,12809.992117750306,77849029.79076734,54242776.45459021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Quebec,OSM,ACTIVE,2913270.179563727,16576522304.867676,0.0,0.0,1438027.16272826,1475243.0168354625,10329736479.955322,6246785824.912344,0.0,0.0,0.0,0.0,2913270.179563727,16576522304.867676,0.0,0.0,1438027.16272826,1475243.016835463,10329736479.955322,6246785824.912343,0.0,0.0,0.0,0.0,2913270.179563727,16576522304.867676,0.0,0.0,1438027.16272826,1475243.016835463,10329736479.955322,6246785824.912343,0.0,0.0,0.0,0.0,2913270.179563727,16576522304.867676,0.0,0.0,1438027.16272826,1475243.016835463,10329736479.955322,6246785824.912343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Quebec,OSM,NOT_ACTIVE,292706.94084099215,1608978585.3717718,0.0,0.0,125315.28607540806,167391.65476558413,900173456.8165396,708805128.5552329,0.0,0.0,0.0,0.0,292706.940840992,1608978585.3717718,0.0,0.0,125315.28607540806,167391.65476558413,900173456.8165393,708805128.5552329,0.0,0.0,0.0,0.0,292706.940840992,1608978585.3717718,0.0,0.0,125315.28607540806,167391.65476558413,900173456.8165393,708805128.5552329,0.0,0.0,0.0,0.0,292706.940840992,1608978585.3717718,0.0,0.0,125315.28607540806,167391.65476558413,900173456.8165393,708805128.5552329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Yukon,HABITAT,ACTIVE,831970.6772799548,6194465908.235686,0.0,0.0,718327.9343698092,113642.7429101451,5722748882.2841425,471717025.9515271,0.0,0.0,0.0,0.0,831970.6772799548,6194465908.235686,0.0,0.0,718327.9343698093,113642.74291014514,5722748882.284143,471717025.95152694,0.0,0.0,0.0,0.0,831970.6772799548,6194465908.235686,0.0,0.0,718327.9343698093,113642.74291014514,5722748882.284143,471717025.95152694,0.0,0.0,0.0,0.0,831970.6772799548,6194465908.235686,0.0,0.0,718327.9343698093,113642.74291014514,5722748882.284143,471717025.95152694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Yukon,HABITAT,NOT_ACTIVE,164030.0930729836,1052468238.3712435,0.0,0.0,97382.21907333411,66647.87399964906,775821123.8787261,276647114.492516,0.0,0.0,0.0,0.0,164030.09307298358,1052468238.3712436,0.0,0.0,97382.21907333411,66647.87399964906,775821123.8787262,276647114.4925159,0.0,0.0,0.0,0.0,164030.09307298358,1052468238.3712436,0.0,0.0,97382.21907333411,66647.87399964906,775821123.8787262,276647114.4925159,0.0,0.0,0.0,0.0,164030.09307298358,1052468238.3712436,0.0,0.0,97382.21907333411,66647.87399964906,775821123.8787262,276647114.4925159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Yukon,OSM,ACTIVE,2110553.6016609143,13042274198.72275,0.0,0.0,1122052.7152504476,988500.8864104666,8939128794.561934,4103145404.1608267,0.0,0.0,0.0,0.0,2110553.6016609143,13042274198.722754,0.0,0.0,1122052.7152504474,988500.8864104666,8939128794.561934,4103145404.160827,0.0,0.0,0.0,0.0,2110553.6016609143,13042274198.722754,0.0,0.0,1122052.7152504476,988500.8864104667,8939128794.561934,4103145404.160827,0.0,0.0,0.0,0.0,2110553.6016609143,13042274198.722755,0.0,0.0,1122052.7152504476,988500.8864104667,8939128794.561934,4103145404.160827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,CAN,Yukon,OSM,NOT_ACTIVE,331551.2492908439,2219971943.163673,0.0,0.0,221113.35710673497,110437.89218410829,1761557857.7641907,458414085.39948463,0.0,0.0,0.0,0.0,331551.24929084396,2219971943.163673,0.0,0.0,221113.35710673494,110437.8921841083,1761557857.7641907,458414085.3994848,0.0,0.0,0.0,0.0,331551.2492908439,2219971943.163673,0.0,0.0,221113.35710673494,110437.8921841083,1761557857.7641907,458414085.3994848,0.0,0.0,0.0,0.0,331551.2492908439,2219971943.163673,0.0,0.0,221113.35710673494,110437.8921841083,1761557857.7641907,458414085.3994848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,RUS,Arkhangelsk,HABITAT,ACTIVE,12704.813092526794,15769009.438452791,0.0,0.0,3178.784096667799,9526.028995858998,3141762.64753655,12627246.790916247,0.0,0.0,0.0,0.0,12704.813092526796,15769009.438452793,0.0,0.0,3178.7840966677995,9526.028995858998,3141762.64753655,12627246.790916247,0.0,0.0,0.0,0.0,12704.813092526796,15769009.438452793,0.0,0.0,3178.7840966677995,9526.028995858998,3141762.64753655,12627246.790916247,0.0,0.0,0.0,0.0,12704.813092526796,15769009.438452793,0.0,0.0,3178.7840966677995,9526.028995858998,3141762.64753655,12627246.790916247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,RUS,Arkhangelsk,HABITAT,NOT_ACTIVE,778.5550262641001,853290.5265712476,0.0,0.0,530.0281259231998,248.52690034090008,523855.19668193243,329435.3298893152,0.0,0.0,0.0,0.0,778.5550262641001,853290.5265712476,0.0,0.0,530.0281259231999,248.5269003409,523855.1966819323,329435.3298893152,0.0,0.0,0.0,0.0,778.5550262641001,853290.5265712476,0.0,0.0,530.0281259231999,248.5269003409,523855.1966819323,329435.3298893152,0.0,0.0,0.0,0.0,778.5550262641001,853290.5265712476,0.0,0.0,530.0281259231999,248.5269003409,523855.1966819323,329435.3298893152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_ADD_OCCUPANCY_COSTS,SSP245,RUS,Arkhangelsk,OSM,ACTIVE,174671.99981542557,212884549.74268904,0.0,0.0,55315.4107179857,119356.58909743979,54671184.30883233,158213365.4338567,0.0,0.0,0.0,0.0,174671.9998154256,212884549.74268904,0.0,0.0,55315.410717985695,119356.58909743982,54671184.30883233,158213365.4338567,0.0,0.0,0.0,0.0,174671.9998154256,212884549.74268904,0.0,0.0,55315.410717985695,119356.58909743982,54671184.30883233,158213365.4338567,0.0,0.0,0.0,0.0,174671.9998154256,212884549.74268904,0.0,0.0,55315.410717985695,119356.58909743982,54671184.30883233,158213365.4338567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
