mode,scenario,hazard_map,draw,shapeGroup,dam_cost_ppp2024,dam_area_m2
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,RUS,56745322251.805244,38751435.23328454
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,CAN,823353289.6591873,106775.00989189319
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,0,USA,4494270418.654406,1180066.6649768823
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,RUS,57952280658.68984,39593178.6822682
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,CAN,829757812.4553353,107644.83053686087
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,1,USA,4012343801.497851,1058086.4529195933
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,RUS,133909929660.72327,91994949.87149337
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,CAN,164814045.94520542,20423.803749037397
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,2,USA,4129289456.8534217,1085420.4077249824
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,RUS,179476851635.0467,120022654.84939782
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,CAN,164814045.94520542,20423.803749037397
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,3,USA,8090354003.950728,2069978.638578466
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,RUS,173165751362.2512,116180265.71688303
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,CAN,228246020.20179442,28620.041714608415
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,4,USA,8075335418.185343,2066525.6564617842
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,RUS,164025101216.96436,110332882.87452218
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,CAN,823353289.6591873,106775.00989189319
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,5,USA,4012343801.497851,1058086.4529195933
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,RUS,144058667670.77115,98505548.9814696
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,CAN,823353289.6591873,106775.00989189319
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,6,USA,8814971233.018646,2249605.7811732185
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,RUS,68325785390.1093,46675698.54591035
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,CAN,823353289.6591873,106775.00989189319
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,7,USA,4013907781.791366,1058383.4527055277
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,RUS,56196202779.15379,38404569.97498773
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,CAN,1221234547.859044,156339.67267836342
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,8,USA,4129289456.8534217,1085420.4077249824
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,RUS,149984842401.65842,102486532.91423228
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,CAN,32719382.517355945,4023.9116373556385
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,USA,7946644330.953558,2034411.8490061858
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,10,RUS,56218073482.4872,38420110.14030225
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,10,CAN,823353289.6591873,106775.00989189319
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,10,USA,8075335418.185343,2066525.6564617842
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,11,RUS,60432869270.020226,41327297.283948205
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,11,CAN,823353289.6591873,106775.00989189319
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,11,USA,8075335418.185343,2066525.6564617842
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,12,RUS,56732010505.1687,38743228.48431898
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,12,CAN,823353289.6591873,106775.00989189319
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,12,USA,8090354003.950728,2069978.638578466
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,13,RUS,90867997193.44176,63711153.12093718
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,13,CAN,228246020.20179442,28620.041714608415
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,13,USA,7946644330.953558,2034411.8490061858
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,14,RUS,181920621492.65887,121569017.0252949
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,14,CAN,823353289.6591873,106775.00989189319
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,14,USA,7905208774.830773,2023199.783856168
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,15,RUS,57605498897.08361,39295474.18971544
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,15,CAN,39861195.94271227,4889.708445977981
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,15,USA,4759610002.892659,1248133.4288161597
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,RUS,153440536773.8419,104640026.18383548
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,CAN,32719382.517355945,4023.9116373556385
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,USA,3863770555.2529206,1018928.7397522345
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,RUS,172447829220.52856,115756159.08417909
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,CAN,823353289.6591873,106775.00989189319
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,USA,4129289456.8534217,1085420.4077249824
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,RUS,57579009203.39793,39275715.84144043
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,CAN,1210334141.1702764,155051.50561004534
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,USA,4494270418.654406,1180066.6649768823
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,19,RUS,60432246392.116585,41326756.12370397
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,19,CAN,164814045.94520542,20423.803749037397
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,19,USA,3863770555.2529206,1018928.7397522345
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,RUS,156255506067.25754,106249416.43124047
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,CAN,30574823.18037121,3752.8780582804984
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,USA,8090354003.950728,2069978.638578466
B4_ADD_FLOORAREA,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,RUS,150967869192.34827,103130288.09277603
