mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_ppp2024_mean,dam_area_m2_mean,dam_cost_ppp2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_ppp2024_mean,total_cost_nonres_ppp2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_ppp2024_mean,dam_cost_nonres_ppp2024_mean,total_area_m2_p05,total_cost_ppp2024_p05,dam_area_m2_p05,dam_cost_ppp2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_ppp2024_p05,total_cost_nonres_ppp2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_ppp2024_p05,dam_cost_nonres_ppp2024_p05,total_area_m2_p50,total_cost_ppp2024_p50,dam_area_m2_p50,dam_cost_ppp2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_ppp2024_p50,total_cost_nonres_ppp2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_ppp2024_p50,dam_cost_nonres_ppp2024_p50,total_area_m2_p95,total_cost_ppp2024_p95,dam_area_m2_p95,dam_cost_ppp2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_ppp2024_p95,total_cost_nonres_ppp2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_ppp2024_p95,dam_cost_nonres_ppp2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
B4_ADD_FLOORAREA,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,440083.5096310755,2945752977.0298853,0.0,0.0,213197.87834712563,226885.63128395117,2055372293.2349472,890380683.7949221,0.0,0.0,0.0,0.0,440083.5096310755,2945752977.029886,0.0,0.0,213197.87834712563,226885.63128395114,2055372293.234947,890380683.794922,0.0,0.0,0.0,0.0,440083.5096310755,2945752977.029886,0.0,0.0,213197.87834712563,226885.63128395114,2055372293.234947,890380683.794922,0.0,0.0,0.0,0.0,440083.5096310755,2945752977.029886,0.0,0.0,213197.87834712563,226885.63128395117,2055372293.234947,890380683.794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4_ADD_FLOORAREA,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,16968.84176505164,101732588.23679942,0.0,0.0,6147.444698589244,10821.397066462403,59265540.56556727,42467047.67123211,0.0,0.0,0.0,0.0,16968.841765051635,101732588.23679942,0.0,0.0,6147.444698589245,10821.397066462401,59265540.565567285,42467047.67123212,0.0,0.0,0.0,0.0,16968.841765051635,101732588.23679942,0.0,0.0,6147.444698589245,10821.397066462401,59265540.565567285,42467047.67123212,0.0,0.0,0.0,0.0,16968.841765051635,101732588.23679942,0.0,0.0,6147.444698589245,10821.397066462401,59265540.565567285,42467047.67123212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4_ADD_FLOORAREA,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.496346542,14545617007.907543,0.0,0.0,1045117.5497328385,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,2184150.496346542,14545617007.907541,0.0,0.0,1045117.5497328388,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,2184150.496346542,14545617007.907541,0.0,0.0,1045117.5497328388,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,2184150.496346542,14545617007.907541,0.0,0.0,1045117.5497328388,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4_ADD_FLOORAREA,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436462,2441456050.2941375,10.4207527704315,100463.13164581764,230812.89610449504,55107.859139150925,2225193023.741421,216263026.5527182,10.4207527704315,0.0,100463.13164581764,0.0,285920.7552436462,2441456050.2941375,0.0,0.0,230812.896104495,55107.85913915091,2225193023.7414217,216263026.55271822,0.0,0.0,0.0,0.0,285920.7552436462,2441456050.2941375,0.0,0.0,230812.896104495,55107.85913915091,2225193023.7414217,216263026.55271822,0.0,0.0,0.0,0.0,285920.7552436462,2441456050.2941375,148.86789672044998,1435187.5949402521,230812.896104495,55107.85913915091,2225193023.7414217,216263026.55271822,148.86789672044998,0.0,1435187.5949402521,0.0,3.644629702223435e-05,4.114885935944422e-05,4.514805258417516e-05,0.0,4.5148052584175264e-05,0.0
B4_ADD_FLOORAREA,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,252967.17219310493,1979084014.5956047,3914.6394002956113,32485685.45945801,187200.2871911016,65766.88500200343,1555247100.0277176,423836914.5678882,3894.8533822617446,462.4933274298503,32358173.797094747,2980553.889698935,252967.1721931049,1979084014.5956044,0.0,0.0,187200.28719110158,65766.88500200344,1555247100.0277176,423836914.56788814,0.0,0.0,0.0,0.0,252967.1721931049,1979084014.5956044,5043.47137938611,41847426.67158446,187200.28719110158,65766.88500200344,1555247100.0277176,423836914.56788814,5014.821354489098,831.2506589351999,41662790.61721951,5357022.983601654,252967.1721931049,1979084014.5956044,5962.953142504072,49486417.866922535,187200.28719110158,65766.88500200344,1555247100.0277176,423836914.56788814,5934.303117607061,921.2883506988279,49301781.812557586,5937273.933160055,0.015474890936865649,0.01641450550854758,0.02080580879817626,0.007032313107360361,0.020805808798176225,0.007032313107360365
B4_ADD_FLOORAREA,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,45524.88017133,353283495.4351122,566.7763789499427,4708739.142190848,32143.904088591808,13380.976082738198,267049342.53822953,86234152.89688267,566.7763789499427,142.2987234312909,4708739.142190848,917048.9355582277,45524.88017133,353283495.43511224,0.0,0.0,32143.904088591808,13380.976082738194,267049342.53822955,86234152.89688267,0.0,0.0,0.0,0.0,45524.88017133,353283495.43511224,719.3471319297296,5976286.455719423,32143.904088591808,13380.976082738194,267049342.53822955,86234152.89688267,719.3471319297296,275.416884060563,5976286.455719423,1774933.4236610858,45524.88017133,353283495.43511224,1796.081914579973,14126901.081074005,32143.904088591808,13380.976082738194,267049342.53822955,86234152.89688267,1369.536372105485,426.54554247448795,11378013.90723924,2748887.1738347644,0.012449815942774934,0.013328500207436679,0.01763246858215637,0.010634405334216232,0.017632468582156374,0.010634405334216238
B4_ADD_FLOORAREA,SSP245,CAN,Northwest Territories,OSM,ACTIVE,4323485.237380558,33597813421.850456,74128.81819912953,570690537.9168122,3077693.872576926,1245791.3648036083,25569268839.913815,8028544581.936592,49889.983086654815,24238.835112474728,414482545.3004963,156207992.61631647,4323485.237380558,33597813421.850452,3198.0545997581094,26569217.476288784,3077693.872576926,1245791.364803608,25569268839.91381,8028544581.93659,3198.0545997581094,0.0,26569217.476288784,0.0,4323485.237380558,33597813421.850452,98664.70911411753,757186449.0506691,3077693.872576926,1245791.364803608,25569268839.91381,8028544581.93659,65116.75821085795,33547.95090325959,540985544.8953428,216200904.15532687,4323485.237380558,33597813421.850452,125720.97463301032,969085497.0447172,3077693.872576926,1245791.364803608,25569268839.91381,8028544581.93659,85259.55272789628,40461.421905114104,708330495.211034,260755001.8336849,0.01714561612428252,0.016985942827626443,0.016210183712937757,0.01945657659643181,0.016210183712937698,0.019456576596431754
B4_ADD_FLOORAREA,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,166936.04175650256,1278119349.108647,4368.686592582309,35835157.976369016,108562.12865452304,58373.913101979546,901926691.9736242,376192657.13502115,4122.045951644725,1089.5654632086741,34245674.024698704,7021741.475699041,166936.04175650253,1278119349.108647,100.56599072754999,742551.9468293099,108562.12865452303,58373.91310197954,901926691.9736243,376192657.1350211,50.68753519049999,49.878455537049994,421108.55327964,321443.39354967,166936.04175650253,1278119349.108647,4513.491029817337,33568172.67493417,108562.12865452303,58373.91310197954,901926691.9736243,376192657.1350211,2404.65464941345,2108.8363804038854,19977705.30261345,13590467.372320725,166936.04175650253,1278119349.108647,22304.589112255213,183964346.49163994,108562.12865452303,58373.91310197954,901926691.9736243,376192657.1350211,21585.126611840187,2108.8363804038854,179327746.076189,13590467.372320727,0.02616982256566616,0.02803741137426661,0.03796946506789951,0.018665280521886502,0.03796946506789953,0.018665280521886513
B4_ADD_FLOORAREA,SSP245,CAN,Nunavut,HABITAT,ACTIVE,145202.47571253453,762694350.7970276,0.0,0.0,101823.94656532543,43378.52914720911,552817018.6508635,209877332.14616495,0.0,0.0,0.0,0.0,145202.47571253453,762694350.7970276,0.0,0.0,101823.94656532543,43378.52914720911,552817018.6508635,209877332.14616498,0.0,0.0,0.0,0.0,145202.47571253453,762694350.7970276,0.0,0.0,101823.94656532543,43378.52914720911,552817018.6508635,209877332.14616498,0.0,0.0,0.0,0.0,145202.47571253453,762694350.7970276,0.0,0.0,101823.94656532543,43378.52914720911,552817018.6508635,209877332.14616498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4_ADD_FLOORAREA,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,46894.110637064856,239601687.88716593,0.0,0.0,21519.163790051072,25374.94684701375,116830670.6973263,122771017.18984006,0.0,0.0,0.0,0.0,46894.110637064856,239601687.88716596,0.0,0.0,21519.163790051072,25374.94684701375,116830670.6973263,122771017.18984005,0.0,0.0,0.0,0.0,46894.110637064856,239601687.88716596,0.0,0.0,21519.163790051072,25374.94684701375,116830670.6973263,122771017.18984005,0.0,0.0,0.0,0.0,46894.110637064856,239601687.88716596,0.0,0.0,21519.163790051072,25374.94684701375,116830670.6973263,122771017.18984005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
