mode,scenario,shapeGroup,shapeName,Source,ntl_group,total_area_m2_mean,total_cost_ppp2024_mean,dam_area_m2_mean,dam_cost_ppp2024_mean,total_area_res_m2_mean,total_area_nonres_m2_mean,total_cost_res_ppp2024_mean,total_cost_nonres_ppp2024_mean,dam_area_res_m2_mean,dam_area_nonres_m2_mean,dam_cost_res_ppp2024_mean,dam_cost_nonres_ppp2024_mean,total_area_m2_p05,total_cost_ppp2024_p05,dam_area_m2_p05,dam_cost_ppp2024_p05,total_area_res_m2_p05,total_area_nonres_m2_p05,total_cost_res_ppp2024_p05,total_cost_nonres_ppp2024_p05,dam_area_res_m2_p05,dam_area_nonres_m2_p05,dam_cost_res_ppp2024_p05,dam_cost_nonres_ppp2024_p05,total_area_m2_p50,total_cost_ppp2024_p50,dam_area_m2_p50,dam_cost_ppp2024_p50,total_area_res_m2_p50,total_area_nonres_m2_p50,total_cost_res_ppp2024_p50,total_cost_nonres_ppp2024_p50,dam_area_res_m2_p50,dam_area_nonres_m2_p50,dam_cost_res_ppp2024_p50,dam_cost_nonres_ppp2024_p50,total_area_m2_p95,total_cost_ppp2024_p95,dam_area_m2_p95,dam_cost_ppp2024_p95,total_area_res_m2_p95,total_area_nonres_m2_p95,total_cost_res_ppp2024_p95,total_cost_nonres_ppp2024_p95,dam_area_res_m2_p95,dam_area_nonres_m2_p95,dam_cost_res_ppp2024_p95,dam_cost_nonres_ppp2024_p95,prop_damaged_area,prop_damaged_cost,prop_damaged_area_res,prop_damaged_area_nonres,prop_damaged_cost_res,prop_damaged_cost_nonres
B4_ADD_FLOORAREA,SSP245,CAN,Newfoundland and Labrador,HABITAT,ACTIVE,440083.5096310755,2945752977.0298853,0.0,0.0,213197.87834712563,226885.63128395117,2055372293.2349472,890380683.7949221,0.0,0.0,0.0,0.0,440083.5096310755,2945752977.029886,0.0,0.0,213197.87834712563,226885.63128395114,2055372293.234947,890380683.794922,0.0,0.0,0.0,0.0,440083.5096310755,2945752977.029886,0.0,0.0,213197.87834712563,226885.63128395114,2055372293.234947,890380683.794922,0.0,0.0,0.0,0.0,440083.5096310755,2945752977.029886,0.0,0.0,213197.87834712563,226885.63128395117,2055372293.234947,890380683.794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4_ADD_FLOORAREA,SSP245,CAN,Newfoundland and Labrador,HABITAT,NOT_ACTIVE,16968.84176505164,101732588.23679942,0.0,0.0,6147.444698589244,10821.397066462403,59265540.56556727,42467047.67123211,0.0,0.0,0.0,0.0,16968.841765051635,101732588.23679942,0.0,0.0,6147.444698589245,10821.397066462401,59265540.565567285,42467047.67123212,0.0,0.0,0.0,0.0,16968.841765051635,101732588.23679942,0.0,0.0,6147.444698589245,10821.397066462401,59265540.565567285,42467047.67123212,0.0,0.0,0.0,0.0,16968.841765051635,101732588.23679942,0.0,0.0,6147.444698589245,10821.397066462401,59265540.565567285,42467047.67123212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4_ADD_FLOORAREA,SSP245,CAN,Newfoundland and Labrador,OSM,ACTIVE,2184150.496346542,14545617007.907543,0.0,0.0,1045117.5497328385,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,2184150.496346542,14545617007.907541,0.0,0.0,1045117.5497328388,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,2184150.496346542,14545617007.907541,0.0,0.0,1045117.5497328388,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,2184150.496346542,14545617007.907541,0.0,0.0,1045117.5497328388,1139032.946613705,10075642738.7939,4469974269.113586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4_ADD_FLOORAREA,SSP245,CAN,Newfoundland and Labrador,OSM,NOT_ACTIVE,285920.7552436462,2441456050.2941375,2.605188192607875,25115.78291145441,230812.89610449504,55107.859139150925,2225193023.741421,216263026.5527182,2.605188192607875,0.0,25115.78291145441,0.0,285920.7552436462,2441456050.2941375,0.0,0.0,230812.896104495,55107.85913915091,2225193023.7414217,216263026.55271822,0.0,0.0,0.0,0.0,285920.7552436462,2441456050.2941375,0.0,0.0,230812.896104495,55107.85913915091,2225193023.7414217,216263026.55271822,0.0,0.0,0.0,0.0,285920.7552436462,2441456050.2941375,37.216974180112494,358796.89873506303,230812.896104495,55107.85913915091,2225193023.7414217,216263026.55271822,37.216974180112494,0.0,358796.89873506303,0.0,9.111574255558588e-06,1.0287214839861055e-05,1.128701314604379e-05,0.0,1.1287013146043816e-05,0.0
B4_ADD_FLOORAREA,SSP245,CAN,Northwest Territories,HABITAT,ACTIVE,252967.17219310493,1979084014.5956047,1914.8022867577138,15647359.18235704,187200.2871911016,65766.88500200343,1555247100.0277176,423836914.5678882,1774.9038314199074,139.8984553378067,14745778.855702017,901580.3266550221,252967.1721931049,1979084014.5956044,0.0,0.0,187200.28719110158,65766.88500200344,1555247100.0277176,423836914.56788814,0.0,0.0,0.0,0.0,252967.1721931049,1979084014.5956044,2050.673321338329,16636268.632331613,187200.28719110158,65766.88500200344,1555247100.0277176,423836914.56788814,1835.698150380276,214.97517095805347,15250853.872839957,1385414.759491652,252967.1721931049,1979084014.5956044,3821.8635884466207,31162543.903504137,187200.28719110158,65766.88500200344,1555247100.0277176,423836914.56788814,3505.647773203175,316.21581524344646,29124680.388054542,2037863.5154495928,0.007569370642669915,0.007906364291237195,0.009481309340129451,0.0021271868864329675,0.009481309340129435,0.0021271868864329684
B4_ADD_FLOORAREA,SSP245,CAN,Northwest Territories,HABITAT,NOT_ACTIVE,45524.88017133,353283495.4351122,309.0850766161897,2454284.734762751,32143.904088591808,13380.976082738198,267049342.53822953,86234152.89688267,248.13575407525494,60.94932254093479,2061494.7644005253,392789.970362226,45524.88017133,353283495.43511224,0.0,0.0,32143.904088591808,13380.976082738194,267049342.53822955,86234152.89688267,0.0,0.0,0.0,0.0,45524.88017133,353283495.43511224,250.33163341398338,1951435.2061037256,32143.904088591808,13380.976082738194,267049342.53822955,86234152.89688267,181.47741239884266,68.85422101514075,1507701.8501884541,443733.35591527144,45524.88017133,353283495.43511224,699.3521120589767,5483160.476372226,32143.904088591808,13380.976082738194,267049342.53822955,86234152.89688267,523.8615054252139,175.49060663376275,4352205.326998264,1130955.1493739625,0.006789366066488646,0.006947068760571441,0.007719527577962155,0.00455492350962057,0.007719527577962157,0.004554923509620574
B4_ADD_FLOORAREA,SSP245,CAN,Northwest Territories,OSM,ACTIVE,4323485.237380558,33597813421.850456,29988.95964089791,231194472.85771194,3077693.872576926,1245791.3648036083,25569268839.913815,8028544581.936592,20355.083331554844,9633.876309343064,169108631.1737665,62085841.683945596,4323485.237380558,33597813421.850452,799.5136499395273,6642304.369072196,3077693.872576926,1245791.364803608,25569268839.91381,8028544581.93659,799.5136499395273,0.0,6642304.369072196,0.0,4323485.237380558,33597813421.850452,37267.02616135539,283687850.2174274,3077693.872576926,1245791.364803608,25569268839.91381,8028544581.93659,23354.782533627476,13912.243627727912,194029925.6599038,89657924.55752376,4323485.237380558,33597813421.850452,53660.44085231788,414478705.34487724,3077693.872576926,1245791.364803608,25569268839.91381,8028544581.93659,36847.84658583823,16812.59426647965,306129373.00886333,108349332.33601438,0.006936292827280966,0.0068812356909915395,0.006613745282766448,0.0077331378122546136,0.006613745282766424,0.007733137812254592
B4_ADD_FLOORAREA,SSP245,CAN,Northwest Territories,OSM,NOT_ACTIVE,166936.04175650256,1278119349.108647,1911.2501979600179,15108460.06945168,108562.12865452304,58373.913101979546,901926691.9736242,376192657.13502115,1497.986212280282,413.2639856797356,12445166.337550113,2663293.731901571,166936.04175650253,1278119349.108647,25.141497681887497,185637.98670732748,108562.12865452303,58373.91310197954,901926691.9736243,376192657.1350211,12.671883797624998,12.469613884262499,105277.13831991,80360.8483874175,166936.04175650253,1278119349.108647,1523.7584919731944,11602337.908663018,108562.12865452303,58373.91310197954,901926691.9736243,376192657.1350211,956.5457303479525,567.2127616252413,7946916.083781848,3655421.8248811713,166936.04175650253,1278119349.108647,7600.901010748713,61220076.37128927,108562.12865452303,58373.91310197954,901926691.9736243,376192657.1350211,6566.400225763671,1034.5007849850404,54553201.07663662,6666875.294652644,0.011448996740606917,0.011820852317108126,0.013798423362232692,0.007079600522201778,0.013798423362232701,0.00707960052220178
B4_ADD_FLOORAREA,SSP245,CAN,Nunavut,HABITAT,ACTIVE,145202.47571253453,762694350.7970276,0.0,0.0,101823.94656532543,43378.52914720911,552817018.6508635,209877332.14616495,0.0,0.0,0.0,0.0,145202.47571253453,762694350.7970276,0.0,0.0,101823.94656532543,43378.52914720911,552817018.6508635,209877332.14616498,0.0,0.0,0.0,0.0,145202.47571253453,762694350.7970276,0.0,0.0,101823.94656532543,43378.52914720911,552817018.6508635,209877332.14616498,0.0,0.0,0.0,0.0,145202.47571253453,762694350.7970276,0.0,0.0,101823.94656532543,43378.52914720911,552817018.6508635,209877332.14616498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4_ADD_FLOORAREA,SSP245,CAN,Nunavut,HABITAT,NOT_ACTIVE,46894.110637064856,239601687.88716593,0.0,0.0,21519.163790051072,25374.94684701375,116830670.6973263,122771017.18984006,0.0,0.0,0.0,0.0,46894.110637064856,239601687.88716596,0.0,0.0,21519.163790051072,25374.94684701375,116830670.6973263,122771017.18984005,0.0,0.0,0.0,0.0,46894.110637064856,239601687.88716596,0.0,0.0,21519.163790051072,25374.94684701375,116830670.6973263,122771017.18984005,0.0,0.0,0.0,0.0,46894.110637064856,239601687.88716596,0.0,0.0,21519.163790051072,25374.94684701375,116830670.6973263,122771017.18984005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
